encrypted,file_id,image_count_sample,page_count,pdf_status,relative_path,sample_text_chars,text_layer_status
False,file_e33a15a0d18aa59d,9,3,readable,1992年数学建模国赛优秀论文/1992年A题优秀论文① 关于施肥效果分析问题的评注.pdf,33,scanned_or_no_text
False,file_4dd833a983204ec7,9,6,readable,1992年数学建模国赛优秀论文/1992年A题优秀论文② 施肥方案对作物蔬菜的影响.pdf,3056,native_text
False,file_a3f3e31eac2a0bae,9,5,readable,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 关于非线性交调的频率设计的评注.pdf,2780,native_text
False,file_bf05c021a75807aa,14,1,readable,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 施肥效果分析.pdf,976,native_text
False,file_c85f42d0553d31c9,8,1,readable,1992年数学建模国赛优秀论文/1992年B题优秀论文① 实验数据分解.pdf,363,native_text
False,file_40bf78bb864d6246,9,9,readable,1992年数学建模国赛优秀论文/1992年B题优秀论文② 蛋白质氨基酸的组合问题.pdf,2269,native_text
False,file_b4771e2bf6fdc12f,6,2,readable,1992年数学建模国赛优秀论文/1992年B题优秀论文③ 关于蛋白质氨基酸的组合问题的评注.pdf,1889,native_text
False,file_6d0b067c824a5a9d,2,2,readable,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年A题优秀论文① 非线性交调的频率设计.pdf,1133,native_text
False,file_dd5510116a8cecd6,9,8,readable,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年A题优秀论文② 非线性交调的频率设计.pdf,2165,native_text
False,file_f12da4b3c66a6879,6,2,readable,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文① 关于球队排名次问题的几点评注.pdf,22,scanned_or_no_text
False,file_f3de3d47dbb032e2,2,2,readable,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文② 足球排名次问题.pdf,2459,native_text
False,file_0b41aa604c488f1f,9,9,readable,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文③ 一个给足球队排名次的方法.pdf,33,scanned_or_no_text
False,file_a85e1e7c64a67ae2,2,2,readable,1993年数学建模国赛真题+优秀论文/1993年国赛真题/1993年国赛赛题.pdf,2580,native_text
False,file_af55bec0aac81b01,6,28,readable,1994年数学建模国赛真题+优秀论文/1994年国赛优秀论文/1994A数学建模优秀论文.pdf,33,scanned_or_no_text
False,file_5b627cf7a198cd3f,6,26,readable,1994年数学建模国赛真题+优秀论文/1994年国赛优秀论文/1994B数学建模优秀论文.pdf,33,scanned_or_no_text
False,file_a25c1958bc4f1673,6,56,readable,1994年数学建模国赛真题+优秀论文/1994年国赛优秀论文/1994年全国大学生数学建模竞赛优秀论文全集.pdf,33,scanned_or_no_text
False,file_17d450ff8092f5f3,2,2,readable,1994年数学建模国赛真题+优秀论文/1994年国赛赛题/1994年国赛赛题.pdf,2470,native_text
