candidate_related,checkout_size,duplicate_group,error_message,extension,file_category,file_id,filename,git_blob_size,git_object_type,git_sha,hash_scope,last_processed_at,lfs_declared_size,lfs_oid,lfs_status,logical_size,mode,parse_status,problem_code,relative_path,sha256,year
False,119,,,,unknown,file_618cd5b83d62060b,.gitattributes,119,blob,650345a6b7ecea98b4b729b8a4e3a79d813566de,checkout_bytes,2026-07-21T19:37:25Z,,,not_lfs,119,100644,metadata_only,unknown,.gitattributes,091b87eb3f6136dd1e1671141953335e9217c57511e216b825569718d9aea6ea,
False,,,tracked path not materialized,".pdf""",unknown,file_ee1b6cb122f6b190,"1992\345\271\264A\351\242\230\344\274\230\347\247\200\350\256\272\346\226\207\342\221\240 \345\205\263\344\272\216\346\226\275\350\202\245\346\225\210\346\236\234\345\210\206\346\236\220\351\227\256\351\242\230\347\232\204\350\257\204\346\263\250.pdf""",412859,blob,d3e62dc190ccf59c6ee290c74c06f0911decedae,checkout_bytes,2026-07-21T19:37:25Z,,,unreadable,,100644,unsupported,A,"""1992\345\271\264\346\225\260\345\255\246\345\273\272\346\250\241\345\233\275\350\265\233\344\274\230\347\247\200\350\256\272\346\226\207/1992\345\271\264A\351\242\230\344\274\230\347\247\200\350\256\272\346\226\207\342\221\240 \345\205\263\344\272\216\346\226\275\350\202\245\346\225\210\346\236\234\345\210\206\346\236\220\351\227\256\351\242\230\347\232\204\350\257\204\346\263\250.pdf""",,1992
False,,,tracked path not materialized,".pdf""",unknown,file_7ad73c750617e87e,"1992\345\271\264A\351\242\230\344\274\230\347\247\200\350\256\272\346\226\207\342\221\241 \346\226\275\350\202\245\346\226\271\346\241\210\345\257\271\344\275\234\347\211\251\350\224\254\350\217\234\347\232\204\345\275\261\345\223\215.pdf""",688308,blob,92368b527ca1b3f45542dfcbe5c9c69577023623,checkout_bytes,2026-07-21T19:37:25Z,,,unreadable,,100644,unsupported,A,"""1992\345\271\264\346\225\260\345\255\246\345\273\272\346\250\241\345\233\275\350\265\233\344\274\230\347\247\200\350\256\272\346\226\207/1992\345\271\264A\351\242\230\344\274\230\347\247\200\350\256\272\346\226\207\342\221\241 \346\226\275\350\202\245\346\226\271\346\241\210\345\257\271\344\275\234\347\211\251\350\224\254\350\217\234\347\232\204\345\275\261\345\223\215.pdf""",,1992
False,,,tracked path not materialized,".pdf""",unknown,file_b442a3baa6110ce4,"1992\345\271\264A\351\242\230\344\274\230\347\247\200\350\256\272\346\226\207\342\221\242 \345\205\263\344\272\216\351\235\236\347\272\277\346\200\247\344\272\244\350\260\203\347\232\204\351\242\221\347\216\207\350\256\276\350\256\241\347\232\204\350\257\204\346\263\250.pdf""",594637,blob,dea598f4a4694281003d9846431742a3eb3df3e7,checkout_bytes,2026-07-21T19:37:25Z,,,unreadable,,100644,unsupported,A,"""1992\345\271\264\346\225\260\345\255\246\345\273\272\346\250\241\345\233\275\350\265\233\344\274\230\347\247\200\350\256\272\346\226\207/1992\345\271\264A\351\242\230\344\274\230\347\247\200\350\256\272\346\226\207\342\221\242 \345\205\263\344\272\216\351\235\236\347\272\277\346\200\247\344\272\244\350\260\203\347\232\204\351\242\221\347\216\207\350\256\276\350\256\241\347\232\204\350\257\204\346\263\250.pdf""",,1992
False,,,tracked path not materialized,".pdf""",unknown,file_7f34dc67774f53c7,"1992\345\271\264A\351\242\230\344\274\230\347\247\200\350\256\272\346\226\207\342\221\242 \346\226\275\350\202\245\346\225\210\346\236\234\345\210\206\346\236\220.pdf""",109927,blob,cddba801632a0607f4fa1226a606100c8d8d34a4,checkout_bytes,2026-07-21T19:37:25Z,,,unreadable,,100644,unsupported,A,"""1992\345\271\264\346\225\260\345\255\246\345\273\272\346\250\241\345\233\275\350\265\233\344\274\230\347\247\200\350\256\272\346\226\207/1992\345\271\264A\351\242\230\344\274\230\347\247\200\350\256\272\346\226\207\342\221\242 \346\226\275\350\202\245\346\225\210\346\236\234\345\210\206\346\236\220.pdf""",,1992
False,,,tracked path not materialized,".pdf""",unknown,file_d6d8c5173592b6c0,"1992\345\271\264B\351\242\230\344\274\230\347\247\200\350\256\272\346\226\207\342\221\240 \345\256\236\351\252\214\346\225\260\346\215\256\345\210\206\350\247\243.pdf""",112105,blob,c21b3b00b59fafad6658dea4ed37b2a92d86e0a7,checkout_bytes,2026-07-21T19:37:25Z,,,unreadable,,100644,unsupported,B,"""1992\345\271\264\346\225\260\345\255\246\345\273\272\346\250\241\345\233\275\350\265\233\344\274\230\347\247\200\350\256\272\346\226\207/1992\345\271\264B\351\242\230\344\274\230\347\247\200\350\256\272\346\226\207\342\221\240 \345\256\236\351\252\214\346\225\260\346\215\256\345\210\206\350\247\243.pdf""",,1992
False,,,tracked path not materialized,".pdf""",unknown,file_1ac68b6ef6e903e5,"1992\345\271\264B\351\242\230\344\274\230\347\247\200\350\256\272\346\226\207\342\221\241 \350\233\213\347\231\275\350\264\250\346\260\250\345\237\272\351\205\270\347\232\204\347\273\204\345\220\210\351\227\256\351\242\230.pdf""",934751,blob,3642f01028d5ca4d8afe9b138ea6e9edbbdd520f,checkout_bytes,2026-07-21T19:37:25Z,,,unreadable,,100644,unsupported,B,"""1992\345\271\264\346\225\260\345\255\246\345\273\272\346\250\241\345\233\275\350\265\233\344\274\230\347\247\200\350\256\272\346\226\207/1992\345\271\264B\351\242\230\344\274\230\347\247\200\350\256\272\346\226\207\342\221\241 \350\233\213\347\231\275\350\264\250\346\260\250\345\237\272\351\205\270\347\232\204\347\273\204\345\220\210\351\227\256\351\242\230.pdf""",,1992
False,,,tracked path not materialized,".pdf""",unknown,file_4c5923c3aaa9040e,"1992\345\271\264B\351\242\230\344\274\230\347\247\200\350\256\272\346\226\207\342\221\242 \345\205\263\344\272\216\350\233\213\347\231\275\350\264\250\346\260\250\345\237\272\351\205\270\347\232\204\347\273\204\345\220\210\351\227\256\351\242\230\347\232\204\350\257\204\346\263\250.pdf""",312665,blob,e28c0ac0a8e6d665835a025fbbbcef087323df85,checkout_bytes,2026-07-21T19:37:25Z,,,unreadable,,100644,unsupported,B,"""1992\345\271\264\346\225\260\345\255\246\345\273\272\346\250\241\345\233\275\350\265\233\344\274\230\347\247\200\350\256\272\346\226\207/1992\345\271\264B\351\242\230\344\274\230\347\247\200\350\256\272\346\226\207\342\221\242 \345\205\263\344\272\216\350\233\213\347\231\275\350\264\250\346\260\250\345\237\272\351\205\270\347\232\204\347\273\204\345\220\210\351\227\256\351\242\230\347\232\204\350\257\204\346\263\250.pdf""",,1992
False,,,tracked path not materialized,".pdf""",unknown,file_66ddd8535b2f7efd,"1993\345\271\264A\351\242\230\344\274\230\347\247\200\350\256\272\346\226\207\342\221\240 \351\235\236\347\272\277\346\200\247\344\272\244\350\260\203\347\232\204\351\242\221\347\216\207\350\256\276\350\256\241.pdf""",134721,blob,2def7293a94a29f8054bf9b9aaaf1ad2aeababd4,checkout_bytes,2026-07-21T19:37:25Z,,,unreadable,,100644,unsupported,A,"""1993\345\271\264\346\225\260\345\255\246\345\273\272\346\250\241\345\233\275\350\265\233\347\234\237\351\242\230+\344\274\230\347\247\200\350\256\272\346\226\207/1993\345\271\264\345\233\275\350\265\233\344\274\230\347\247\200\350\256\272\346\226\207/1993\345\271\264A\351\242\230\344\274\230\347\247\200\350\256\272\346\226\207\342\221\240 \351\235\236\347\272\277\346\200\247\344\272\244\350\260\203\347\232\204\351\242\221\347\216\207\350\256\276\350\256\241.pdf""",,1993
False,,,tracked path not materialized,".pdf""",unknown,file_496a8d65fd5ff348,"1993\345\271\264A\351\242\230\344\274\230\347\247\200\350\256\272\346\226\207\342\221\241 \351\235\236\347\272\277\346\200\247\344\272\244\350\260\203\347\232\204\351\242\221\347\216\207\350\256\276\350\256\241.pdf""",792704,blob,c8476a885882d5e6882f555e0c68f7c0e3de57bd,checkout_bytes,2026-07-21T19:37:25Z,,,unreadable,,100644,unsupported,A,"""1993\345\271\264\346\225\260\345\255\246\345\273\272\346\250\241\345\233\275\350\265\233\347\234\237\351\242\230+\344\274\230\347\247\200\350\256\272\346\226\207/1993\345\271\264\345\233\275\350\265\233\344\274\230\347\247\200\350\256\272\346\226\207/1993\345\271\264A\351\242\230\344\274\230\347\247\200\350\256\272\346\226\207\342\221\241 \351\235\236\347\272\277\346\200\247\344\272\244\350\260\203\347\232\204\351\242\221\347\216\207\350\256\276\350\256\241.pdf""",,1993
