archive_parent,boundary_candidates,carrier_document_id,carrier_type,classification_confidence,contains_multiple_articles,existing_cache_status,file_size,file_type,filename,image_count,needs_ocr,needs_segmentation,page_count,possible_duplicate_carriers,preclassified_role,quality_warnings,relative_path,same_page_boundary_candidates,source_file_ids,text_layer_status,toc_present,year
,pending,carrier_d3fee63f713084f6,pdf,0.91,False,unknown,784154,pdf,2000A：DNA分类模型.pdf,unknown,unknown,False,9,[],problem_statement,automatic preflight only,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000A：DNA分类模型.pdf,pending,"[""file_d3fee63f713084f6""]",see_pdf_manifest,unknown,2000
,pending,carrier_6b87a5ab24bb1393,pdf,0.91,False,unknown,504095,pdf,2000A：DNA序列中的结构与简化模型.pdf,unknown,unknown,False,5,[],problem_statement,automatic preflight only,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000A：DNA序列中的结构与简化模型.pdf,pending,"[""file_6b87a5ab24bb1393""]",see_pdf_manifest,unknown,2000
,pending,carrier_5263cff7773f234d,pdf,0.91,False,unknown,762950,pdf,2000A：DNA序列分类的数学模型.pdf,unknown,unknown,False,8,[],problem_statement,automatic preflight only,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000A：DNA序列分类的数学模型.pdf,pending,"[""file_5263cff7773f234d""]",see_pdf_manifest,unknown,2000
,pending,carrier_d33714f3324a4771,pdf,0.91,False,unknown,414556,pdf,2000A：DNA序列的分类.pdf,unknown,unknown,False,8,[],problem_statement,automatic preflight only,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000A：DNA序列的分类.pdf,pending,"[""file_d33714f3324a4771""]",see_pdf_manifest,unknown,2000
,pending,carrier_a98a01f2141bbd61,pdf,0.91,False,unknown,441656,pdf,2000A：DNA序列的分类模型.pdf,unknown,unknown,False,9,[],problem_statement,automatic preflight only,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000A：DNA序列的分类模型.pdf,pending,"[""file_a98a01f2141bbd61""]",see_pdf_manifest,unknown,2000
,pending,carrier_563500442801ad0a,pdf,0.91,False,unknown,713469,pdf,2000A：关于DNA序列分类问题的模型.pdf,unknown,unknown,False,7,[],problem_statement,automatic preflight only,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000A：关于DNA序列分类问题的模型.pdf,pending,"[""file_563500442801ad0a""]",see_pdf_manifest,unknown,2000
,pending,carrier_45f8fb2ca74032a6,pdf,0.91,False,unknown,631618,pdf,2000B：一类运输问题的建模.pdf,unknown,unknown,False,6,[],problem_statement,automatic preflight only,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：一类运输问题的建模.pdf,pending,"[""file_45f8fb2ca74032a6""]",see_pdf_manifest,unknown,2000
,pending,carrier_bc700212a7fdee0f,pdf,0.91,False,unknown,631620,pdf,2000B：一类运输问题的建模1.pdf,unknown,unknown,False,6,[],problem_statement,automatic preflight only,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：一类运输问题的建模1.pdf,pending,"[""file_bc700212a7fdee0f""]",see_pdf_manifest,unknown,2000
,pending,carrier_cffc924b98e56126,pdf,0.91,False,unknown,501320,pdf,2000B：管道订购与运输问题.pdf,unknown,unknown,False,4,[],problem_statement,automatic preflight only,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：管道订购与运输问题.pdf,pending,"[""file_cffc924b98e56126""]",see_pdf_manifest,unknown,2000
,pending,carrier_f0e220afba586ae7,pdf,0.91,False,unknown,266938,pdf,2000B：管道订购和运输.pdf,unknown,unknown,False,4,[],problem_statement,automatic preflight only,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：管道订购和运输.pdf,pending,"[""file_f0e220afba586ae7""]",see_pdf_manifest,unknown,2000
,pending,carrier_4dd053217a5b876b,pdf,0.91,False,unknown,630971,pdf,2000B：订购和运输钢管的最优方案.pdf,unknown,unknown,False,5,[],problem_statement,automatic preflight only,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：订购和运输钢管的最优方案.pdf,pending,"[""file_4dd053217a5b876b""]",see_pdf_manifest,unknown,2000
,pending,carrier_f1087b62901fb1d8,pdf,0.91,False,unknown,371433,pdf,2000B：钢管的订购和运输.pdf,unknown,unknown,False,6,[],problem_statement,automatic preflight only,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：钢管的订购和运输.pdf,pending,"[""file_f1087b62901fb1d8""]",see_pdf_manifest,unknown,2000
,pending,carrier_a298623f3a31d2b0,pdf,0.91,False,unknown,689674,pdf,2000B：钢管的订购和运输解答模型.pdf,unknown,unknown,False,8,[],problem_statement,automatic preflight only,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：钢管的订购和运输解答模型.pdf,pending,"[""file_a298623f3a31d2b0""]",see_pdf_manifest,unknown,2000
,pending,carrier_08eff80444707c42,pdf,0.91,False,unknown,495272,pdf,2000B：钢管订购和运输策略.pdf,unknown,unknown,False,4,[],problem_statement,automatic preflight only,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：钢管订购和运输策略.pdf,pending,"[""file_08eff80444707c42""]",see_pdf_manifest,unknown,2000
,pending,carrier_f2d9f278d1eae792,pdf,0.91,False,unknown,300150,pdf,2000C：航程计算的数学模型.pdf,unknown,unknown,False,3,[],problem_statement,automatic preflight only,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000C：航程计算的数学模型.pdf,pending,"[""file_f2d9f278d1eae792""]",see_pdf_manifest,unknown,2000
,pending,carrier_c78b61b029be5802,pdf,0.91,False,unknown,567142,pdf,2000C：飞越北极.pdf,unknown,unknown,False,5,[],problem_statement,automatic preflight only,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000C：飞越北极.pdf,pending,"[""file_c78b61b029be5802""]",see_pdf_manifest,unknown,2000
,pending,carrier_27c69a0589b5ce3e,pdf,0.91,False,unknown,770878,pdf,2000C：飞越北极的数学模型 (2).pdf,unknown,unknown,False,8,[],problem_statement,automatic preflight only,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000C：飞越北极的数学模型 (2).pdf,pending,"[""file_27c69a0589b5ce3e""]",see_pdf_manifest,unknown,2000
,pending,carrier_8f614e93ca0d3518,pdf,0.91,False,unknown,629954,pdf,2000C：飞越北极的数学模型.pdf,unknown,unknown,False,6,[],problem_statement,automatic preflight only,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000C：飞越北极的数学模型.pdf,pending,"[""file_8f614e93ca0d3518""]",see_pdf_manifest,unknown,2000
,pending,carrier_6e9ae11ee3e6a8f4,pdf,0.91,False,unknown,557779,pdf,2000D：空洞探测.pdf,unknown,unknown,False,5,[],problem_statement,automatic preflight only,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000D：空洞探测.pdf,pending,"[""file_6e9ae11ee3e6a8f4""]",see_pdf_manifest,unknown,2000
,pending,carrier_16e2d46eef60cae9,pdf,0.91,False,unknown,429914,pdf,2000D：空洞探测的最优解法.pdf,unknown,unknown,False,3,[],problem_statement,automatic preflight only,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000D：空洞探测的最优解法.pdf,pending,"[""file_16e2d46eef60cae9""]",see_pdf_manifest,unknown,2000
,pending,carrier_8e58f8777ccd43e5,pdf,0.91,False,unknown,209503,pdf,2000D：空洞探测问题及有关情况.pdf,unknown,unknown,False,3,[],problem_statement,automatic preflight only,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000D：空洞探测问题及有关情况.pdf,pending,"[""file_8e58f8777ccd43e5""]",see_pdf_manifest,unknown,2000
,pending,carrier_69f6cdb8e827e504,pdf,0.91,False,unknown,1102736,pdf,2000年国赛赛题.pdf,unknown,unknown,False,6,[],problem_statement,automatic preflight only,2000年数学建模国赛真题+优秀论文/2000年国赛赛题/2000年国赛赛题.pdf,pending,"[""file_69f6cdb8e827e504""]",see_pdf_manifest,unknown,2000
