counting_scope,denominator,metric,note,numerator,percentage,year
carrier_document,0,carrier_count,,0,,1992
logical_document,0,logical_document_count,,0,,1992
logical_document,0,role:award_paper,,0,,1992
logical_document,0,role:expert_commentary,,0,,1992
logical_document,0,role:other_related,,0,,1992
logical_document,0,role:problem_statement,,0,,1992
logical_document,0,role:solution_summary,,0,,1992
logical_document,0,role:unknown,,0,,1992
unique_award_paper,0,award_paper_count,,0,,1992
unique_problem,0,problem_count,,0,,1992
solution_lineage,0,lineage_count,candidate lineages pending manual deduplication,0,,1992
representation,0,representation_count,"count, not a paper percentage",0,,1992
orphan_segment,0,orphan_count,automatic layer cannot assert absence; manual review pending,0,,1992
logical_document,0,manual_review_queue,,0,,1992
unique_award_paper,0,abstract:present,field-specific eligible denominator,0,,1992
unique_award_paper,0,abstract:absent,field-specific eligible denominator,0,,1992
unique_award_paper,0,abstract:unknown,reported separately,0,,1992
unique_award_paper,0,abstract:not_applicable,reported separately,0,,1992
unique_award_paper,0,abstract:eligible_denominator,,0,,1992
unique_award_paper,0,model_assumptions:present,field-specific eligible denominator,0,,1992
unique_award_paper,0,model_assumptions:absent,field-specific eligible denominator,0,,1992
unique_award_paper,0,model_assumptions:unknown,reported separately,0,,1992
unique_award_paper,0,model_assumptions:not_applicable,reported separately,0,,1992
unique_award_paper,0,model_assumptions:eligible_denominator,,0,,1992
unique_award_paper,0,symbol_definitions:present,field-specific eligible denominator,0,,1992
unique_award_paper,0,symbol_definitions:absent,field-specific eligible denominator,0,,1992
unique_award_paper,0,symbol_definitions:unknown,reported separately,0,,1992
unique_award_paper,0,symbol_definitions:not_applicable,reported separately,0,,1992
unique_award_paper,0,symbol_definitions:eligible_denominator,,0,,1992
unique_award_paper,0,model_validation:present,field-specific eligible denominator,0,,1992
unique_award_paper,0,model_validation:absent,field-specific eligible denominator,0,,1992
unique_award_paper,0,model_validation:unknown,reported separately,0,,1992
unique_award_paper,0,model_validation:not_applicable,reported separately,0,,1992
unique_award_paper,0,model_validation:eligible_denominator,,0,,1992
unique_award_paper,0,sensitivity_analysis:present,field-specific eligible denominator,0,,1992
unique_award_paper,0,sensitivity_analysis:absent,field-specific eligible denominator,0,,1992
unique_award_paper,0,sensitivity_analysis:unknown,reported separately,0,,1992
unique_award_paper,0,sensitivity_analysis:not_applicable,reported separately,0,,1992
unique_award_paper,0,sensitivity_analysis:eligible_denominator,,0,,1992
unique_award_paper,0,error_analysis:present,field-specific eligible denominator,0,,1992
unique_award_paper,0,error_analysis:absent,field-specific eligible denominator,0,,1992
unique_award_paper,0,error_analysis:unknown,reported separately,0,,1992
unique_award_paper,0,error_analysis:not_applicable,reported separately,0,,1992
unique_award_paper,0,error_analysis:eligible_denominator,,0,,1992
unique_award_paper,0,final_solution:present,field-specific eligible denominator,0,,1992
unique_award_paper,0,final_solution:absent,field-specific eligible denominator,0,,1992
unique_award_paper,0,final_solution:unknown,reported separately,0,,1992
unique_award_paper,0,final_solution:not_applicable,reported separately,0,,1992
unique_award_paper,0,final_solution:eligible_denominator,,0,,1992
unique_award_paper,0,final_answer_summary_table:present,field-specific eligible denominator,0,,1992
unique_award_paper,0,final_answer_summary_table:absent,field-specific eligible denominator,0,,1992
unique_award_paper,0,final_answer_summary_table:unknown,reported separately,0,,1992
unique_award_paper,0,final_answer_summary_table:not_applicable,reported separately,0,,1992
unique_award_paper,0,final_answer_summary_table:eligible_denominator,,0,,1992
unique_award_paper,0,flowchart:present,field-specific eligible denominator,0,,1992
unique_award_paper,0,flowchart:absent,field-specific eligible denominator,0,,1992
unique_award_paper,0,flowchart:unknown,reported separately,0,,1992
unique_award_paper,0,flowchart:not_applicable,reported separately,0,,1992
unique_award_paper,0,flowchart:eligible_denominator,,0,,1992
unique_award_paper,0,visualization:present,field-specific eligible denominator,0,,1992
unique_award_paper,0,visualization:absent,field-specific eligible denominator,0,,1992
unique_award_paper,0,visualization:unknown,reported separately,0,,1992
