year,metric,counting_scope,corpus,present_n,absent_n,eligible_n,unknown_n,excluded_n
2000,abstract,verified award-paper logical documents,award_paper_patterns,16,0,16,0,0
2000,model_assumptions,verified award-paper logical documents,award_paper_patterns,16,0,16,0,0
2000,symbol_definitions,verified award-paper logical documents,award_paper_patterns,8,8,16,0,0
2000,model_validation,verified award-paper logical documents,award_paper_patterns,6,10,16,0,0
2000,sensitivity_analysis,verified award-paper logical documents,award_paper_patterns,3,13,16,0,0
2000,error_analysis,verified award-paper logical documents,award_paper_patterns,6,10,16,0,0
2000,final_solution,verified award-paper logical documents,award_paper_patterns,15,1,16,0,0
2000,final_answer_summary_table,verified award-paper logical documents,award_paper_patterns,2,14,16,0,0
2000,flowchart,verified award-paper logical documents,award_paper_patterns,1,15,16,0,0
2000,visualization,verified award-paper logical documents,award_paper_patterns,12,4,16,0,0
2000,references,verified award-paper logical documents,award_paper_patterns,15,1,16,0,0
2000,appendix,verified award-paper logical documents,award_paper_patterns,2,14,16,0,0
2000,code_description,verified award-paper logical documents,award_paper_patterns,6,10,16,0,0
2000,physical_carriers,trusted baseline physical carriers,all,22,,22,0,0
2000,locally_hashed_carriers,uploaded in current chat and SHA-256 verified,all,22,,22,0,0
2000,remote_reference_carriers,none; all trusted-baseline carriers were locally materialized,all,0,,0,0,0
2000,logical_documents,verified logical documents,all,25,,25,0,0
2000,award_papers,verified roles,all,16,,16,0,0
2000,expert_commentaries,verified roles,all,5,,5,0,0
2000,problem_statements,canonical unique problems,all,4,,4,0,0
2000,solution_lineages,award-paper lineages,all,16,,16,0,0
2000,representations,all physical representations,all,42,,42,0,0
2000,same_page_boundaries,verified transitions,all,16,,16,0,0
2000,reviewer_feedback_items,knowledge assets,all,10,,10,0,0
2000,visualization_items,knowledge assets,all,17,,17,0,0
2000,duplicate_carrier_groups,exact rendered-page duplicate pair,all,1,,1,0,0
