counting_scope,denominator,metric,note,numerator,percentage,year
physical_carrier,25,carrier_count,,25,100.0,2001
physical_carrier,25,locally_hashed_pdf_carriers,,23,92.0,2001
physical_carrier,25,missing_pdf_carriers,,0,0.0,2001
physical_carrier,25,external_official_doc_carriers,verified through parsed text and page renders,2,8.0,2001
logical_document,21,logical_document_count,,21,100.0,2001
logical_document,21,role:award_paper,,13,61.9,2001
logical_document,21,role:expert_commentary,,3,14.3,2001
logical_document,21,role:problem_statement,four representations mapped to three canonical problems,4,19.0,2001
logical_document,21,role:other_related,wrong-year 2003 optics article,1,4.8,2001
logical_document,21,manual_review_queue,,0,0.0,2001
unique_problem,3,problem_count,B and D share the bus-dispatch canonical problem,3,100.0,2001
solution_lineage,13,lineage_count,all verified,13,100.0,2001
representation,30,representation_count,count not a paper percentage,30,100.0,2001
verified_award_paper,13,abstract:present,eligible_n=13,13,100.0,2001
verified_award_paper,13,model_assumptions:present,eligible_n=13,13,100.0,2001
verified_award_paper,9,symbol_definitions:present,unknown_n=4,9,100.0,2001
verified_award_paper,13,model_validation:present,eligible_n=13,13,100.0,2001
verified_award_paper,3,sensitivity_analysis:present,unknown_n=10,3,100.0,2001
verified_award_paper,6,error_analysis:present,unknown_n=7,6,100.0,2001
verified_award_paper,13,final_solution:present,eligible_n=13,13,100.0,2001
verified_award_paper,7,final_answer_summary_table:present,unknown_n=6,7,100.0,2001
verified_award_paper,13,references:present,eligible_n=13,13,100.0,2001
verified_award_paper,13,code_description:present,eligible_n=13,13,100.0,2001
