membership_id,paper_id,path,role,canonical,notes,created_at
MEM-CUMCM-2019-A-001-5C44F9C6,CUMCM-2019-A-001,2019年数学建模国赛真题+优秀论文/2019年赛题/2019年国赛A题.pdf,primary,True,,2026-08-18T00:06:15+08:00
MEM-CUMCM-2003-D-001-4AAE7A6D,CUMCM-2003-D-001,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,primary,True,,2026-08-18T00:06:15+08:00
MEM-CUMCM-2000-B-001-928130C1,CUMCM-2000-B-001,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：管道订购与运输问题.pdf,primary,True,,2026-08-18T00:06:15+08:00
MEM-CUMCM-2001-A-001-1B2A5BE4,CUMCM-2001-A-001,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：血管切片的三维重建.pdf,primary,True,,2026-08-18T00:06:15+08:00
MEM-CUMCM-2002-B-001-0ACA3F70,CUMCM-2002-B-001,2002年数学建模国赛真题+优秀论文/2002年优秀论文/2002B：彩票方案的评价.pdf,primary,True,,2026-08-18T00:06:15+08:00
MEM-CUMCM-2008-C-001-8A9D2696,CUMCM-2008-C-001,2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008C：《地面搜索的安排计划》.pdf,primary,True,,2026-08-18T00:06:15+08:00
MEM-CUMCM-2020-D-001-CF4B5137,CUMCM-2020-D-001,2020年数学建模国赛真题+优秀论文/2020年优秀论文/2020D：接触式轮廓仪校准问题.pdf,primary,True,,2026-08-18T00:06:15+08:00
MEM-CUMCM-2018-A-001-AE162485,CUMCM-2018-A-001,2018年数学建模国赛真题+优秀论文/2018年优秀论文/2018A：基于非稳态导热的高温作业专用服装设计.pdf,primary,True,,2026-08-18T00:06:15+08:00
MEM-CUMCM-2001-A-002-6AAB07C9,CUMCM-2001-A-002,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：血管三维重建的问题.pdf,primary,True,,2026-08-18T00:06:15+08:00
MEM-CUMCM-1997-A-001-EA2B6020,CUMCM-1997-A-001,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件的参数设计(2).pdf,primary,True,,2026-08-18T00:06:15+08:00
MEM-CUMCM-2015-A-001-F5B0A182,CUMCM-2015-A-001,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (4).pdf,primary,True,,2026-08-18T00:06:15+08:00
MEM-CUMCM-2017-A-001-C36D6972,CUMCM-2017-A-001,2017年数学建模国赛真题+优秀论文/2017年优秀论文/2017A：CT系统参数标定及成像  (3).pdf,primary,True,,2026-08-18T00:06:15+08:00
MEM-CUMCM-2002-A-001-72AC6758,CUMCM-2002-A-001,2002年数学建模国赛真题+优秀论文/2002年优秀论文/2002A：车灯线光源的优化设计 (2).pdf,primary,True,,2026-08-18T00:06:15+08:00
