path,year,problem_code,source_identifier,reason
.gitattributes,unknown,unknown,unknown,Unclear classification
.gitignore,unknown,unknown,unknown,Unclear classification
.bootstrap/build_index.part00,unknown,unknown,unknown,Unclear classification
.github/trigger-finalize-2010-v2,unknown,unknown,unknown,Unclear classification
1993年数学建模国赛真题+优秀论文/1993年国赛真题/1993年国赛赛题.pdf,1993,unknown,unknown,PROBLEM_UNKNOWN
1994年数学建模国赛真题+优秀论文/1994年国赛优秀论文/1994A数学建模优秀论文.pdf,1994,unknown,unknown,PROBLEM_UNKNOWN
1994年数学建模国赛真题+优秀论文/1994年国赛优秀论文/1994B数学建模优秀论文.pdf,1994,unknown,unknown,PROBLEM_UNKNOWN
1994年数学建模国赛真题+优秀论文/1994年国赛优秀论文/1994年全国大学生数学建模竞赛优秀论文全集.pdf,1994,unknown,unknown,PROBLEM_UNKNOWN
1994年数学建模国赛真题+优秀论文/1994年国赛赛题/1994年国赛赛题.pdf,1994,unknown,unknown,PROBLEM_UNKNOWN
1995年数学建模国赛真题+优秀论文/1995年国赛赛题/1995年国赛赛题.pdf,1995,unknown,unknown,PROBLEM_UNKNOWN
1996年数学建模国赛真题+优秀论文/1996年国赛赛题/1996年国赛赛题.pdf,1996,unknown,unknown,PROBLEM_UNKNOWN
1997年数学建模国赛真题+优秀论文/1997年国赛赛题/1997年国赛赛题.pdf,1997,unknown,unknown,PROBLEM_UNKNOWN
1998年数学建模国赛真题+优秀论文/1998年国赛赛题/1998年国赛赛题.pdf,1998,unknown,unknown,PROBLEM_UNKNOWN
1999年数学建模国赛真题+优秀论文/1999年国赛赛题/1999年国赛赛题.pdf,1999,unknown,unknown,PROBLEM_UNKNOWN
2000年数学建模国赛真题+优秀论文/2000年国赛赛题/2000年国赛赛题.pdf,2000,unknown,unknown,PROBLEM_UNKNOWN
2013年数学建模国赛真题+优秀论文/全国大学生数学建模竞赛参赛规则2013.pdf,2013,unknown,unknown,PROBLEM_UNKNOWN
2014年数学建模国赛真题+优秀论文/2014年赛题/全国大学生数学建模竞赛参赛规则.pdf,2014,unknown,unknown,PROBLEM_UNKNOWN
2014年数学建模国赛真题+优秀论文/2014年赛题/全国大学生数学建模竞赛报名和参赛须知.doc,2014,unknown,unknown,PROBLEM_UNKNOWN
2020年数学建模国赛真题+优秀论文/2020年优秀论文/2020Ｅ：校园供水系统智能管理（１）.pdf,2020,unknown,unknown,PROBLEM_UNKNOWN
2020年数学建模国赛真题+优秀论文/2020年优秀论文/2020Ｅ：校园供水系统智能管理（２）.pdf,2020,unknown,unknown,PROBLEM_UNKNOWN
2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/A092.pdf,2023,unknown,A092,PROBLEM_UNKNOWN
2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/A127.pdf,2023,unknown,A127,PROBLEM_UNKNOWN
2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/A165.pdf,2023,unknown,A165,PROBLEM_UNKNOWN
2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/A175.pdf,2023,unknown,A175,PROBLEM_UNKNOWN
2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/B226.pdf,2023,unknown,B226,PROBLEM_UNKNOWN
2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/B311.pdf,2023,unknown,B311,PROBLEM_UNKNOWN
2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/B477.pdf,2023,unknown,B477,PROBLEM_UNKNOWN
2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/C050.pdf,2023,unknown,C050,PROBLEM_UNKNOWN
2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/C126.pdf,2023,unknown,C126,PROBLEM_UNKNOWN
2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/C228.pdf,2023,unknown,C228,PROBLEM_UNKNOWN
2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/C235.pdf,2023,unknown,C235,PROBLEM_UNKNOWN
2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/D039.pdf,2023,unknown,D039,PROBLEM_UNKNOWN
2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/E032.pdf,2023,unknown,E032,PROBLEM_UNKNOWN
2023年数学建模国赛真题+优秀论文/2023数学建模竞赛展示论文/2023年展示论文/E176.pdf,2023,unknown,E176,PROBLEM_UNKNOWN
2024年数学建模国赛真题+优秀论文/2024真题/format2024.doc,2024,unknown,unknown,PROBLEM_UNKNOWN
2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/format2025.doc,2025,unknown,unknown,PROBLEM_UNKNOWN
2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,2025,A,A066,RESOLVED_G3-25R_SOURCE_ID_MAPPING
2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A196.pdf,2025,A,A196,RESOLVED_G3-25R_SOURCE_ID_MAPPING
2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/B060.pdf,2025,B,B060,RESOLVED_G3-25R_SOURCE_ID_MAPPING
2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/C023.pdf,2025,C,C023,RESOLVED_G3-25R_SOURCE_ID_MAPPING
2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/C0231779859404.docx,2025,unknown,C0231,PROBLEM_UNKNOWN
2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/C132.pdf,2025,C,C132,RESOLVED_G3-25R_SOURCE_ID_MAPPING
2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/D037.pdf,2025,D,D037,RESOLVED_G3-25R_SOURCE_ID_MAPPING
2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/E030.pdf,2025,E,E030,RESOLVED_G3-25R_SOURCE_ID_MAPPING
catalog/manifest.jsonl,unknown,unknown,unknown,Unclear classification
2022年数学建模国赛真题+优秀论文/2022年国赛优秀论文A001/微信图片_20221106222404.jpg,2022,unknown,A001,IMAGE_SEQUENCE_IDENTITY_UNKNOWN
2022年数学建模国赛真题+优秀论文/2022年国赛优秀论文A001/微信图片_20221106222440.jpg,2022,unknown,A001,IMAGE_SEQUENCE_IDENTITY_UNKNOWN
2022年数学建模国赛真题+优秀论文/2022年国赛优秀论文A001/微信图片_20221106222446.jpg,2022,unknown,A001,IMAGE_SEQUENCE_IDENTITY_UNKNOWN
2022年数学建模国赛真题+优秀论文/2022年国赛优秀论文A001/微信图片_20221106222449.jpg,2022,unknown,A001,IMAGE_SEQUENCE_IDENTITY_UNKNOWN
2022年数学建模国赛真题+优秀论文/2022年国赛优秀论文A001/微信图片_20221106222452.jpg,2022,unknown,A001,IMAGE_SEQUENCE_IDENTITY_UNKNOWN
