paper_id,year,problem_code,title,title_status,source_identifier,original_path,original_sha256,file_format,quality_grade,repair_status,same_work_group,metadata_status,manual_review
"CUMCM-2015-A-001","2015","A","unknown","needs_review","001","2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (1).pdf","f3d4b18a4d728686016dc5452cd59d787744190141d355af865f2892ad34bc6d",".pdf","unknown","pending","","needs_review","pending"
"CUMCM-2015-A-002","2015","A","unknown","needs_review","002","2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (2).pdf","fc454f4cfaa4954ca17102d39cfa948733fe649d006cff8c1dad4b8faddb809f",".pdf","unknown","pending","","needs_review","pending"
"CUMCM-2015-A-003","2015","A","unknown","needs_review","003","2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (3).pdf","9abd2c75f32dd636160bb9076b2cfc32aa6c82e4f37874c9afaacfc04ab7617b",".pdf","unknown","pending","","needs_review","pending"
"CUMCM-2015-A-004","2015","A","unknown","needs_review","004","2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (4).pdf","f5b0a1828e9bb3d91c7c054f89f3152bb68f2b9c3cc4abd0e57803793c77d752",".pdf","unknown","pending","","needs_review","pending"
"CUMCM-2015-A-005","2015","A","unknown","needs_review","005","2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (5).pdf","8ed079bee1eac8d7c76d3b08c45ea17648bd7a3c9564c51bfd7a749330b7fe88",".pdf","unknown","pending","","needs_review","pending"
"CUMCM-2015-A-006","2015","A","unknown","needs_review","006","2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (6).pdf","61471733a48208e30a4521befa637abb1eeb706a4f30dfa5ef6133804454ff47",".pdf","unknown","pending","","needs_review","pending"
"CUMCM-2015-A-007","2015","A","unknown","needs_review","007","2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (7).pdf","2b6c0133abe0be08c3b41ea7dae49b171a3d64664739c1f13b576575eeacfb99",".pdf","unknown","pending","","needs_review","pending"
"CUMCM-2015-B-001","2015","B","unknown","needs_review","001","2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (1).pdf","76f00f79b88efaa3ad273c472a8e6c31496f81d65d5a80675b241f8d14c58787",".pdf","unknown","pending","","needs_review","pending"
"CUMCM-2015-B-002","2015","B","unknown","needs_review","002","2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (2).pdf","b91e2d69d66078a2d23e9c51a972248c066176505f6c97c95765a42f3ee45b61",".pdf","unknown","pending","","needs_review","pending"
"CUMCM-2015-B-003","2015","B","unknown","needs_review","003","2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (3).pdf","10d95a262eccb2559a96fab8502f3452c1bce7849aad8228a938edd0a785fbf1",".pdf","unknown","pending","","needs_review","pending"
"CUMCM-2015-B-004","2015","B","unknown","needs_review","004","2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (4).pdf","e3801a701cd22dbf9dc9b9d308b28c85928fe04a49e139c8247c3adb0b536d2f",".pdf","unknown","pending","","needs_review","pending"
"CUMCM-2015-B-005","2015","B","unknown","needs_review","005","2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (5).pdf","e25e78987e2128f6d30011825c0bd0101cdcae4f70f46e6190dd8eeb9bb53c94",".pdf","unknown","pending","","needs_review","pending"
"CUMCM-2015-C-001","2015","C","unknown","needs_review","001","2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015C：月上柳梢头，人约黄昏后 (1).docx","e8e506bfd7e29bff44dd4560c53999d4af2507da16cd265b2d57493786d6d24a",".docx","unknown","pending","","needs_review","pending"
"CUMCM-2015-C-002","2015","C","unknown","needs_review","002","2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015C：月上柳梢头，人约黄昏后 (2).docx","2fd325acb13ef5d9c5fc80330a55d0908ef258dab2c406b883ab344ea5b4ca46",".docx","unknown","pending","","needs_review","pending"
"CUMCM-2015-C-003","2015","C","unknown","needs_review","003","2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015C：月上柳梢头，人约黄昏后 (3).pdf","f8a016049c5beb377099c27c2b4ca167e23b120cca23a041b013a88924956977",".pdf","unknown","pending","","needs_review","pending"
"CUMCM-2015-C-004","2015","C","unknown","needs_review","004","2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015C：月上柳梢头，人约黄昏后 (4).pdf","a26039c0098ce1fb1b2c4abe97617293b85c9a8e1b5b600df697801b1e5c6504",".pdf","unknown","pending","","needs_review","pending"
"CUMCM-2015-D-001","2015","D","unknown","needs_review","001","2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015D：众筹筑屋规划方案设计 (1).doc","9abca9291fb804c69c8b75634e4bec7252333e0616743b6a01f11d2c9056f84e",".doc","unknown","pending","","needs_review","pending"
"CUMCM-2015-D-002","2015","D","unknown","needs_review","002","2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015D：众筹筑屋规划方案设计 (2).doc","1ca32d3e5aa605c36a8cb2c1dcdb1ad7b0b2302994f3b18366ca59c3b7b69ee8",".doc","unknown","pending","","needs_review","pending"
