path,sha256,pages,text_layer,scan_only,quality_grade,issues
"2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (1).pdf","f3d4b18a4d728686016dc5452cd59d787744190141d355af865f2892ad34bc6d",32,true,false,"Q0",""
"2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (2).pdf","fc454f4cfaa4954ca17102d39cfa948733fe649d006cff8c1dad4b8faddb809f",30,true,false,"Q0",""
"2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (3).pdf","9abd2c75f32dd636160bb9076b2cfc32aa6c82e4f37874c9afaacfc04ab7617b",27,true,false,"Q0",""
"2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (4).pdf","f5b0a1828e9bb3d91c7c054f89f3152bb68f2b9c3cc4abd0e57803793c77d752",47,true,false,"Q0",""
"2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (5).pdf","8ed079bee1eac8d7c76d3b08c45ea17648bd7a3c9564c51bfd7a749330b7fe88",26,true,false,"Q0",""
"2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (6).pdf","61471733a48208e30a4521befa637abb1eeb706a4f30dfa5ef6133804454ff47",26,true,false,"Q0",""
"2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (7).pdf","2b6c0133abe0be08c3b41ea7dae49b171a3d64664739c1f13b576575eeacfb99",40,true,false,"Q0",""
"2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (1).pdf","76f00f79b88efaa3ad273c472a8e6c31496f81d65d5a80675b241f8d14c58787",32,true,false,"Q0",""
"2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (2).pdf","b91e2d69d66078a2d23e9c51a972248c066176505f6c97c95765a42f3ee45b61",42,true,false,"Q0",""
"2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (3).pdf","10d95a262eccb2559a96fab8502f3452c1bce7849aad8228a938edd0a785fbf1",26,true,false,"Q0",""
"2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (4).pdf","e3801a701cd22dbf9dc9b9d308b28c85928fe04a49e139c8247c3adb0b536d2f",31,true,false,"Q0",""
"2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (5).pdf","e25e78987e2128f6d30011825c0bd0101cdcae4f70f46e6190dd8eeb9bb53c94",19,true,false,"Q0",""
"2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015C：月上柳梢头，人约黄昏后 (3).pdf","f8a016049c5beb377099c27c2b4ca167e23b120cca23a041b013a88924956977",50,true,false,"Q0",""
"2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015C：月上柳梢头，人约黄昏后 (4).pdf","a26039c0098ce1fb1b2c4abe97617293b85c9a8e1b5b600df697801b1e5c6504",25,true,false,"Q0",""
"2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015D：众筹筑屋规划方案设计 (3).pdf","74203b2e3b6ebf7fbefca0aa82e360c4967474a6d1af70e1ce569110ed4531e3",21,true,false,"Q0",""
"2015年数学建模国赛真题+优秀论文/2015年赛题/2015年国赛D题附件2 中华人民共和国土地增值税暂行条例.pdf","d5ae5c859d9fd9ffd48d5493455d254334d15cbc082f93109fe2aab9d8697c42",5,true,false,"Q0",""
"2015年数学建模国赛真题+优秀论文/2015年赛题/2015年国赛D题附件3 其他相关说明.pdf","a3c542cf191ab8f7a6fbe4da6085f4b8a4bc5871e464916f9bc049c9c7e0c3a4",1,true,false,"Q0",""
"2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/A题/A题.pdf","a37f6aad30b16ea09da9cb320ce194b12d3a28874008cf9ff19549f6c6079447",1,true,false,"Q0",""
"2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/B题/B题.pdf","b0b2ce649282c2d7063af3c30ac9c0d931512dc86014d3147bc765d8f1c8cf87",2,true,false,"Q0",""
"2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/C题/C题.pdf","d54400f4bb9920c0d37f15f5b6bc161aa281c4b32c03c063efdeb739716eac08",2,true,false,"Q0",""
"2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/D题/D题.pdf","280d690a1f78f5ff0889760592bf30de903ac5144ed8491d59ae744e560c4aa8",2,true,false,"Q0",""
"2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/E题/E题.pdf","1e6ecc6d75d2aaa0eae3dc961704fd17f1cd452a51490c80855a9f799ce1a958",1,true,false,"Q0",""
"2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf","9c14eab19304fe45a36e45a965fa740e2636690630ecd8528335d4e4aec3e2d4",86,true,false,"Q0",""
"2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A196.pdf","b5fb5fe4b2d06998bc85bb9276cf16afc1755913d91f18c01d5209f8f13ada92",98,true,false,"Q0",""
"2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/B060.pdf","17c1b7e255dcbb8e8ac34c0a750e39d7df1ee4a5ed0d0323b46388f168090330",72,true,false,"Q0",""
"2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/C023.pdf","515fd73059b427606ffd099781a124d34bac3306bee87c61d47259622351eb17",122,true,false,"Q0",""
"2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/C132.pdf","08ec307cdc65a673e6838e2e3d00b2337da414e7891284617e10f370e5f246b5",65,true,false,"Q0",""
"2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/D037.pdf","bdbed46ff5d5841af82fa6441c8ab3d83a62658672857e445deadfd8dad1f0ac",37,true,false,"Q0",""
