paper_id,year,problem,member_file_count,member_file_paths,primary_file_path,primary_file_sha256,quality_profile,artifact_generation_mode,expected_primary_artifacts
CUMCM-2015-A-001,2015,A,1,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (4).pdf,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (4).pdf,F5B0A1828E9BB3D91C7C054F89F3152BB68F2B9C3CC4ABD0E57803793C77D752,Q0=1;Q1=0;Q2=0;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2015-A-003,2015,A,1,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (2).pdf,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (2).pdf,FC454F4CFAA4954CA17102D39CFA948733FE649D006CFF8C1DAD4B8FADDB809F,Q0=1;Q1=0;Q2=0;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2015-A-004,2015,A,1,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (6).pdf,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (6).pdf,61471733A48208E30A4521BEFA637ABB1EEB706A4F30DFA5EF6133804454FF47,Q0=0;Q1=1;Q2=0;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2015-A-005,2015,A,1,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (5).pdf,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (5).pdf,8ED079BEE1EAC8D7C76D3B08C45EA17648BD7A3C9564C51BFD7A749330B7FE88,Q0=0;Q1=1;Q2=0;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2015-A-006,2015,A,1,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (7).pdf,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (7).pdf,2B6C0133ABE0BE08C3B41EA7DAE49B171A3D64664739C1F13B576575EEACFB99,Q0=1;Q1=0;Q2=0;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2015-A-007,2015,A,1,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (1).pdf,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (1).pdf,F3D4B18A4D728686016DC5452CD59D787744190141D355AF865F2892AD34BC6D,Q0=1;Q1=0;Q2=0;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2015-A-008,2015,A,1,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (3).pdf,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (3).pdf,9ABD2C75F32DD636160BB9076B2CFC32AA6C82E4F37874C9AFAACFC04AB7617B,Q0=1;Q1=0;Q2=0;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2015-B-001,2015,B,1,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (5).pdf,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (5).pdf,E25E78987E2128F6D30011825C0BD0101CDCAE4F70F46E6190DD8EEB9BB53C94,Q0=1;Q1=0;Q2=0;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2015-B-002,2015,B,1,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (2).pdf,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (2).pdf,B91E2D69D66078A2D23E9C51A972248C066176505F6C97C95765A42F3EE45B61,Q0=1;Q1=0;Q2=0;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2015-B-003,2015,B,1,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (1).pdf,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (1).pdf,76F00F79B88EFAA3AD273C472A8E6C31496F81D65D5A80675B241F8D14C58787,Q0=0;Q1=1;Q2=0;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2015-B-004,2015,B,1,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (4).pdf,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (4).pdf,E3801A701CD22DBF9DC9B9D308B28C85928FE04A49E139C8247C3ADB0B536D2F,Q0=1;Q1=0;Q2=0;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2015-B-006,2015,B,1,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (3).pdf,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (3).pdf,10D95A262ECCB2559A96FAB8502F3452C1BCE7849AAD8228A938EDD0A785FBF1,Q0=1;Q1=0;Q2=0;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2015-C-002,2015,C,1,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015C：月上柳梢头，人约黄昏后 (4).pdf,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015C：月上柳梢头，人约黄昏后 (4).pdf,A26039C0098CE1FB1B2C4ABE97617293B85C9A8E1B5B600DF697801B1E5C6504,Q0=1;Q1=0;Q2=0;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
CUMCM-2015-C-005,2015,C,1,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015C：月上柳梢头，人约黄昏后 (3).pdf,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015C：月上柳梢头，人约黄昏后 (3).pdf,F8A016049C5BEB377099C27C2B4CA167E23B120CCA23A041B013A88924956977,Q0=1;Q1=0;Q2=0;Q3=0;Q4=0;Q5=0,one_paper_level_artifact_set_from_memberships,3
