paper_id,year,subject_type,artifact_eligible,paper_md_status,metadata_status,knowledge_card_status,provenance_status,overall_status
CUMCM-2015-A-001,2015,PAPER,1,PASS,PASS,PASS,PASS,PASS
CUMCM-2015-A-003,2015,PAPER,1,PASS,PASS,PASS,PASS,PASS
CUMCM-2015-A-004,2015,PAPER,1,PASS,PASS,PASS,PASS,PASS
CUMCM-2015-A-005,2015,PAPER,1,PASS,PASS,PASS,PASS,PASS
CUMCM-2015-A-006,2015,PAPER,1,PASS,PASS,PASS,PASS,PASS
CUMCM-2015-A-007,2015,PAPER,1,PASS,PASS,PASS,PASS,PASS
CUMCM-2015-A-008,2015,PAPER,1,PASS,PASS,PASS,PASS,PASS
CUMCM-2015-B-001,2015,PAPER,1,PASS,PASS,PASS,PASS,PASS
CUMCM-2015-B-002,2015,PAPER,1,PASS,PASS,PASS,PASS,PASS
CUMCM-2015-B-003,2015,PAPER,1,PASS,PASS,PASS,PASS,PASS
CUMCM-2015-B-004,2015,PAPER,1,PASS,PASS,PASS,PASS,PASS
CUMCM-2015-B-006,2015,PAPER,1,PASS,PASS,PASS,PASS,PASS
CUMCM-2015-C-002,2015,PAPER,1,PASS,PASS,PASS,PASS,PASS
CUMCM-2015-C-005,2015,PAPER,1,PASS,PASS,PASS,PASS,PASS
CUMCM-2015-D-003,2015,PAPER,1,PASS,PASS,PASS,PASS,PASS
CUMCM-2025-A-A066,2025,PAPER,1,PASS,PASS,PASS,PASS,PASS
CUMCM-2025-A-A196,2025,PAPER,1,PASS,PASS,PASS,PASS,PASS
CUMCM-2025-B-B060,2025,PAPER,1,PASS,PASS,PASS,PASS,PASS
CUMCM-2025-C-C023,2025,PAPER,1,PASS,PASS,PASS,PASS,PASS
CUMCM-2025-C-C132,2025,PAPER,1,PASS,PASS,PASS,PASS,PASS
CUMCM-2025-D-D037,2025,PAPER,1,PASS,PASS,PASS,PASS,PASS
CUMCM-2025-E-E030,2025,PAPER,1,PASS,PASS,PASS,PASS,PASS
