paper_id,source_page,original_file_path,original_sha256,readable_file_path,readable_sha256,pdf_inspector_page_chars,poppler_page_chars,pdf_inspector_status,poppler_status,verified_blank_page,final_page_class,classification_evidence,status
CUMCM-2025-A-A066,1,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,2059,1949,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=1 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,2,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,1761,1635,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=2 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,3,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,944,957,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=3 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,4,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,1685,1667,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=4 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,5,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,796,770,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=5 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,6,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,1212,1230,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=6 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,7,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,617,646,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=7 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,8,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,618,692,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=8 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,9,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,1172,1173,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=9 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,10,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,771,864,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=10 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,11,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,877,895,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=11 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,12,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,1122,1115,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=12 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,13,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,645,630,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=13 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,14,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,889,900,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=14 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,15,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,828,859,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=15 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,16,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,1056,1063,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=16 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,17,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,1216,1146,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=17 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,18,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,935,907,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=18 uses 1-based numbering.,PASS
