paper_id,artifact_type,artifact_path,artifact_exists,artifact_sha_match,parse_readability_valid,owner_valid,manifest_valid,status
CUMCM-2015-A-001,paper.md,derived/pilot/papers/CUMCM-2015-A-001/paper.md,1,1,1,1,1,PASS
CUMCM-2015-A-001,metadata.yaml,derived/pilot/papers/CUMCM-2015-A-001/metadata.yaml,1,1,1,1,1,PASS
CUMCM-2015-A-001,knowledge_card.md,derived/pilot/papers/CUMCM-2015-A-001/knowledge_card.md,1,1,1,1,1,PASS
CUMCM-2015-A-003,paper.md,derived/pilot/papers/CUMCM-2015-A-003/paper.md,1,1,1,1,1,PASS
CUMCM-2015-A-003,metadata.yaml,derived/pilot/papers/CUMCM-2015-A-003/metadata.yaml,1,1,1,1,1,PASS
CUMCM-2015-A-003,knowledge_card.md,derived/pilot/papers/CUMCM-2015-A-003/knowledge_card.md,1,1,1,1,1,PASS
CUMCM-2015-A-004,paper.md,derived/pilot/papers/CUMCM-2015-A-004/paper.md,1,1,1,1,1,PASS
CUMCM-2015-A-004,metadata.yaml,derived/pilot/papers/CUMCM-2015-A-004/metadata.yaml,1,1,1,1,1,PASS
CUMCM-2015-A-004,knowledge_card.md,derived/pilot/papers/CUMCM-2015-A-004/knowledge_card.md,1,1,1,1,1,PASS
CUMCM-2015-A-005,paper.md,derived/pilot/papers/CUMCM-2015-A-005/paper.md,1,1,1,1,1,PASS
CUMCM-2015-A-005,metadata.yaml,derived/pilot/papers/CUMCM-2015-A-005/metadata.yaml,1,1,1,1,1,PASS
CUMCM-2015-A-005,knowledge_card.md,derived/pilot/papers/CUMCM-2015-A-005/knowledge_card.md,1,1,1,1,1,PASS
CUMCM-2015-A-006,paper.md,derived/pilot/papers/CUMCM-2015-A-006/paper.md,1,1,1,1,1,PASS
CUMCM-2015-A-006,metadata.yaml,derived/pilot/papers/CUMCM-2015-A-006/metadata.yaml,1,1,1,1,1,PASS
CUMCM-2015-A-006,knowledge_card.md,derived/pilot/papers/CUMCM-2015-A-006/knowledge_card.md,1,1,1,1,1,PASS
CUMCM-2015-A-007,paper.md,derived/pilot/papers/CUMCM-2015-A-007/paper.md,1,1,1,1,1,PASS
CUMCM-2015-A-007,metadata.yaml,derived/pilot/papers/CUMCM-2015-A-007/metadata.yaml,1,1,1,1,1,PASS
CUMCM-2015-A-007,knowledge_card.md,derived/pilot/papers/CUMCM-2015-A-007/knowledge_card.md,1,1,1,1,1,PASS
CUMCM-2015-A-008,paper.md,derived/pilot/papers/CUMCM-2015-A-008/paper.md,1,1,1,1,1,PASS
CUMCM-2015-A-008,metadata.yaml,derived/pilot/papers/CUMCM-2015-A-008/metadata.yaml,1,1,1,1,1,PASS
CUMCM-2015-A-008,knowledge_card.md,derived/pilot/papers/CUMCM-2015-A-008/knowledge_card.md,1,1,1,1,1,PASS
CUMCM-2015-B-001,paper.md,derived/pilot/papers/CUMCM-2015-B-001/paper.md,1,1,1,1,1,PASS
CUMCM-2015-B-001,metadata.yaml,derived/pilot/papers/CUMCM-2015-B-001/metadata.yaml,1,1,1,1,1,PASS
CUMCM-2015-B-001,knowledge_card.md,derived/pilot/papers/CUMCM-2015-B-001/knowledge_card.md,1,1,1,1,1,PASS
CUMCM-2015-B-002,paper.md,derived/pilot/papers/CUMCM-2015-B-002/paper.md,1,1,1,1,1,PASS
CUMCM-2015-B-002,metadata.yaml,derived/pilot/papers/CUMCM-2015-B-002/metadata.yaml,1,1,1,1,1,PASS
CUMCM-2015-B-002,knowledge_card.md,derived/pilot/papers/CUMCM-2015-B-002/knowledge_card.md,1,1,1,1,1,PASS
CUMCM-2015-B-003,paper.md,derived/pilot/papers/CUMCM-2015-B-003/paper.md,1,1,1,1,1,PASS
CUMCM-2015-B-003,metadata.yaml,derived/pilot/papers/CUMCM-2015-B-003/metadata.yaml,1,1,1,1,1,PASS
CUMCM-2015-B-003,knowledge_card.md,derived/pilot/papers/CUMCM-2015-B-003/knowledge_card.md,1,1,1,1,1,PASS
CUMCM-2015-B-004,paper.md,derived/pilot/papers/CUMCM-2015-B-004/paper.md,1,1,1,1,1,PASS
CUMCM-2015-B-004,metadata.yaml,derived/pilot/papers/CUMCM-2015-B-004/metadata.yaml,1,1,1,1,1,PASS
CUMCM-2015-B-004,knowledge_card.md,derived/pilot/papers/CUMCM-2015-B-004/knowledge_card.md,1,1,1,1,1,PASS
CUMCM-2015-B-006,paper.md,derived/pilot/papers/CUMCM-2015-B-006/paper.md,1,1,1,1,1,PASS
CUMCM-2015-B-006,metadata.yaml,derived/pilot/papers/CUMCM-2015-B-006/metadata.yaml,1,1,1,1,1,PASS
CUMCM-2015-B-006,knowledge_card.md,derived/pilot/papers/CUMCM-2015-B-006/knowledge_card.md,1,1,1,1,1,PASS
CUMCM-2015-C-002,paper.md,derived/pilot/papers/CUMCM-2015-C-002/paper.md,1,1,1,1,1,PASS
CUMCM-2015-C-002,metadata.yaml,derived/pilot/papers/CUMCM-2015-C-002/metadata.yaml,1,1,1,1,1,PASS
CUMCM-2015-C-002,knowledge_card.md,derived/pilot/papers/CUMCM-2015-C-002/knowledge_card.md,1,1,1,1,1,PASS
CUMCM-2015-C-005,paper.md,derived/pilot/papers/CUMCM-2015-C-005/paper.md,1,1,1,1,1,PASS
CUMCM-2015-C-005,metadata.yaml,derived/pilot/papers/CUMCM-2015-C-005/metadata.yaml,1,1,1,1,1,PASS
CUMCM-2015-C-005,knowledge_card.md,derived/pilot/papers/CUMCM-2015-C-005/knowledge_card.md,1,1,1,1,1,PASS
