paper_id,artifact_count,paper_md_valid,metadata_valid,knowledge_card_valid,provenance_valid,source_links_valid,index_valid,search_smoke_relevant,overall_status
CUMCM-2015-A-001,3,1,1,1,1,1,1,1,PASS
CUMCM-2015-A-003,3,1,1,1,1,1,1,1,PASS
CUMCM-2015-A-004,3,1,1,1,1,1,1,1,PASS
CUMCM-2015-A-005,3,1,1,1,1,1,1,1,PASS
CUMCM-2015-A-006,3,1,1,1,1,1,1,1,PASS
CUMCM-2015-A-007,3,1,1,1,1,1,1,1,PASS
CUMCM-2015-A-008,3,1,1,1,1,1,1,1,PASS
CUMCM-2015-B-001,3,1,1,1,1,1,1,1,PASS
CUMCM-2015-B-002,3,1,1,1,1,1,1,1,PASS
CUMCM-2015-B-003,3,1,1,1,1,1,1,1,PASS
CUMCM-2015-B-004,3,1,1,1,1,1,1,1,PASS
CUMCM-2015-B-006,3,1,1,1,1,1,1,1,PASS
CUMCM-2015-C-002,3,1,1,1,1,1,1,1,PASS
CUMCM-2015-C-005,3,1,1,1,1,1,1,1,PASS
CUMCM-2015-D-003,3,1,1,1,1,1,1,1,PASS
CUMCM-2025-A-A066,3,1,1,1,1,1,1,1,PASS
CUMCM-2025-A-A196,3,1,1,1,1,1,1,1,PASS
CUMCM-2025-B-B060,3,1,1,1,1,1,1,1,PASS
CUMCM-2025-C-C023,3,1,1,1,1,1,1,1,PASS
CUMCM-2025-C-C132,3,1,1,1,1,1,1,1,PASS
CUMCM-2025-D-D037,3,1,1,1,1,1,1,1,PASS
CUMCM-2025-E-E030,3,1,1,1,1,1,1,1,PASS
