file_path,source_sha256,file_size_bytes,year,problem_code,pdf_type,page_count,confidence,has_encoding_issues,is_complex_layout,pages_needing_ocr,pages_with_tables,pages_with_columns,open_success,classification_error,detection_error,machine_routing,visual_review_required,visual_review_reason,page_zero_in_output,out_of_range_pages,cache_hit,audited_at,sha256,g1_sha256,sha_match,issues,pre_audit_sha,post_audit_sha,sha_changed_by_audit,timestamp,pdf_inspector_version,audit_schema_version,audit_year,audit_source_file
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (1).pdf,F3D4B18A4D728686016DC5452CD59D787744190141D355AF865F2892AD34BC6D,1054579,2015,unknown,text_based,32,1.0,False,False,[],[],[],True,,,NATIVE_TEXT_REVIEW,False,,0,0,False,2026-08-20T11:29:00+0800,,,,,,,,,,,2015,catalog/pilot/pdf_audit_2015.csv
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (2).pdf,FC454F4CFAA4954CA17102D39CFA948733FE649D006CFF8C1DAD4B8FADDB809F,513968,2015,unknown,text_based,30,1.0,False,False,[],[],[],True,,,NATIVE_TEXT_REVIEW,False,,0,0,False,2026-08-20T11:29:00+0800,,,,,,,,,,,2015,catalog/pilot/pdf_audit_2015.csv
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (3).pdf,9ABD2C75F32DD636160BB9076B2CFC32AA6C82E4F37874C9AFAACFC04AB7617B,1155152,2015,unknown,text_based,27,1.0,False,False,[],[],[],True,,,NATIVE_TEXT_REVIEW,False,,0,0,False,2026-08-20T11:29:00+0800,,,,,,,,,,,2015,catalog/pilot/pdf_audit_2015.csv
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (4).pdf,F5B0A1828E9BB3D91C7C054F89F3152BB68F2B9C3CC4ABD0E57803793C77D752,2565169,2015,unknown,text_based,47,1.0,False,False,[],[],[],True,,,NATIVE_TEXT_REVIEW,False,,0,0,False,2026-08-20T11:29:00+0800,,,,,,,,,,,2015,catalog/pilot/pdf_audit_2015.csv
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (5).pdf,8ED079BEE1EAC8D7C76D3B08C45EA17648BD7A3C9564C51BFD7A749330B7FE88,1053033,2015,unknown,mixed,26,0.7625000476837158,False,False,[26],[],[],True,,,MIXED_TEXT_OCR_REVIEW,True,pdf_type=mixed,0,0,False,2026-08-20T11:29:00+0800,,,,,,,,,,,2015,catalog/pilot/pdf_audit_2015.csv
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (6).pdf,61471733A48208E30A4521BEFA637ABB1EEB706A4F30DFA5EF6133804454FF47,1053033,2015,unknown,mixed,26,0.7625000476837158,False,False,[26],[],[],True,,,MIXED_TEXT_OCR_REVIEW,True,pdf_type=mixed,0,0,False,2026-08-20T11:29:00+0800,,,,,,,,,,,2015,catalog/pilot/pdf_audit_2015.csv
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (7).pdf,2B6C0133ABE0BE08C3B41EA7DAE49B171A3D64664739C1F13B576575EEACFB99,1294785,2015,unknown,text_based,40,1.0,False,False,[],[],[],True,,,NATIVE_TEXT_REVIEW,False,,0,0,False,2026-08-20T11:29:00+0800,,,,,,,,,,,2015,catalog/pilot/pdf_audit_2015.csv
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (1).pdf,76F00F79B88EFAA3AD273C472A8E6C31496F81D65D5A80675B241F8D14C58787,4990953,2015,unknown,mixed,32,0.7250000238418579,False,False,"[1, 2, 3, 4, 6, 9, 10, 11, 18, 19]",[],[],True,,,MIXED_TEXT_OCR_REVIEW,True,pdf_type=mixed,0,0,False,2026-08-20T11:29:00+0800,,,,,,,,,,,2015,catalog/pilot/pdf_audit_2015.csv
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (2).pdf,B91E2D69D66078A2D23E9C51A972248C066176505F6C97C95765A42F3EE45B61,4116062,2015,unknown,text_based,42,1.0,False,False,[],[],[],True,,,NATIVE_TEXT_REVIEW,False,,0,0,False,2026-08-20T11:29:00+0800,,,,,,,,,,,2015,catalog/pilot/pdf_audit_2015.csv
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (3).pdf,10D95A262ECCB2559A96FAB8502F3452C1BCE7849AAD8228A938EDD0A785FBF1,1167916,2015,unknown,text_based,26,1.0,False,False,[],[],[],True,,,NATIVE_TEXT_REVIEW,False,,0,0,False,2026-08-20T11:29:00+0800,,,,,,,,,,,2015,catalog/pilot/pdf_audit_2015.csv
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (4).pdf,E3801A701CD22DBF9DC9B9D308B28C85928FE04A49E139C8247C3ADB0B536D2F,1366629,2015,unknown,text_based,31,1.0,False,False,[],[],[],True,,,NATIVE_TEXT_REVIEW,False,,0,0,False,2026-08-20T11:29:00+0800,,,,,,,,,,,2015,catalog/pilot/pdf_audit_2015.csv
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015B：互联网+_时代的出租车资源配置 (5).pdf,E25E78987E2128F6D30011825C0BD0101CDCAE4F70F46E6190DD8EEB9BB53C94,984794,2015,unknown,text_based,19,1.0,False,False,[],[],[],True,,,NATIVE_TEXT_REVIEW,False,,0,0,False,2026-08-20T11:29:00+0800,,,,,,,,,,,2015,catalog/pilot/pdf_audit_2015.csv
2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015C：月上柳梢头，人约黄昏后 (3).pdf,F8A016049C5BEB377099C27C2B4CA167E23B120CCA23A041B013A88924956977,1787512,2015,unknown,text_based,50,1.0,False,False,[],[],[],True,,,NATIVE_TEXT_REVIEW,False,,0,0,False,2026-08-20T11:29:00+0800,,,,,,,,,,,2015,catalog/pilot/pdf_audit_2015.csv
