"source_paper_id","target_paper_id","year","problem_code","common_files","evidence","reason","status"
"CUMCM-2013-B-001","CUMCM-2013-B-003","2013","B","19","Common filenames: 000, 001, 002, 003, 004, 005, 006, 007, 008, 009, 010, 011, 012, 013, 014, 015, 016, 017, 018","Common filenames found - needs verification","review"
"CUMCM-2013-B-001","CUMCM-2013-B-004","2013","B","19","Common filenames: 000, 001, 002, 003, 004, 005, 006, 007, 008, 009, 010, 011, 012, 013, 014, 015, 016, 017, 018","Common filenames found - needs verification","review"
"CUMCM-2013-B-001","CUMCM-2013-B-005","2013","B","19","Common filenames: 000, 001, 002, 003, 004, 005, 006, 007, 008, 009, 010, 011, 012, 013, 014, 015, 016, 017, 018","Common filenames found - needs verification","review"
"CUMCM-2013-B-003","CUMCM-2013-B-004","2013","B","209","Common filenames: 000, 001, 002, 003, 004, 005, 006, 007, 008, 009, 010, 011, 012, 013, 014, 015, 016, 017, 018, 019, 020, 021, 022, 023, 024, 025, 026, 027, 028, 029, 030, 031, 032, 033, 034, 035, 036, 037, 038, 039, 040, 041, 042, 043, 044, 045, 046, 047, 048, 049, 050, 051, 052, 053, 054, 055, 056, 057, 058, 059, 060, 061, 062, 063, 064, 065, 066, 067, 068, 069, 070, 071, 072, 073, 074, 075, 076, 077, 078, 079, 080, 081, 082, 083, 084, 085, 086, 087, 088, 089, 090, 091, 092, 093, 094, 095, 096, 097, 098, 099, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208","Common filenames found - needs verification","review"
"CUMCM-2013-B-003","CUMCM-2013-B-005","2013","B","19","Common filenames: 000, 001, 002, 003, 004, 005, 006, 007, 008, 009, 010, 011, 012, 013, 014, 015, 016, 017, 018","Common filenames found - needs verification","review"
"CUMCM-2013-B-004","CUMCM-2013-B-005","2013","B","19","Common filenames: 000, 001, 002, 003, 004, 005, 006, 007, 008, 009, 010, 011, 012, 013, 014, 015, 016, 017, 018","Common filenames found - needs verification","review"
"CUMCM-2021-B-B007","CUMCM-2021-B-B026","2021","B","26","Common filenames: B1, B10, B11, B12, B13, B14, B15, B16, B17, B18, B19, B2, B20, B21, B22, B23, B24, B25, B26, B3, B4, B5, B6, B7, B8, B9","Common filenames found - needs verification","review"
"CUMCM-2021-B-B007","CUMCM-2021-B-B050","2021","B","45","Common filenames: B1, B10, B11, B12, B13, B14, B15, B16, B17, B18, B19, B2, B20, B21, B22, B23, B24, B25, B26, B27, B28, B29, B3, B30, B31, B32, B33, B34, B35, B36, B37, B38, B39, B4, B40, B41, B42, B43, B44, B45, B5, B6, B7, B8, B9","Common filenames found - needs verification","review"
"CUMCM-2021-B-B007","CUMCM-2021-B-B106","2021","B","28","Common filenames: B1, B10, B11, B12, B13, B14, B15, B16, B17, B18, B19, B2, B20, B21, B22, B23, B24, B25, B26, B27, B28, B3, B4, B5, B6, B7, B8, B9","Common filenames found - needs verification","review"
"CUMCM-2021-B-B026","CUMCM-2021-B-B050","2021","B","26","Common filenames: B1, B10, B11, B12, B13, B14, B15, B16, B17, B18, B19, B2, B20, B21, B22, B23, B24, B25, B26, B3, B4, B5, B6, B7, B8, B9","Common filenames found - needs verification","review"
"CUMCM-2021-B-B026","CUMCM-2021-B-B106","2021","B","26","Common filenames: B1, B10, B11, B12, B13, B14, B15, B16, B17, B18, B19, B2, B20, B21, B22, B23, B24, B25, B26, B3, B4, B5, B6, B7, B8, B9","Common filenames found - needs verification","review"
