check_id,category,status,expected,actual,affected_count,affected_ids,evidence
G10-C001,baseline.branch,PASS,library-refactor-v1,library-refactor-v1,0,,catalog/scale/g9_index_rebuild_result.json
G10-C002,baseline.head,PASS,557724fba6572d4d83dc421feda5b17b13ff8d66,557724fba6572d4d83dc421feda5b17b13ff8d66,0,,catalog/scale/g9_index_rebuild_result.json
G10-C003,upstream.g8_final,PASS,1,1,0,,catalog/scale/g8_q3_formal_artifact_generation_result.json
G10-C004,upstream.g9_final,PASS,1,1,0,,catalog/scale/g9_index_rebuild_result.json
G10-C005,identity.cardinality,PASS,642,642,0,,catalog/scale/g8_artifact_eligibility.csv
G10-C006,eligibility.partition,PASS,453+189=642,453+189+0=642,0,,catalog/scale/g8_artifact_eligibility.csv
G10-C007,membership.identity,PASS,0,0,0,,catalog/paper_files.csv
G10-C008,membership.id_uniqueness,PASS,0,0,0,,catalog/paper_files.csv
G10-C009,membership.source_paths,PASS,0,0,0,,catalog/paper_files.csv
G10-C010,membership.source_sha,PASS,0,0,0,,catalog/files.csv
G10-C011,membership.source_sha_format,PASS,0,0,0,,catalog/files.csv
G10-C012,artifact.cardinality,PASS,453/1359,453/1359,0,,catalog/scale/g8_artifact_manifest.csv
G10-C013,artifact.filesystem_sets,PASS,453,453,0,,derived/scale/papers
G10-C014,artifact.three_piece_sets,PASS,0,0,0,,catalog/scale/g8_artifact_manifest.csv
G10-C015,artifact.registry_filesystem_refs,PASS,0,0,0,,catalog/scale/g8_artifact_manifest.csv
G10-C016,artifact.hashes,PASS,1359/0,1359/0,0,,catalog/scale/g8_artifact_manifest.csv
G10-C017,artifact.identity_binding,PASS,453/0,453/0,0,,catalog/scale/g8_artifact_manifest.csv
G10-C018,artifact.metadata,PASS,0,0,0,,catalog/scale/g8_artifact_manifest.csv
G10-C019,index.projection,PASS,0,0,0,,catalog/scale/g9_paper_index.jsonl
G10-C020,index.sha,PASS,86A9E164D6F313441F415EE853522732F07FF7881943D89F38C7877C1B8E727D,86A9E164D6F313441F415EE853522732F07FF7881943D89F38C7877C1B8E727D,0,,catalog/scale/g9_paper_index.csv
G10-C021,index.identity_coverage,PASS,453/0/0,453/0/0,0,,catalog/scale/g9_paper_index.csv
G10-C022,index.artifact_coverage,PASS,1359/0,1359/0,0,,catalog/scale/g9_paper_index.csv
G10-C023,index.identity_metadata,PASS,0,0,0,,catalog/scale/g9_paper_index.csv
G10-C024,index.membership_metadata,PASS,0,0,0,,catalog/scale/g9_paper_index.csv
G10-C025,index.multi_membership,PASS,0,0,0,,catalog/scale/g9_paper_index.csv
G10-C026,q3.closure,PASS,128/0/0/0,128/0/0/0,0,,catalog/scale/g8_artifact_manifest.csv
G10-C027,q3.body_binding,PASS,0,0,0,,catalog/scale/g8_q3_batch_repair
G10-C028,doc.closure,PASS,0,0,0,,catalog/scale/g8_artifact_eligibility.csv
G10-C029,backlog.recompute,PASS,0/0/0,0/0/0,0,,catalog/scale/g8_artifact_manifest.csv
G10-C030,backlog.stored_vs_recomputed,PASS,0/0/0,0/0/0,0,,catalog/scale/g8_q3_formal_artifact_generation_result.json
G10-C031,orphans.extra_formal_files,PASS,0,0,0,,derived/scale/papers
G10-C032,orphans.all_layers,PASS,0,0,0,,catalog/scale/g8_artifact_manifest.csv
G10-C033,duplicate_governance.body_hash,PASS,unexpected=0,governed=32;unexpected=0,0,,catalog/scale/g8_artifact_manifest.csv
G10-C034,sha.representation,PASS,0,0,0,,catalog/scale/g8_artifact_manifest.csv
G10-C035,cardinality.invariants,PASS,0,0,0,,642=453+189;1359=453*3
G10-C036,referential.integrity,PASS,0,0,0,,index->artifact->identity->membership->source
G10-C037,read_only.contract,PASS,0,0,0,,G10 writes only its five evidence outputs
