check_id,check_group,description,expected,actual,status,evidence
G10-R001,baseline,branch matches frozen repository baseline,library-refactor-v1,library-refactor-v1,PASS,direct .git/HEAD ref read
G10-R002,baseline,HEAD matches frozen repository baseline,557724fba6572d4d83dc421feda5b17b13ff8d66,557724fba6572d4d83dc421feda5b17b13ff8d66,PASS,direct branch ref read
G10-R003,upstream,G9 refresh result is PASS for the declared attempt,1,1,PASS,catalog/scale/g9_index_refresh_after_g11_repair_result.json
G10-R004,sha,current G9 CSV SHA matches frozen refreshed SHA,2E22999E3B44508652F3BB27F3B13B3A6222EC998D26F37FEE6A5D8E4EE75939,2E22999E3B44508652F3BB27F3B13B3A6222EC998D26F37FEE6A5D8E4EE75939,PASS,catalog/scale/g9_paper_index.csv
G10-R005,sha,current G9 JSONL SHA matches frozen refreshed SHA,60DEDA60A2B1EFAB1098EB044C205D6F6F8C70FE64140D751C54879D8FC8EE4A,60DEDA60A2B1EFAB1098EB044C205D6F6F8C70FE64140D751C54879D8FC8EE4A,PASS,catalog/scale/g9_paper_index.jsonl
G10-R006,cardinality,formal identity count,642,642,PASS,catalog/scale/g8_artifact_eligibility.csv
G10-R007,cardinality,eligible identity count,453,453,PASS,catalog/scale/g8_artifact_eligibility.csv
G10-R008,cardinality,ineligible identity count,189,189,PASS,catalog/scale/g8_artifact_eligibility.csv
G10-R009,cardinality,artifact set count,453,453,PASS,catalog/scale/g8_artifact_manifest.csv
G10-R010,cardinality,primary artifact count,1359,1359,PASS,catalog/scale/g8_artifact_manifest.csv
G10-R011,cardinality,G9 index record count,453,453,PASS,catalog/scale/g9_paper_index.csv
G10-R012,eligibility,eligible identities with artifacts,453,453,PASS,catalog/scale/g8_artifact_manifest.csv
G10-R013,eligibility,eligible identities without artifacts,0,0,PASS,catalog/scale/g8_artifact_manifest.csv
G10-R014,eligibility,ineligible identities with formal artifacts,0,0,PASS,catalog/scale/g8_artifact_manifest.csv
G10-R015,eligibility,eligible identities indexed,453,453,PASS,catalog/scale/g9_paper_index.csv
G10-R016,eligibility,eligible identities not indexed,0,0,PASS,catalog/scale/g9_paper_index.csv
G10-R017,eligibility,ineligible identities indexed,0,0,PASS,catalog/scale/g9_paper_index.csv
G10-R018,problem_package,PROBLEM_PACKAGE formal artifact count,0,0,PASS,catalog/scale/g8_artifact_eligibility.csv
G10-R019,problem_package,PROBLEM_PACKAGE index record count,0,0,PASS,catalog/scale/g9_paper_index.csv
G10-R020,artifact_binding,artifact set identity bindings pass,453,453,PASS,catalog/scale/g8_artifact_manifest.csv
G10-R021,artifact_binding,artifact set identity binding mismatches,0,0,PASS,catalog/scale/g8_artifact_manifest.csv
G10-R022,artifact_cardinality,primary artifact paths checked,1359,1359,PASS,catalog/scale/g8_artifact_manifest.csv
