sample_order,paper_id,year,problem,marker_only_page_count,marker_count,fully_marker_only,governed_duplicate,body_sha256,source_path,source_sha256,selected_pages,diagnostic_reason,q0_extraction_generation,requires_render_next_stage
1,CUMCM-1992-A-001,1992,A,1,1,1,1,6D45B274DAC003D8F877953199BDDA67DE1BB71644F115208DB1E8E34A9CB7C2,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 施肥效果分析.pdf,F784800B2EE0929904DA04B05C302B0E68D299A70818956AB615EE8D98DD6F2B,1,year=1992; problem=A; duplicate=yes; fully_marker_only=yes; marker_count_bin=1,UNRECORDED_IN_EXISTING_METADATA,1
2,CUMCM-2012-B-B149,2012,B,1,30,0,0,7A5DF53096876F3C887CAE76705332FABCD4CDF2822B78235FB28C4CD81A0DB7,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (4)/B149答卷.pdf,90C31398DACDA50949D10FA75F60E736B124E3947F908667F32FDD5C81F24CE8,28,year=2012; problem=B; duplicate=no; fully_marker_only=no; marker_count_bin=10+,UNRECORDED_IN_EXISTING_METADATA,1
3,CUMCM-1999-C-001,1999,C,7,7,1,1,845EAC42B8D7C797245E742A556F6F7B87F8594979C758FB43031CD6D48DB563,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999C：煤矸石堆积模型.pdf,FD17ED40C59779200ED16509B7A56CFE60AB7492691994722E4A9F870A55915E,"1,2,3,4,5,6,7",year=1999; problem=C; marker_count_bin=5-9,UNRECORDED_IN_EXISTING_METADATA,1
4,CUMCM-2000-D-002,2000,D,3,3,1,1,750BD75CEFFE5D543A1A964F76D8BC65F0B6D50162147B5966FC514A31D8227D,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000D：空洞探测问题及有关情况.pdf,596EA1C71B52E148BD9C187C5E6B55C6C0286D7A3CCDC8281D595FE2686DE3FD,"1,2,3",year=2000; problem=D; marker_count_bin=2-4,UNRECORDED_IN_EXISTING_METADATA,1
5,CUMCM-1996-B-003,1996,B,4,4,1,1,747914D495F481AEA94B89B6481B5B807695DFAC4C1C281DE639E2F58A4F0997,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机的设计.pdf,96257EB5FD8EE017CBE33AAD705C4451E444DAEF10172DBA9DC2C8E3F20533CC,"1,2,3,4",year=1996,UNRECORDED_IN_EXISTING_METADATA,1
6,CUMCM-1997-A-009,1997,A,5,5,1,1,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：关于零件参数问题的建模.pdf,FF068F978532B4A37B625C35EFCBF72E2BBD2EFDA2638E93BD0D77B8483EA314,"1,2,3,4,5",year=1997,UNRECORDED_IN_EXISTING_METADATA,1
7,CUMCM-1998-A-001,1998,A,2,2,1,1,96063CBA314A4F2CBA5DBE2319045D111F6D07789F83372C519D124C7AA4C1B2,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：投资收益与风险的优化模型.pdf,4A2874E66796AC3E5CEF35A48C2A4BB0E73094E824DE2335C0091F86EE51AC27,"1,2",year=1998,UNRECORDED_IN_EXISTING_METADATA,1
8,CUMCM-2001-A-002,2001,A,5,5,1,1,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：血管三维重建的问题.pdf,6AAB07C9A698931E3B7F6B8E60906E643D98E5A51677904FA79138793321AC8F,"1,2,3,4,5",year=2001,UNRECORDED_IN_EXISTING_METADATA,1
9,CUMCM-2002-A-002,2002,A,10,10,1,1,D2C2B9A9C3053CBA6E8268335CA5BE7D0214F512AC81C7C8AE6302E692F1088E,2002年数学建模国赛真题+优秀论文/2002年优秀论文/2002A：车灯线光源的优化设计方案.pdf,8E981B48894748BD7C77F8BC20987C633A743CF674A0DFC7F718B87B3ED850B9,"1,2,3,4,5,6,7,8,9,10",year=2002,UNRECORDED_IN_EXISTING_METADATA,1
10,CUMCM-2003-A-002,2003,A,10,10,1,1,D2C2B9A9C3053CBA6E8268335CA5BE7D0214F512AC81C7C8AE6302E692F1088E,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003A：SARS传播预测的数学模型.pdf,09FAC486AFB2A0AF905E373CF070497044B24FC21413D803B5DF8AC174CF61FC,"1,2,3,4,5,6,7,8,9,10",year=2003,UNRECORDED_IN_EXISTING_METADATA,1
