paper_id,artifact_set_id,year,problem,stratum,formal_body_path,formal_body_sha256,defective_source_page_count,defective_source_pages,legitimate_marker_only_page_count,unresolved_marker_only_page_count,root_cause_pattern,repair_layer,requires_body_regeneration,requires_ocr,requires_extraction,requires_reconstruction,requires_artifact_repromotion,requires_index_refresh,requires_g10_revalidation,requires_human_rereview,notes
CUMCM-1999-B-003,derived/scale/papers/CUMCM-1999-B-003,1999,B,OTHER_FORMAL_DERIVED,derived/scale/papers/CUMCM-1999-B-003/paper.md,3556B4100929F4D56319AA760B104EE0CA947F3D5B03F13F7A0DF601179225BE,3,"1,3,6",0,3,Q0_PDF_INSPECTOR_MARKER_ONLY_FORMAL_BODY_SHARED_SERIALIZATION_PATH,FORMAL_BODY_RECONSTRUCTION_SERIALIZATION,1,0,1,1,1,1,1,1,"Confirmed defective pages=1,3,6; remaining marker-only pages in this body are unresolved=2,4,5. Governed-duplicate status is context only; no binding defect was found."
CUMCM-2008-C-004,derived/scale/papers/CUMCM-2008-C-004,2008,C,OTHER_FORMAL_DERIVED,derived/scale/papers/CUMCM-2008-C-004/paper.md,F501017C13D9B29686DD922D65EDC0CD658E90E82A5785E427A2D829537C8626,3,"1,7,14",0,11,Q0_PDF_INSPECTOR_MARKER_ONLY_FORMAL_BODY_SHARED_SERIALIZATION_PATH,FORMAL_BODY_RECONSTRUCTION_SERIALIZATION,1,0,1,1,1,1,1,1,"Confirmed defective pages=1,7,14; remaining marker-only pages in this body are unresolved=2,3,4,5,6,8,9,10,11,12,13. Governed-duplicate status is context only; no binding defect was found."
CUMCM-1992-A-003,derived/scale/papers/CUMCM-1992-A-003,1992,A,OTHER_FORMAL_DERIVED,derived/scale/papers/CUMCM-1992-A-003/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,3,"1,3,5",0,2,Q0_PDF_INSPECTOR_MARKER_ONLY_FORMAL_BODY_SHARED_SERIALIZATION_PATH,FORMAL_BODY_RECONSTRUCTION_SERIALIZATION,1,0,1,1,1,1,1,1,"Confirmed defective pages=1,3,5; remaining marker-only pages in this body are unresolved=2,4. Governed-duplicate status is context only; no binding defect was found."
CUMCM-1993-B-001,derived/scale/papers/CUMCM-1993-B-001,1993,B,OTHER_FORMAL_DERIVED,derived/scale/papers/CUMCM-1993-B-001/paper.md,96063CBA314A4F2CBA5DBE2319045D111F6D07789F83372C519D124C7AA4C1B2,2,"1,2",0,0,Q0_PDF_INSPECTOR_MARKER_ONLY_FORMAL_BODY_SHARED_SERIALIZATION_PATH,FORMAL_BODY_RECONSTRUCTION_SERIALIZATION,1,0,1,1,1,1,1,1,"Confirmed defective pages=1,2; remaining marker-only pages in this body are unresolved=NONE. Governed-duplicate status is context only; no binding defect was found."
CUMCM-1996-B-001,derived/scale/papers/CUMCM-1996-B-001,1996,B,OTHER_FORMAL_DERIVED,derived/scale/papers/CUMCM-1996-B-001/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,3,"1,3,5",0,2,Q0_PDF_INSPECTOR_MARKER_ONLY_FORMAL_BODY_SHARED_SERIALIZATION_PATH,FORMAL_BODY_RECONSTRUCTION_SERIALIZATION,1,0,1,1,1,1,1,1,"Confirmed defective pages=1,3,5; remaining marker-only pages in this body are unresolved=2,4. Governed-duplicate status is context only; no binding defect was found."
CUMCM-1997-A-008,derived/scale/papers/CUMCM-1997-A-008,1997,A,OTHER_FORMAL_DERIVED,derived/scale/papers/CUMCM-1997-A-008/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,3,"1,3,5",0,2,Q0_PDF_INSPECTOR_MARKER_ONLY_FORMAL_BODY_SHARED_SERIALIZATION_PATH,FORMAL_BODY_RECONSTRUCTION_SERIALIZATION,1,0,1,1,1,1,1,1,"Confirmed defective pages=1,3,5; remaining marker-only pages in this body are unresolved=2,4. Governed-duplicate status is context only; no binding defect was found."
CUMCM-1998-A-007,derived/scale/papers/CUMCM-1998-A-007,1998,A,OTHER_FORMAL_DERIVED,derived/scale/papers/CUMCM-1998-A-007/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,3,"1,3,5",0,2,Q0_PDF_INSPECTOR_MARKER_ONLY_FORMAL_BODY_SHARED_SERIALIZATION_PATH,FORMAL_BODY_RECONSTRUCTION_SERIALIZATION,1,0,1,1,1,1,1,1,"Confirmed defective pages=1,3,5; remaining marker-only pages in this body are unresolved=2,4. Governed-duplicate status is context only; no binding defect was found."
CUMCM-2000-A-005,derived/scale/papers/CUMCM-2000-A-005,2000,A,OTHER_FORMAL_DERIVED,derived/scale/papers/CUMCM-2000-A-005/paper.md,1C2FC324063A906FF208763D2826E0A769B059290333B0542241C22CD9C91DE8,3,"1,5,9",0,6,Q0_PDF_INSPECTOR_MARKER_ONLY_FORMAL_BODY_SHARED_SERIALIZATION_PATH,FORMAL_BODY_RECONSTRUCTION_SERIALIZATION,1,0,1,1,1,1,1,1,"Confirmed defective pages=1,5,9; remaining marker-only pages in this body are unresolved=2,3,4,6,7,8. Governed-duplicate status is context only; no binding defect was found."
CUMCM-2001-A-001,derived/scale/papers/CUMCM-2001-A-001,2001,A,OTHER_FORMAL_DERIVED,derived/scale/papers/CUMCM-2001-A-001/paper.md,3556B4100929F4D56319AA760B104EE0CA947F3D5B03F13F7A0DF601179225BE,3,"1,3,6",0,3,Q0_PDF_INSPECTOR_MARKER_ONLY_FORMAL_BODY_SHARED_SERIALIZATION_PATH,FORMAL_BODY_RECONSTRUCTION_SERIALIZATION,1,0,1,1,1,1,1,1,"Confirmed defective pages=1,3,6; remaining marker-only pages in this body are unresolved=2,4,5. Governed-duplicate status is context only; no binding defect was found."
CUMCM-2002-B-005,derived/scale/papers/CUMCM-2002-B-005,2002,B,OTHER_FORMAL_DERIVED,derived/scale/papers/CUMCM-2002-B-005/paper.md,845EAC42B8D7C797245E742A556F6F7B87F8594979C758FB43031CD6D48DB563,3,"1,4,7",0,4,Q0_PDF_INSPECTOR_MARKER_ONLY_FORMAL_BODY_SHARED_SERIALIZATION_PATH,FORMAL_BODY_RECONSTRUCTION_SERIALIZATION,1,0,1,1,1,1,1,1,"Confirmed defective pages=1,4,7; remaining marker-only pages in this body are unresolved=2,3,5,6. Governed-duplicate status is context only; no binding defect was found."
