"paper_id","artifact_set_id","source_route","confirmed_defective_page_count","confirmed_defective_pages","legitimate_noncontent_page_count","unresolved_page_count","repair_layer","requires_extraction","requires_ocr","requires_reconstruction","requires_artifact_repromotion","requires_index_refresh","requires_g10_revalidation","human_rereview_required","scope_confidence","route_group","scope_note"
"CUMCM-1992-A-001","derived/scale/papers/CUMCM-1992-A-001","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","1","1","0","0","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","Q0_NATIVE_MARKDOWN_TO_FORMAL_SERIALIZATION","All marker-only pages for this identity are currently confirmed defective."
"CUMCM-1992-A-003","derived/scale/papers/CUMCM-1992-A-003","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,3,5","0","2","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","DOC_ARTIFACT_RECONSTRUCTION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
"CUMCM-1993-B-001","derived/scale/papers/CUMCM-1993-B-001","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","2","1,2","0","0","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","DOC_ARTIFACT_RECONSTRUCTION","All marker-only pages for this identity are currently confirmed defective."
"CUMCM-1996-B-001","derived/scale/papers/CUMCM-1996-B-001","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,3,5","0","2","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","DOC_ARTIFACT_RECONSTRUCTION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
"CUMCM-1996-B-003","derived/scale/papers/CUMCM-1996-B-003","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,2,4","0","1","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","Q0_NATIVE_MARKDOWN_TO_FORMAL_SERIALIZATION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
"CUMCM-1997-A-008","derived/scale/papers/CUMCM-1997-A-008","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,3,5","0","2","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","DOC_ARTIFACT_RECONSTRUCTION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
"CUMCM-1997-A-009","derived/scale/papers/CUMCM-1997-A-009","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,3,5","0","2","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","Q0_NATIVE_MARKDOWN_TO_FORMAL_SERIALIZATION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
"CUMCM-1998-A-001","derived/scale/papers/CUMCM-1998-A-001","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","2","1,2","0","0","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","Q0_NATIVE_MARKDOWN_TO_FORMAL_SERIALIZATION","All marker-only pages for this identity are currently confirmed defective."
"CUMCM-1998-A-007","derived/scale/papers/CUMCM-1998-A-007","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,3,5","0","2","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","DOC_ARTIFACT_RECONSTRUCTION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
"CUMCM-1999-B-003","derived/scale/papers/CUMCM-1999-B-003","PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md","3","1,3,6","0","3","FORMAL_BODY_RECONSTRUCTION_SERIALIZATION","1","0","1","1","1","1","1","HIGH","DOC_ARTIFACT_RECONSTRUCTION","Only confirmed defective page scope is authoritative; residual unresolved pages remain outside the repair scope."
