paper_id,artifact_set_id,source_route,confirmed_defective_page_count,confirmed_defective_pages,legitimate_noncontent_page_count,legitimate_noncontent_pages,repair_layer,requires_ocr_for_repair,requires_extraction_for_repair,requires_reconstruction,requires_artifact_repromotion,requires_index_refresh,requires_g10_revalidation,requires_human_rereview,scope_confidence
CUMCM-1992-A-001,derived/scale/papers/CUMCM-1992-A-001,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,1,1,0,,UNRESOLVED,0,1,1,1,1,1,1,HIGH
CUMCM-1992-A-002,derived/scale/papers/CUMCM-1992-A-002,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1992-A-003,derived/scale/papers/CUMCM-1992-A-003,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,5,1;2;3;4;5,0,,FORMAL_BODY_RECONSTRUCTION_SERIALIZATION,1,1,1,1,1,1,1,HIGH
CUMCM-1992-B-001,derived/scale/papers/CUMCM-1992-B-001,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,2,1;2,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1992-B-002,derived/scale/papers/CUMCM-1992-B-002,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,9,1;2;3;4;5;6;7;8;9,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1993-B-001,derived/scale/papers/CUMCM-1993-B-001,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,2,1;2,0,,FORMAL_BODY_RECONSTRUCTION_SERIALIZATION,0,1,1,1,1,1,1,HIGH
CUMCM-1996-B-001,derived/scale/papers/CUMCM-1996-B-001,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,5,1;2;3;4;5,0,,FORMAL_BODY_RECONSTRUCTION_SERIALIZATION,1,1,1,1,1,1,1,HIGH
CUMCM-1996-B-003,derived/scale/papers/CUMCM-1996-B-003,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,4,1;2;3;4,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1997-A-008,derived/scale/papers/CUMCM-1997-A-008,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,5,1;2;3;4;5,0,,FORMAL_BODY_RECONSTRUCTION_SERIALIZATION,1,1,1,1,1,1,1,HIGH
CUMCM-1997-A-009,derived/scale/papers/CUMCM-1997-A-009,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,5,1;2;3;4;5,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1997-B-004,derived/scale/papers/CUMCM-1997-B-004,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1997-B-007,derived/scale/papers/CUMCM-1997-B-007,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1998-A-001,derived/scale/papers/CUMCM-1998-A-001,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,2,1;2,0,,UNRESOLVED,0,1,1,1,1,1,1,HIGH
CUMCM-1998-A-005,derived/scale/papers/CUMCM-1998-A-005,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,5,1;2;3;4;5,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1998-A-007,derived/scale/papers/CUMCM-1998-A-007,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,5,1;2;3;4;5,0,,FORMAL_BODY_RECONSTRUCTION_SERIALIZATION,1,1,1,1,1,1,1,HIGH
CUMCM-1998-A-008,derived/scale/papers/CUMCM-1998-A-008,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,4,1;2;3;4,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1998-B-001,derived/scale/papers/CUMCM-1998-B-001,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,7,1;2;3;4;5;6;7,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1998-B-002,derived/scale/papers/CUMCM-1998-B-002,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,4,1;2;3;4,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1998-B-003,derived/scale/papers/CUMCM-1998-B-003,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,5,1;2;3;4;5,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1998-B-004,derived/scale/papers/CUMCM-1998-B-004,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1998-B-005,derived/scale/papers/CUMCM-1998-B-005,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,10,1;2;3;4;5;6;7;8;9;10,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1998-B-006,derived/scale/papers/CUMCM-1998-B-006,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,1,1,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1999-A-001,derived/scale/papers/CUMCM-1999-A-001,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,4,1;2;3;4,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1999-A-002,derived/scale/papers/CUMCM-1999-A-002,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1999-A-003,derived/scale/papers/CUMCM-1999-A-003,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1999-A-004,derived/scale/papers/CUMCM-1999-A-004,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,5,1;2;3;4;5,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1999-A-005,derived/scale/papers/CUMCM-1999-A-005,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1999-A-006,derived/scale/papers/CUMCM-1999-A-006,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,6,1;2;3;4;5;6,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
CUMCM-1999-A-007,derived/scale/papers/CUMCM-1999-A-007,PDF->pdf-inspector/native-markdown->Q0 per-page normalization->source_page marker assembly->paper.md,5,1;2;3;4;5,0,,UNRESOLVED,1,1,1,1,1,1,1,HIGH
