rereview_unit_id,paper_id,original_review_unit_id,source_page,original_source_png_path,original_source_png_sha256,original_source_png_size,current_packet_dir,destination_png_path,destination_png_sha256,destination_png_size,repair_page_binding,repair_page_evidence_path,repair_page_evidence_sha256,repaired_formal_excerpt_path,shared_source_image_binding,shared_source_image_reason,binding_status,copy_sha_match
CUMCM-2020-D-003::G11-MANUAL-SAMPLE-5-PAGE-A,CUMCM-2020-D-003,G11-MANUAL-SAMPLE-5-PAGE-A,1,reports/scale/g11_manual_sample_review/05_CUMCM-2020-D-003/page_A.png,157BCFA19E053A12A497B596D59EBEB074238618C9814528FC6EA6997242CF6B,2026126,reports/scale/g11_post_repair_human_rereview/01_CUMCM-2020-D-003,reports/scale/g11_post_repair_human_rereview/01_CUMCM-2020-D-003/source_images/source_unit_01_p1.png,157BCFA19E053A12A497B596D59EBEB074238618C9814528FC6EA6997242CF6B,2026126,catalog/scale/g11_multi_route_formal_repair_pages.csv|paper_id=CUMCM-2020-D-003|source_page=1|postrepair_pass=1,catalog/scale/g8_q3_batch_repair/CUMCM-2020-D-003/pages/0001.txt,03AFA362A9A027876D2162CBAF478230328CDBCE70F6D96324155E7E2C264B0C,reports/scale/g11_post_repair_human_rereview/01_CUMCM-2020-D-003/current_formal_p1.md,0,,PASS,1
CUMCM-2020-D-003::G11-MANUAL-SAMPLE-5-PAGE-B,CUMCM-2020-D-003,G11-MANUAL-SAMPLE-5-PAGE-B,68,reports/scale/g11_manual_sample_review/05_CUMCM-2020-D-003/page_B.png,978C294778D4B7753174CF85BE7E915F7696C599709284F6284BCFCAB8997DFB,650140,reports/scale/g11_post_repair_human_rereview/01_CUMCM-2020-D-003,reports/scale/g11_post_repair_human_rereview/01_CUMCM-2020-D-003/source_images/source_unit_02_p68.png,978C294778D4B7753174CF85BE7E915F7696C599709284F6284BCFCAB8997DFB,650140,catalog/scale/g11_multi_route_formal_repair_pages.csv|paper_id=CUMCM-2020-D-003|source_page=68|postrepair_pass=1,catalog/scale/g8_q3_batch_repair/CUMCM-2020-D-003/pages/0068.txt,142CF2C7D0F0C9B0BEE37467510D06835083C5096722DE00ECF15F4A36AFF298,reports/scale/g11_post_repair_human_rereview/01_CUMCM-2020-D-003/current_formal_p68.md,0,,PASS,1
CUMCM-2020-D-003::G11-MANUAL-SAMPLE-5-PAGE-C,CUMCM-2020-D-003,G11-MANUAL-SAMPLE-5-PAGE-C,135,reports/scale/g11_manual_sample_review/05_CUMCM-2020-D-003/page_C.png,5E6BCE52E2EB22D0365D716465E4F244B0B3056202F7FB9CB88AFF0219293B93,545065,reports/scale/g11_post_repair_human_rereview/01_CUMCM-2020-D-003,reports/scale/g11_post_repair_human_rereview/01_CUMCM-2020-D-003/source_images/source_unit_03_p135.png,5E6BCE52E2EB22D0365D716465E4F244B0B3056202F7FB9CB88AFF0219293B93,545065,catalog/scale/g11_multi_route_formal_repair_pages.csv|paper_id=CUMCM-2020-D-003|source_page=135|postrepair_pass=1,catalog/scale/g8_q3_batch_repair/CUMCM-2020-D-003/pages/0135.txt,9C7DE9A9E6208E89C1D4560EFF2028B3FCE0DDFCD1A8212874914F9925BEB804,reports/scale/g11_post_repair_human_rereview/01_CUMCM-2020-D-003/current_formal_p135.md,0,,PASS,1
CUMCM-1999-B-003::G11-MANUAL-SAMPLE-19-PAGE-A,CUMCM-1999-B-003,G11-MANUAL-SAMPLE-19-PAGE-A,1,reports/scale/g11_manual_sample_review/19_CUMCM-1999-B-003/page_A.png,3FD84DB817A66C0895D1459A81D12DDAE19CB65E61C954217536493DCA0CE587,478570,reports/scale/g11_post_repair_human_rereview/02_CUMCM-1999-B-003,reports/scale/g11_post_repair_human_rereview/02_CUMCM-1999-B-003/source_images/source_unit_01_p1.png,3FD84DB817A66C0895D1459A81D12DDAE19CB65E61C954217536493DCA0CE587,478570,catalog/scale/g11_multi_route_formal_repair_pages.csv|paper_id=CUMCM-1999-B-003|source_page=1|postrepair_pass=1,catalog/scale/g11_residual_pdftotext_calibration/positive/CUMCM-1999-B-003/source_page_1.txt,1C8B3BD51D16C1BC766D8A4B2B141E44E908BAF180B54338F2DA44E7E79AF5B4,reports/scale/g11_post_repair_human_rereview/02_CUMCM-1999-B-003/current_formal_p1.md,0,,PASS,1
CUMCM-1999-B-003::G11-MANUAL-SAMPLE-19-PAGE-B,CUMCM-1999-B-003,G11-MANUAL-SAMPLE-19-PAGE-B,3,reports/scale/g11_manual_sample_review/19_CUMCM-1999-B-003/page_B.png,C0AB0C7BC265567EFB69D5BBF540594E73BFAD71B167677656B91545C108C546,443012,reports/scale/g11_post_repair_human_rereview/02_CUMCM-1999-B-003,reports/scale/g11_post_repair_human_rereview/02_CUMCM-1999-B-003/source_images/source_unit_02_p3.png,C0AB0C7BC265567EFB69D5BBF540594E73BFAD71B167677656B91545C108C546,443012,catalog/scale/g11_multi_route_formal_repair_pages.csv|paper_id=CUMCM-1999-B-003|source_page=3|postrepair_pass=1,catalog/scale/g11_residual_pdftotext_calibration/positive/CUMCM-1999-B-003/source_page_3.txt,1746E951588337BD276211C7C52CC3A85B156E03AB6DC6768DA024F4BE920420,reports/scale/g11_post_repair_human_rereview/02_CUMCM-1999-B-003/current_formal_p3.md,0,,PASS,1
CUMCM-1999-B-003::G11-MANUAL-SAMPLE-19-PAGE-C,CUMCM-1999-B-003,G11-MANUAL-SAMPLE-19-PAGE-C,6,reports/scale/g11_manual_sample_review/19_CUMCM-1999-B-003/page_C.png,98C21EBBF34CBE6249B35ED85A4B5826AE6B62DCC8063E01422CC0720995B7DA,567023,reports/scale/g11_post_repair_human_rereview/02_CUMCM-1999-B-003,reports/scale/g11_post_repair_human_rereview/02_CUMCM-1999-B-003/source_images/source_unit_03_p6.png,98C21EBBF34CBE6249B35ED85A4B5826AE6B62DCC8063E01422CC0720995B7DA,567023,catalog/scale/g11_multi_route_formal_repair_pages.csv|paper_id=CUMCM-1999-B-003|source_page=6|postrepair_pass=1,catalog/scale/g11_residual_pdftotext_calibration/positive/CUMCM-1999-B-003/source_page_6.txt,F437567E345976121886FB829000A314A3D17768BED980B2E8818329DB0355DA,reports/scale/g11_post_repair_human_rereview/02_CUMCM-1999-B-003/current_formal_p6.md,0,,PASS,1
CUMCM-2008-C-004::G11-MANUAL-SAMPLE-20-PAGE-A,CUMCM-2008-C-004,G11-MANUAL-SAMPLE-20-PAGE-A,1,reports/scale/g11_manual_sample_review/20_CUMCM-2008-C-004/page_A.png,44597F70AFFEDAC45B9E5240BF5D653CF139D22C48AAB56A34A14F4E7DCFB12F,370393,reports/scale/g11_post_repair_human_rereview/03_CUMCM-2008-C-004,reports/scale/g11_post_repair_human_rereview/03_CUMCM-2008-C-004/source_images/source_unit_01_p1.png,44597F70AFFEDAC45B9E5240BF5D653CF139D22C48AAB56A34A14F4E7DCFB12F,370393,catalog/scale/g11_multi_route_formal_repair_pages.csv|paper_id=CUMCM-2008-C-004|source_page=1|postrepair_pass=1,catalog/scale/g11_residual_pdftotext_calibration/positive/CUMCM-2008-C-004/source_page_1.txt,51E41A9E4676686F91457654879DCC71C9382B0AC7DFE74F4E6C6BB723D3DA23,reports/scale/g11_post_repair_human_rereview/03_CUMCM-2008-C-004/current_formal_p1.md,0,,PASS,1
CUMCM-2008-C-004::G11-MANUAL-SAMPLE-20-PAGE-B,CUMCM-2008-C-004,G11-MANUAL-SAMPLE-20-PAGE-B,7,reports/scale/g11_manual_sample_review/20_CUMCM-2008-C-004/page_B.png,75ACFACD79911537DA7D4104307E1716C444D32154AACF17807F1D0B2F4BCDE7,429389,reports/scale/g11_post_repair_human_rereview/03_CUMCM-2008-C-004,reports/scale/g11_post_repair_human_rereview/03_CUMCM-2008-C-004/source_images/source_unit_02_p7.png,75ACFACD79911537DA7D4104307E1716C444D32154AACF17807F1D0B2F4BCDE7,429389,catalog/scale/g11_multi_route_formal_repair_pages.csv|paper_id=CUMCM-2008-C-004|source_page=7|postrepair_pass=1,catalog/scale/g11_residual_pdftotext_calibration/positive/CUMCM-2008-C-004/source_page_7.txt,F358177AAC1B3FC45162860B0A2F05DBC01FF737DD8FD716ABE09822CCD94114,reports/scale/g11_post_repair_human_rereview/03_CUMCM-2008-C-004/current_formal_p7.md,0,,PASS,1
CUMCM-2008-C-004::G11-MANUAL-SAMPLE-20-PAGE-C,CUMCM-2008-C-004,G11-MANUAL-SAMPLE-20-PAGE-C,14,reports/scale/g11_manual_sample_review/20_CUMCM-2008-C-004/page_C.png,4F4D85E9C0D7322D3336C09A511AE0812DFF264A33A0A4721F8F0D155A6BB5DB,238810,reports/scale/g11_post_repair_human_rereview/03_CUMCM-2008-C-004,reports/scale/g11_post_repair_human_rereview/03_CUMCM-2008-C-004/source_images/source_unit_03_p14.png,4F4D85E9C0D7322D3336C09A511AE0812DFF264A33A0A4721F8F0D155A6BB5DB,238810,catalog/scale/g11_multi_route_formal_repair_pages.csv|paper_id=CUMCM-2008-C-004|source_page=14|postrepair_pass=1,catalog/scale/g11_residual_pdftotext_calibration/positive/CUMCM-2008-C-004/source_page_14.txt,00B45AEA92F6883138C5E1F85927321E7FF6FE2F5A36BF9C81A3A99563940FF8,reports/scale/g11_post_repair_human_rereview/03_CUMCM-2008-C-004/current_formal_p14.md,0,,PASS,1
CUMCM-1992-A-003::G11-MANUAL-SAMPLE-23-PAGE-A,CUMCM-1992-A-003,G11-MANUAL-SAMPLE-23-PAGE-A,1,reports/scale/g11_manual_sample_review/23_CUMCM-1992-A-003/page_A.png,4B123005C3726B3F69725C18FC53DD86B39B74D8693FBD7DA263CBA97936437F,319057,reports/scale/g11_post_repair_human_rereview/04_CUMCM-1992-A-003,reports/scale/g11_post_repair_human_rereview/04_CUMCM-1992-A-003/source_images/source_unit_01_p1.png,4B123005C3726B3F69725C18FC53DD86B39B74D8693FBD7DA263CBA97936437F,319057,catalog/scale/g11_multi_route_formal_repair_pages.csv|paper_id=CUMCM-1992-A-003|source_page=1|postrepair_pass=1,catalog/scale/g11_residual_pdftotext_calibration/positive/CUMCM-1992-A-003/source_page_1.txt,D130605619930107074D5EBE6960F399C79251E62EEB011C10F9E6492FB8176A,reports/scale/g11_post_repair_human_rereview/04_CUMCM-1992-A-003/current_formal_p1.md,0,,PASS,1
