paper_id,artifact_set_id,repair_attempt_id,source_path,source_sha256,route_categories,repair_layer,repaired_pages,current_paper_sha256,candidate_paper_sha256,artifact_paths,artifact_hashes_before,artifact_hashes_after,requires_index_refresh,requires_g10_revalidation,status
CUMCM-1992-A-001,derived/scale/papers/CUMCM-1992-A-001,20260905T045418589698Z_557724fba657,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 施肥效果分析.pdf,F784800B2EE0929904DA04B05C302B0E68D299A70818956AB615EE8D98DD6F2B,MARKER_ONLY_EXISTING_TRUSTED_TEXT_RECONSTRUCTION,G11_MARKER_ONLY_PAGE_LOCAL_FORMAL_BODY,1,6D45B274DAC003D8F877953199BDDA67DE1BB71644F115208DB1E8E34A9CB7C2,153BC44E97CF4BAF2944059396BBDF0AF9B037E11720B77034F4C62A79049113,derived/scale/papers/CUMCM-1992-A-001/paper.md;derived/scale/papers/CUMCM-1992-A-001/metadata.yaml;derived/scale/papers/CUMCM-1992-A-001/knowledge_card.md,6D45B274DAC003D8F877953199BDDA67DE1BB71644F115208DB1E8E34A9CB7C2;2773A4254A5290E79E12EB65618D35021DED2C5DE982EF176CD68AF582C2CD4C;6B9411329D77B34EC06E11C1B72FD54C334081F0AEF5B3EB973F5C48A04A2B3A,153BC44E97CF4BAF2944059396BBDF0AF9B037E11720B77034F4C62A79049113;5D5DF9B182B9B3DE24E36863312F2E763501CA7E7DFCF1166BBEBB68D26AE66A;3E90D934C5EC519735903D36A1C31A4384CF5B75F60F478FE98712ACCC19915C,1,1,READY_FOR_G9_REFRESH
CUMCM-1992-A-002,derived/scale/papers/CUMCM-1992-A-002,20260905T045418589698Z_557724fba657,1992年数学建模国赛优秀论文/1992年A题优秀论文② 施肥方案对作物蔬菜的影响.pdf,65FB38A666A49FAC5A672F2B21BC8BC21DF5325A0D42E4BF6C7FB2E7D6CC74B7,MARKER_ONLY_DIAGNOSTIC_OCR_REUSE,G11_MARKER_ONLY_PAGE_LOCAL_FORMAL_BODY,1;2;3;4;5;6,3556B4100929F4D56319AA760B104EE0CA947F3D5B03F13F7A0DF601179225BE,8D3FD720ADF4F2F336E07CA157326B8BEB0B8FB13444FBB81274C30554642F05,derived/scale/papers/CUMCM-1992-A-002/paper.md;derived/scale/papers/CUMCM-1992-A-002/metadata.yaml;derived/scale/papers/CUMCM-1992-A-002/knowledge_card.md,3556B4100929F4D56319AA760B104EE0CA947F3D5B03F13F7A0DF601179225BE;063EADE190C2DE02A583B256C000A159A7CC7E962C24444C7A971E62115C742A;D446B23845084B70A7D688F0EDD4BAE92C03023E930E2D18D560D9C20B61CB83,8D3FD720ADF4F2F336E07CA157326B8BEB0B8FB13444FBB81274C30554642F05;727FCFE358B5C521CC440BCCCE496102CDEC6DC5F680837381AB219DC8BE914A;364D697082EB55518A252AB92F6EF99F9D9CEA32E302AF5E2E3C295319C352F8,1,1,READY_FOR_G9_REFRESH
CUMCM-1992-A-003,derived/scale/papers/CUMCM-1992-A-003,20260905T045418589698Z_557724fba657,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 关于非线性交调的频率设计的评注.pdf,F24E48AE1113A02C6ADCF3339392D8B2C9A1449BE1A64FB2DE3D8543A8066E12,DOC_EXISTING_EXTRACTION_RECONSTRUCTION;MARKER_ONLY_DIAGNOSTIC_OCR_REUSE,G11_MARKER_ONLY_PAGE_LOCAL_FORMAL_BODY,1;2;3;4;5,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,B537B4905E726561A593EFECC57A16E22F7923DAED30A910BB1BFB28A545DEFC,derived/scale/papers/CUMCM-1992-A-003/paper.md;derived/scale/papers/CUMCM-1992-A-003/metadata.yaml;derived/scale/papers/CUMCM-1992-A-003/knowledge_card.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59;FC84A5087668D2840A31204F479CD82421B19371D1241CCA6C9EF5BA1521D388;83B7793FA64668294E4F6C940B2C0558A9AE36CE6B7F83F66F66151EB4F8944D,B537B4905E726561A593EFECC57A16E22F7923DAED30A910BB1BFB28A545DEFC;29EABE25505329526896D20E19175458BC9B39563A8ED488275B702B9AF4FD24;DAD0FE053E1FC48829399CE768AF836BE424E9389B9EACF8B95D0EEEF92013D4,1,1,READY_FOR_G9_REFRESH
CUMCM-1992-B-001,derived/scale/papers/CUMCM-1992-B-001,20260905T045418589698Z_557724fba657,1992年数学建模国赛优秀论文/1992年B题优秀论文③ 关于蛋白质氨基酸的组合问题的评注.pdf,9EB60530CF596149C54862AABBBB732ABD9D095267273BEF5682EB79AEE2D99A,MARKER_ONLY_DIAGNOSTIC_OCR_REUSE,G11_MARKER_ONLY_PAGE_LOCAL_FORMAL_BODY,1;2,96063CBA314A4F2CBA5DBE2319045D111F6D07789F83372C519D124C7AA4C1B2,A72BC9B6EC33CDC102DBFFC2F3BD36D462CA56EED117F8D1B94F9E0A902EA47C,derived/scale/papers/CUMCM-1992-B-001/paper.md;derived/scale/papers/CUMCM-1992-B-001/metadata.yaml;derived/scale/papers/CUMCM-1992-B-001/knowledge_card.md,96063CBA314A4F2CBA5DBE2319045D111F6D07789F83372C519D124C7AA4C1B2;93B12BB8E8769923C76875B9FD3CD1B1519EEF883A697653F68F584FF7B9730F;91D28CC35E5F8E17F97D118E90F44955BB3D344D574CDE944094F90FDAFE2660,A72BC9B6EC33CDC102DBFFC2F3BD36D462CA56EED117F8D1B94F9E0A902EA47C;D89E385A524727E9B571F04583085626EE73C64341588B4D3FEFF2021FD89D59;105AD114668E1A8B00CFD63817F0D92F0DA83D4EB71DDBE12C9B7D93ECB91D88,1,1,READY_FOR_G9_REFRESH
CUMCM-1992-B-002,derived/scale/papers/CUMCM-1992-B-002,20260905T045418589698Z_557724fba657,1992年数学建模国赛优秀论文/1992年B题优秀论文② 蛋白质氨基酸的组合问题.pdf,13312C02679947C9D2BD21B401E39EF740B095171B68E3302F7A7505B9BCBB99,MARKER_ONLY_DIAGNOSTIC_OCR_REUSE,G11_MARKER_ONLY_PAGE_LOCAL_FORMAL_BODY,1;2;3;4;5;6;7;8;9,1C2FC324063A906FF208763D2826E0A769B059290333B0542241C22CD9C91DE8,75CC7CAC153691342DBFFD96C8A62E10C1F35E44413E40BF46643AF53E6C6DBE,derived/scale/papers/CUMCM-1992-B-002/paper.md;derived/scale/papers/CUMCM-1992-B-002/metadata.yaml;derived/scale/papers/CUMCM-1992-B-002/knowledge_card.md,1C2FC324063A906FF208763D2826E0A769B059290333B0542241C22CD9C91DE8;E35ECA780AFE24C15F5FA54827463D58E5E2FA9B1576C8DF6E2814CDE43CC194;3F0AD73759D2C95324492FBB7960F3E6A0BC40A89D154E9F8DFED0E2A3759CC4,75CC7CAC153691342DBFFD96C8A62E10C1F35E44413E40BF46643AF53E6C6DBE;9914BD67BA87F88AA198B951BEA358D3A924DFD4E7D0F0BE585ECED8446B540B;88776A0131F05E24F15D891E63FC81C8F062EF43CFE4976108193878B7D2A6E3,1,1,READY_FOR_G9_REFRESH
CUMCM-1993-B-001,derived/scale/papers/CUMCM-1993-B-001,20260905T045418589698Z_557724fba657,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文② 足球排名次问题.pdf,9754E4494E59EC79D460387BED3D9B8D8E2B915DCF9E192E7E1DD363F0086EDA,DOC_EXISTING_EXTRACTION_RECONSTRUCTION,G11_MARKER_ONLY_PAGE_LOCAL_FORMAL_BODY,1;2,96063CBA314A4F2CBA5DBE2319045D111F6D07789F83372C519D124C7AA4C1B2,A5B822F55F4D8F254D78C8256213B1BCEC17A3CA617486EEEEF5D1194CB2FFC9,derived/scale/papers/CUMCM-1993-B-001/paper.md;derived/scale/papers/CUMCM-1993-B-001/metadata.yaml;derived/scale/papers/CUMCM-1993-B-001/knowledge_card.md,96063CBA314A4F2CBA5DBE2319045D111F6D07789F83372C519D124C7AA4C1B2;C795F1371E5EBFB9546FC7E689B24326B1DA3E9D9856350CCE061A0080D44723;2BAD501084A2859486F5C61E68E0E25D49B1969DE58542335581323EE3F87C56,A5B822F55F4D8F254D78C8256213B1BCEC17A3CA617486EEEEF5D1194CB2FFC9;8D633856715A1CCD307AA73789DBBB6F25801F7023471AA6FA318B6572B05B66;A5C5210B5EEFBA3165C973B2594C668C9E5BB6ADDA6A3E1E31A3E966065869FE,1,1,READY_FOR_G9_REFRESH
CUMCM-1996-B-001,derived/scale/papers/CUMCM-1996-B-001,20260905T045418589698Z_557724fba657,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机问题数学建模及若干评注.pdf,6EF9201798BF3E216638A2B044038F05712CE4507B9E00192554895DC96D4278,DOC_EXISTING_EXTRACTION_RECONSTRUCTION;MARKER_ONLY_DIAGNOSTIC_OCR_REUSE,G11_MARKER_ONLY_PAGE_LOCAL_FORMAL_BODY,1;2;3;4;5,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,C0E0C7FB83EF4607F0545A1D026AD455AB54F15DD405A38DD5D6654B44C00E62,derived/scale/papers/CUMCM-1996-B-001/paper.md;derived/scale/papers/CUMCM-1996-B-001/metadata.yaml;derived/scale/papers/CUMCM-1996-B-001/knowledge_card.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59;F3A6103C25336756BD6465585E9610D55892EDA2D072EE642AFBD777558F72A2;D7A04AB3DC919E33562FF156C2C11B160CC9B6B8EE42F6A4B96AE9284217A869,C0E0C7FB83EF4607F0545A1D026AD455AB54F15DD405A38DD5D6654B44C00E62;B6704DD016E16DC9B0738A4231E950DCC0A89B0102CF550C09A1DC03D36FBF3F;F29156CD6B4F81E411E7753598FD2080C99E4CFDA84A988E1CA30B568FF3B0CA,1,1,READY_FOR_G9_REFRESH
CUMCM-1996-B-003,derived/scale/papers/CUMCM-1996-B-003,20260905T045418589698Z_557724fba657,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机的设计.pdf,96257EB5FD8EE017CBE33AAD705C4451E444DAEF10172DBA9DC2C8E3F20533CC,MARKER_ONLY_DIAGNOSTIC_OCR_REUSE;MARKER_ONLY_EXISTING_TRUSTED_TEXT_RECONSTRUCTION,G11_MARKER_ONLY_PAGE_LOCAL_FORMAL_BODY,1;2;3;4,747914D495F481AEA94B89B6481B5B807695DFAC4C1C281DE639E2F58A4F0997,C1B28D37714CAC71CE928142CFAB44A01320944B556D5465191EA3C1A9E5DA9D,derived/scale/papers/CUMCM-1996-B-003/paper.md;derived/scale/papers/CUMCM-1996-B-003/metadata.yaml;derived/scale/papers/CUMCM-1996-B-003/knowledge_card.md,747914D495F481AEA94B89B6481B5B807695DFAC4C1C281DE639E2F58A4F0997;2A06CDABCA76F8D15FC639A2F4ACD38A4BDB8F81B3FC418937F6605E4B982231;A3DF066B74B81310C316C181A3D7E0203A9A45B80CFFF0329B44AA6364D8F2DA,C1B28D37714CAC71CE928142CFAB44A01320944B556D5465191EA3C1A9E5DA9D;1F6F9D85CEB50A7DA8B6EA9137ED1889A7D5AEEDB14372DD7D828EADD37D3539;FE8C23F92859D32A79B0C1546C3EE68AEDAFF115244EA38DFEF24DAD3D9CD36C,1,1,READY_FOR_G9_REFRESH
CUMCM-1997-A-008,derived/scale/papers/CUMCM-1997-A-008,20260905T045418589698Z_557724fba657,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件的参数设计(1).pdf,7CE89B136265005FB597C7886D441E66504DB71F07101F0F67BC3B94C4543948,DOC_EXISTING_EXTRACTION_RECONSTRUCTION;MARKER_ONLY_DIAGNOSTIC_OCR_REUSE,G11_MARKER_ONLY_PAGE_LOCAL_FORMAL_BODY,1;2;3;4;5,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,B222A793AF8346A5E568837E9D9BC95B69DBC29AFA500759EE26E9CAD53AAB66,derived/scale/papers/CUMCM-1997-A-008/paper.md;derived/scale/papers/CUMCM-1997-A-008/metadata.yaml;derived/scale/papers/CUMCM-1997-A-008/knowledge_card.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59;A454BA4E5ACF8B22601987B069178023F8A8024C99EA479593EBDA2F690883A4;659816B33678CDE1DAA547E28B4F852C60806C840B97BC1C50422ED841542463,B222A793AF8346A5E568837E9D9BC95B69DBC29AFA500759EE26E9CAD53AAB66;E42AAA701192EBE152967FDBCB7EA9DB6390C2C2C52974F5F4105AB3A8F08EC8;387A5AF8E4C96CD0A69D74B5D4E1D2C33DCEE31FE571359580A5FEDE40AA2537,1,1,READY_FOR_G9_REFRESH
CUMCM-1997-A-009,derived/scale/papers/CUMCM-1997-A-009,20260905T045418589698Z_557724fba657,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：关于零件参数问题的建模.pdf,FF068F978532B4A37B625C35EFCBF72E2BBD2EFDA2638E93BD0D77B8483EA314,MARKER_ONLY_DIAGNOSTIC_OCR_REUSE;MARKER_ONLY_EXISTING_TRUSTED_TEXT_RECONSTRUCTION,G11_MARKER_ONLY_PAGE_LOCAL_FORMAL_BODY,1;2;3;4;5,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,A75811B1D4763377692C5760EB7C8A9E545759D1652BA717C8012BB2704C65B7,derived/scale/papers/CUMCM-1997-A-009/paper.md;derived/scale/papers/CUMCM-1997-A-009/metadata.yaml;derived/scale/papers/CUMCM-1997-A-009/knowledge_card.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59;62F66090FE77986ED17BEC0E33A6E40FD34DABD561FF05FD6D821B9DF09777B9;322B3D882689646F06E4953E0EFBAE6197DBF1BE075EAE76429D9341AFDCDD6C,A75811B1D4763377692C5760EB7C8A9E545759D1652BA717C8012BB2704C65B7;F07AB77E32EA4F091E70B443F483B54A6720EF74B0E052C57E22C5EEB986E32B;5D09F8220F26C3E2BF4859740F515AB38C16522FF5F7510D3E0072616A4C60BE,1,1,READY_FOR_G9_REFRESH
