sample_order,paper_id,year,problem,source_page,packet_page_role,source_path,source_sha256,formal_artifact_path,formal_artifact_sha256,formal_excerpt_path,visual_packet_path,current_machine_classification,source_visual_classification,reviewer_comment,review_status
1,CUMCM-1992-A-001,1992,A,1,A,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 施肥效果分析.pdf,F784800B2EE0929904DA04B05C302B0E68D299A70818956AB615EE8D98DD6F2B,derived/scale/papers/CUMCM-1992-A-001/paper.md,6D45B274DAC003D8F877953199BDDA67DE1BB71644F115208DB1E8E34A9CB7C2,reports/scale/g11_targeted_visual_diagnostic/01_CUMCM-1992-A-001/page_A_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/01_CUMCM-1992-A-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
2,CUMCM-2012-B-B149,2012,B,28,A,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (4)/B149答卷.pdf,90C31398DACDA50949D10FA75F60E736B124E3947F908667F32FDD5C81F24CE8,derived/scale/papers/CUMCM-2012-B-B149/paper.md,7A5DF53096876F3C887CAE76705332FABCD4CDF2822B78235FB28C4CD81A0DB7,reports/scale/g11_targeted_visual_diagnostic/02_CUMCM-2012-B-B149/page_A_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/02_CUMCM-2012-B-B149/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
3,CUMCM-1999-C-001,1999,C,1,A,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999C：煤矸石堆积模型.pdf,FD17ED40C59779200ED16509B7A56CFE60AB7492691994722E4A9F870A55915E,derived/scale/papers/CUMCM-1999-C-001/paper.md,845EAC42B8D7C797245E742A556F6F7B87F8594979C758FB43031CD6D48DB563,reports/scale/g11_targeted_visual_diagnostic/03_CUMCM-1999-C-001/page_A_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/03_CUMCM-1999-C-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
3,CUMCM-1999-C-001,1999,C,4,B,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999C：煤矸石堆积模型.pdf,FD17ED40C59779200ED16509B7A56CFE60AB7492691994722E4A9F870A55915E,derived/scale/papers/CUMCM-1999-C-001/paper.md,845EAC42B8D7C797245E742A556F6F7B87F8594979C758FB43031CD6D48DB563,reports/scale/g11_targeted_visual_diagnostic/03_CUMCM-1999-C-001/page_B_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/03_CUMCM-1999-C-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
3,CUMCM-1999-C-001,1999,C,7,C,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999C：煤矸石堆积模型.pdf,FD17ED40C59779200ED16509B7A56CFE60AB7492691994722E4A9F870A55915E,derived/scale/papers/CUMCM-1999-C-001/paper.md,845EAC42B8D7C797245E742A556F6F7B87F8594979C758FB43031CD6D48DB563,reports/scale/g11_targeted_visual_diagnostic/03_CUMCM-1999-C-001/page_C_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/03_CUMCM-1999-C-001/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
4,CUMCM-2000-D-002,2000,D,1,A,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000D：空洞探测问题及有关情况.pdf,596EA1C71B52E148BD9C187C5E6B55C6C0286D7A3CCDC8281D595FE2686DE3FD,derived/scale/papers/CUMCM-2000-D-002/paper.md,750BD75CEFFE5D543A1A964F76D8BC65F0B6D50162147B5966FC514A31D8227D,reports/scale/g11_targeted_visual_diagnostic/04_CUMCM-2000-D-002/page_A_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/04_CUMCM-2000-D-002/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
4,CUMCM-2000-D-002,2000,D,2,B,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000D：空洞探测问题及有关情况.pdf,596EA1C71B52E148BD9C187C5E6B55C6C0286D7A3CCDC8281D595FE2686DE3FD,derived/scale/papers/CUMCM-2000-D-002/paper.md,750BD75CEFFE5D543A1A964F76D8BC65F0B6D50162147B5966FC514A31D8227D,reports/scale/g11_targeted_visual_diagnostic/04_CUMCM-2000-D-002/page_B_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/04_CUMCM-2000-D-002/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
4,CUMCM-2000-D-002,2000,D,3,C,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000D：空洞探测问题及有关情况.pdf,596EA1C71B52E148BD9C187C5E6B55C6C0286D7A3CCDC8281D595FE2686DE3FD,derived/scale/papers/CUMCM-2000-D-002/paper.md,750BD75CEFFE5D543A1A964F76D8BC65F0B6D50162147B5966FC514A31D8227D,reports/scale/g11_targeted_visual_diagnostic/04_CUMCM-2000-D-002/page_C_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/04_CUMCM-2000-D-002/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
5,CUMCM-1996-B-003,1996,B,1,A,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机的设计.pdf,96257EB5FD8EE017CBE33AAD705C4451E444DAEF10172DBA9DC2C8E3F20533CC,derived/scale/papers/CUMCM-1996-B-003/paper.md,747914D495F481AEA94B89B6481B5B807695DFAC4C1C281DE639E2F58A4F0997,reports/scale/g11_targeted_visual_diagnostic/05_CUMCM-1996-B-003/page_A_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/05_CUMCM-1996-B-003/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
5,CUMCM-1996-B-003,1996,B,2,B,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机的设计.pdf,96257EB5FD8EE017CBE33AAD705C4451E444DAEF10172DBA9DC2C8E3F20533CC,derived/scale/papers/CUMCM-1996-B-003/paper.md,747914D495F481AEA94B89B6481B5B807695DFAC4C1C281DE639E2F58A4F0997,reports/scale/g11_targeted_visual_diagnostic/05_CUMCM-1996-B-003/page_B_formal_excerpt.txt,reports/scale/g11_targeted_visual_diagnostic/05_CUMCM-1996-B-003/diagnostic.md,UNRESOLVED_MARKER_ONLY,SUBSTANTIVE_CONTENT,源页面包含论文实质内容，非空白或非正文页。,REVIEWED
