paper_id,year,problem,reason,required_next_action,source_path,source_sha256,status,active,prior_reason
CUMCM-1992-A-004,1992,A,Q3_REPAIR_MANUAL,"approve a deterministic Q3 repair contract, then perform manual repair",1992年数学建模国赛优秀论文/1992年A题优秀论文① 关于施肥效果分析问题的评注.pdf,0ED09084F2E15BB17CED39971CC8B3C20F72F789C1B0AD2F4A99DF9642D0B48D,DEFERRED,1,DEFERRED_REPAIR_REQUIRED
CUMCM-1993-A-001,1993,A,CLOSED_INELIGIBLE,none; closed,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年A题优秀论文① 非线性交调的频率设计.pdf,79DA628641A6671BBD0524250E9FE139347FBA1A4324416F07A8F9F91C753707,CLOSED,0,MANUAL_ELIGIBILITY_REVIEW
CUMCM-1993-B-002,1993,B,Q3_REPAIR_MANUAL,"approve a deterministic Q3 repair contract, then perform manual repair",1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文③ 一个给足球队排名次的方法.pdf,40101857F2F092F6E6201646011ADE6153A7FA43E79188F8EF73E786A14963CF,DEFERRED,1,DEFERRED_REPAIR_REQUIRED
CUMCM-1993-B-003,1993,B,Q3_REPAIR_MANUAL,"approve a deterministic Q3 repair contract, then perform manual repair",1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文① 关于球队排名次问题的几点评注.pdf,AFF2C1645AB44D6097DE16F85704F2D07346E4FF157AC584D41C867DF3124328,DEFERRED,1,DEFERRED_REPAIR_REQUIRED
CUMCM-1995-A-001,1995,A,Q3_REPAIR_MANUAL,"approve a deterministic Q3 repair contract, then perform manual repair",1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的实时算法.pdf,E4141586944386F0CEEAA0592837FA28A32C89844D4113F1E536FF48A2430A42,DEFERRED,1,DEFERRED_REPAIR_REQUIRED
CUMCM-1995-A-002,1995,A,Q3_REPAIR_MANUAL,"approve a deterministic Q3 repair contract, then perform manual repair",1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理模型的线性化处理方法.pdf,FC99E3CF0ADF0AAADA70632B01002D6D0B7792E8A50BB09C964E6B762DE27AC0,DEFERRED,1,DEFERRED_REPAIR_REQUIRED
CUMCM-1995-A-003,1995,A,Q3_REPAIR_MANUAL,"approve a deterministic Q3 repair contract, then perform manual repair",1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的线性规划模型.pdf,1B82997F823C10AC5016322F5CC64620372F2E6A819CD796BDDC24CD2E59FE27,DEFERRED,1,DEFERRED_REPAIR_REQUIRED
CUMCM-1995-A-004,1995,A,Q3_REPAIR_MANUAL,"approve a deterministic Q3 repair contract, then perform manual repair",1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的逐步逼近搜索方法.pdf,F90548C6E551AD3E7FB109104E3BC273179F074F853694472E6CB62920A8C65D,DEFERRED,1,DEFERRED_REPAIR_REQUIRED
CUMCM-1995-A-005,1995,A,Q3_REPAIR_MANUAL,"approve a deterministic Q3 repair contract, then perform manual repair",1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题约束条件的线性化.pdf,249D8D8BA11D56A83FAC428575A64143298D10BF2C7F071326F4E9EDAD89E873,DEFERRED,1,DEFERRED_REPAIR_REQUIRED
CUMCM-1995-A-006,1995,A,Q3_REPAIR_MANUAL,"approve a deterministic Q3 repair contract, then perform manual repair",1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理模型的能量梯度求解法.pdf,17F52641182DCB02A799F969FE7374B339BEC2933894F05438DDB76A9380160D,DEFERRED,1,DEFERRED_REPAIR_REQUIRED
