paper_id,page,text_chars,page_text_sha256,backend
CUMCM-2012-D-001,1,941,C15D9B3559405DFA95034D64AEED67917CDFADE66197C28E0E13EA7306938912,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,2,1399,767DB4D1AFB180C6D7FCF019433C419C7517A1AC3C72EE228F46401EB724BCEF,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,3,805,E82CD27F0F6FD2C1344651391EB6C0988228CDDBBD35B3EA1D369E5B07A98CEA,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,4,980,B7631CAE945D708207AE55BF023B757195D2675BE74AEC56A7EADE1AF832A9C8,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,5,1013,A427D7AFE51913769BDB1F112FE958E37878A883361A63C7ED5AB1E0AFB6BC73,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,6,1346,718549B8FFDB66EDE74F744297AB1DC95EB6B9EADE513BBA0C828D151020656F,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,7,838,907F2A19A7AF4F9591C9E50218A1E2370502B60AE8F02066A11DA8F819107182,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,8,792,B40B7392F3AAF511DAC997B03A4CB547903616FC5DFF845B8757D6F561D24242,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,9,842,9B791B8B4A31FF9C9711F96A793D45817FAD42F9EA312EB964F8D75EE98DF6D9,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,10,821,5E982872E99ED154DA3C83AECB0FBE8B7B06C92CAB949D31FB3621961544D7EF,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,11,1189,16D99D117FACCC5FF63D27AB8EEDF7D1AACAAAD3595A8E69090AE8AEFBF77AD5,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,12,1389,176E0C386578627C9F0BACEAC02F42C80E761193E315128684DC24AEF3CB48F0,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,13,1022,A3AD84E87F6AFD33CA1E679A5060D7ACA613AC316D7C9B77DEADC1B143589E55,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,14,1367,4788CEE67510B48DEAE8D6299193C87693B2500CDF99A07D82472BF1A58AAD90,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,15,915,7040CC7FA2380037156B971FC942C8A5936E3860D0709E35114EC76D444F37AC,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,16,1188,380EC115015A352CC0281A148499FEF831AAF2BACE827CBCDEC2CEEFA29DFA1D,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,17,847,819EC399140F0F903A1E11F44B63FDA11868826948585732AC13D45B9E304482,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,18,670,1F0AFCDB9C11F684142B97D5C93C6B0B77BD294929F02A953C91723C6AE27114,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,19,876,37142EC4EDE9BDC44C0AB07DE66735A21C2DD18C6BA0D0743CF1067BE5117351,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,20,426,858955045C4BF744058BB3613D2C454161352D98F5E11566CC985B22BB63DEF4,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,21,1117,A6DA0F82CF4D9BF3E4D13CFA4282D0E806C57534D71C188EBA44E216E5A37DFE,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,22,681,F70CF457931293BACDD188BE125F38FA79656882666A7CE201530DD614DBD243,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,23,907,90B0EFAC6E991AF854C92547D04E006AD4B60AFCD8907A6E8DC5D6B609639FA6,pdf-inspector/native full-page with Poppler page-scoped corroboration
CUMCM-2012-D-001,24,903,4C8A4A125757A73965549AE68BFFDBA6904EA2928F274CB19EC9069BEEEB8071,pdf-inspector/native full-page with Poppler page-scoped corroboration
