paper_id,effective_pdf_sha256,page_count,page_text_root,normalized_body_path,normalized_text_chars,normalized_text_sha256,stored_reference_normalized_text_sha256,hash_replay_match,artifact_text_ready
CUMCM-2011-A-003,1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291,16,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2011-A-003/pages,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2011-A-003/normalized_body.txt,17350,3F1F2F920262CB8C90BCB7694CB904B840CEE23882E96CC2A0A5DA9786B27D24,3F1F2F920262CB8C90BCB7694CB904B840CEE23882E96CC2A0A5DA9786B27D24,1,1
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,42,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2011-C-002/pages,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2011-C-002/normalized_body.txt,36133,66A64C06EAEC9231443D8B4E596A02266206757B46AE0A094FD9A093482AFAA8,66A64C06EAEC9231443D8B4E596A02266206757B46AE0A094FD9A093482AFAA8,1,1
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,28,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2011-C-003/pages,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2011-C-003/normalized_body.txt,20754,184B4EBE112616D1EB50BE5468519888C1DC6BF76C4CC6CB30F31F8029ECA76C,184B4EBE112616D1EB50BE5468519888C1DC6BF76C4CC6CB30F31F8029ECA76C,1,1
CUMCM-2011-D-001,BB9DE03E3E434AF41B4DC6AF850D179D29B35FB78FDAE5BBA93A302EE0A9C1E6,22,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2011-D-001/pages,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2011-D-001/normalized_body.txt,19468,02A8F950035ADC599573E0386D60B7E307944926F780C5A66A3CF66892CA4878,02A8F950035ADC599573E0386D60B7E307944926F780C5A66A3CF66892CA4878,1,1
CUMCM-2011-D-007,3A5513BF9594D27236C3F5B5C250C146382D3656B464D995AD071766017470D0,20,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2011-D-007/pages,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2011-D-007/normalized_body.txt,18280,6DE9CEA1E7F668A9CF66C7229EEDB64FB94A04F55B4B547BECBB402C1CAEAC33,6DE9CEA1E7F668A9CF66C7229EEDB64FB94A04F55B4B547BECBB402C1CAEAC33,1,1
CUMCM-2011-D-013,E0D00DE3E92B4ED095EDABBB3CF10E359C825D4C37932ACC77A353A379838CF1,31,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2011-D-013/pages,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2011-D-013/normalized_body.txt,31013,2244AAC0E5BFF3D75D1DC47E95054766C4DB5ADDE0E5F5E15987BD10488B2B8D,2244AAC0E5BFF3D75D1DC47E95054766C4DB5ADDE0E5F5E15987BD10488B2B8D,1,1
CUMCM-2012-A-003,C40455E13E66A460C39DAE91E660AF11E2BE0F61C1F03DB321571CEEDC4ED207,35,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2012-A-003/pages,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2012-A-003/normalized_body.txt,27286,610F0A5D50127AC7FE481AE7E899A70F9D6F6CE906F4CE1EA63D708CF52EB122,610F0A5D50127AC7FE481AE7E899A70F9D6F6CE906F4CE1EA63D708CF52EB122,1,1
CUMCM-2012-B-005,F9F59407B33E60976DD4B86A6A897C0F1B0A8F0DA166337EBE76992CC2241465,37,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2012-B-005/pages,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2012-B-005/normalized_body.txt,25380,F03824B665A5CE3EB577397F9D430E622ABED796697666C0DC1759D4CB879997,F03824B665A5CE3EB577397F9D430E622ABED796697666C0DC1759D4CB879997,1,1
CUMCM-2012-B-007,547312CD5D3F57EB29292892142E79DE98B75C19C1D526ACB69B9EE834A3AA21,33,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2012-B-007/pages,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2012-B-007/normalized_body.txt,23512,5FA66154AE4C96FF0D33F44E5A856DBA9CFA470EAA60AF13E3449ABA714B541C,5FA66154AE4C96FF0D33F44E5A856DBA9CFA470EAA60AF13E3449ABA714B541C,1,1
CUMCM-2012-C-003,1AF31EA4FE7E106AA9306E894B3471753F6077BF19A8A1F648A1E752E4CBC2E1,28,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2012-C-003/pages,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2012-C-003/normalized_body.txt,24598,2DD0824E0E1A666010CDD0CCC48C0FBD75592D2F44B7EE3A7DFA2672010F6971,2DD0824E0E1A666010CDD0CCC48C0FBD75592D2F44B7EE3A7DFA2672010F6971,1,1
