paper_id,year,problem,source_path,source_sha256,source_size,actual_format,ole_signature,source_exists,source_sha256_actual,source_size_actual,source_ole_signature_actual,subject_type,artifact_eligible,artifact_present,current_backlog_reason,conversion_strategy,conversion_required,pilot_reuse_pdf_sha256,pilot_reuse_pdf_sha_match,preflight_pass
CUMCM-2011-A-003,2011,A,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011A：城市表层土壤重金属污染分析（6）.doc,FDA40E0C371BD0C91806B4CB581162EC0F1C3B51A7CAEF492EDD71D6E602E038,1348608,legacy_binary_doc_ole,D0CF11E0A1B11AE1,1,FDA40E0C371BD0C91806B4CB581162EC0F1C3B51A7CAEF492EDD71D6E602E038,1348608,D0CF11E0A1B11AE1,PAPER,1,0,DOC_CONTRACT_MANUAL,WORD_CONVERSION,1,,1,1
CUMCM-2011-C-002,2011,C,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011C：企业退休职工养老金制度的改革 (1).doc,21E5912D27E48F0BBEB0E1044BF30F185FBAB2133945529F106449296C10653F,1113600,legacy_binary_doc_ole,D0CF11E0A1B11AE1,1,21E5912D27E48F0BBEB0E1044BF30F185FBAB2133945529F106449296C10653F,1113600,D0CF11E0A1B11AE1,PAPER,1,0,DOC_CONTRACT_MANUAL,PILOT_REUSE,0,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,1,1
CUMCM-2011-C-003,2011,C,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011C：企业退休职工养老金制度的改革 (2).doc,CB99F5DD56122680A0797E642C8ED3463B12B388DBDA96E2F42A9345EE623696,587264,legacy_binary_doc_ole,D0CF11E0A1B11AE1,1,CB99F5DD56122680A0797E642C8ED3463B12B388DBDA96E2F42A9345EE623696,587264,D0CF11E0A1B11AE1,PAPER,1,0,DOC_CONTRACT_MANUAL,WORD_CONVERSION,1,,1,1
CUMCM-2011-D-001,2011,D,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题(1)/一类肠衣搭配优化问题.doc,A54963631C73100E2A26B41E91070384F60C7AE57B13789F2212145149EE6D2D,571392,legacy_binary_doc_ole,D0CF11E0A1B11AE1,1,A54963631C73100E2A26B41E91070384F60C7AE57B13789F2212145149EE6D2D,571392,D0CF11E0A1B11AE1,PAPER,1,0,DOC_CONTRACT_MANUAL,WORD_CONVERSION,1,,1,1
CUMCM-2011-D-007,2011,D,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题 (4).doc,97C1EA0783BF190F8B166E049F84352DD12A702E5F0B0B1E9720DEB4ED5DB5A5,594944,legacy_binary_doc_ole,D0CF11E0A1B11AE1,1,97C1EA0783BF190F8B166E049F84352DD12A702E5F0B0B1E9720DEB4ED5DB5A5,594944,D0CF11E0A1B11AE1,PAPER,1,0,DOC_CONTRACT_MANUAL,WORD_CONVERSION,1,,1,1
CUMCM-2011-D-013,2011,D,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题 (2).doc,2D19468524DDDBEF409012F393460A92B0A9F24CFC01906F63720C13731BE66A,1153536,legacy_binary_doc_ole,D0CF11E0A1B11AE1,1,2D19468524DDDBEF409012F393460A92B0A9F24CFC01906F63720C13731BE66A,1153536,D0CF11E0A1B11AE1,PAPER,1,0,DOC_CONTRACT_MANUAL,WORD_CONVERSION,1,,1,1
CUMCM-2012-A-003,2012,A,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012A：葡萄酒的评价 (4).doc,519FA35E0C76A094FFD89C38269F9BC1A9D1C491A8A675EF324F22705B28F1D5,1970688,legacy_binary_doc_ole,D0CF11E0A1B11AE1,1,519FA35E0C76A094FFD89C38269F9BC1A9D1C491A8A675EF324F22705B28F1D5,1970688,D0CF11E0A1B11AE1,PAPER,1,0,DOC_CONTRACT_MANUAL,WORD_CONVERSION,1,,1,1
CUMCM-2012-B-005,2012,B,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (5)/基于递归算法的建筑外表面光伏电池布局优化分析与设计.doc,4357F1EB1DA91D0C65923D25AB6218F234C9F123A221DED8EE6318ECEC53CC05,1717248,legacy_binary_doc_ole,D0CF11E0A1B11AE1,1,4357F1EB1DA91D0C65923D25AB6218F234C9F123A221DED8EE6318ECEC53CC05,1717248,D0CF11E0A1B11AE1,PAPER,1,0,DOC_CONTRACT_MANUAL,WORD_CONVERSION,1,,1,1
CUMCM-2012-B-007,2012,B,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (2)/10121505.doc,F34850D4339E358C6A8C548224CEC919AFAA1B0F4ADB660A81114C20D717015F,887296,legacy_binary_doc_ole,D0CF11E0A1B11AE1,1,F34850D4339E358C6A8C548224CEC919AFAA1B0F4ADB660A81114C20D717015F,887296,D0CF11E0A1B11AE1,PAPER,1,0,DOC_CONTRACT_MANUAL,WORD_CONVERSION,1,,1,1
CUMCM-2012-C-003,2012,C,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (2).doc,D3FCC8E0989C76486CBB665FBAC51F584EE1D8442012EFB49D6A50E3B45F2212,1027072,legacy_binary_doc_ole,D0CF11E0A1B11AE1,1,D3FCC8E0989C76486CBB665FBAC51F584EE1D8442012EFB49D6A50E3B45F2212,1027072,D0CF11E0A1B11AE1,PAPER,1,0,DOC_CONTRACT_MANUAL,WORD_CONVERSION,1,,1,1
