"paper_id","output_pdf","conversion_attempted","conversion_completed","word_create_attempted","word_created","security_configured","security_gate_pass","document_open_attempted","document_opened","export_attempted","export_completed","document_close_attempted","document_closed","word_quit_attempted","word_quit_called","com_references_released","word_process_exited","stage_word_pid","export_invocation_strategy","export_argument_count","export_format_value","background_drain_completed","post_export_settle_ms","post_export_settle_completed","primary_error_code","primary_error_message","cleanup_error_code","cleanup_error_message","error_code","error_message","background_drain_wait_ms","conversion_origin","source_sha256","source_size","effective_pdf_sha256","attempt_count","current_status","last_attempt_status","retry_allowed","successful_conversion_rerun"
"CUMCM-2011-A-003","D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2011-A-003\source_converted.pdf","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","40976","TWO_REQUIRED_ARGUMENTS","2","17","1","500","1","","","","","","","0","DOC_BATCH_WORD","FDA40E0C371BD0C91806B4CB581162EC0F1C3B51A7CAEF492EDD71D6E602E038","1348608","1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291","1","SUCCESS","SUCCESS","0","0"
"CUMCM-2011-C-003","D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2011-C-003\source_converted.pdf","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","14576","TWO_REQUIRED_ARGUMENTS","2","17","1","500","1","","","","","","","0","DOC_BATCH_WORD","CB99F5DD56122680A0797E642C8ED3463B12B388DBDA96E2F42A9345EE623696","587264","43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B","1","SUCCESS","SUCCESS","0","0"
"CUMCM-2011-D-001","D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2011-D-001\source_converted.pdf","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","41240","TWO_REQUIRED_ARGUMENTS","2","17","1","500","1","","","","","","","0","DOC_BATCH_WORD","A54963631C73100E2A26B41E91070384F60C7AE57B13789F2212145149EE6D2D","571392","BB9DE03E3E434AF41B4DC6AF850D179D29B35FB78FDAE5BBA93A302EE0A9C1E6","1","SUCCESS","SUCCESS","0","0"
"CUMCM-2011-D-007","D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2011-D-007\source_converted.pdf","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","39908","TWO_REQUIRED_ARGUMENTS","2","17","1","500","1","","","","","","","0","DOC_BATCH_WORD","97C1EA0783BF190F8B166E049F84352DD12A702E5F0B0B1E9720DEB4ED5DB5A5","594944","3A5513BF9594D27236C3F5B5C250C146382D3656B464D995AD071766017470D0","1","SUCCESS","SUCCESS","0","0"
"CUMCM-2011-D-013","D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2011-D-013\source_converted.pdf","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","16964","TWO_REQUIRED_ARGUMENTS","2","17","1","500","1","","","","","","","0","DOC_BATCH_WORD","2D19468524DDDBEF409012F393460A92B0A9F24CFC01906F63720C13731BE66A","1153536","E0D00DE3E92B4ED095EDABBB3CF10E359C825D4C37932ACC77A353A379838CF1","1","SUCCESS","SUCCESS","0","0"
"CUMCM-2012-A-003","D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2012-A-003\source_converted.pdf","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","41100","TWO_REQUIRED_ARGUMENTS","2","17","1","500","1","","","","","","","0","DOC_BATCH_WORD","519FA35E0C76A094FFD89C38269F9BC1A9D1C491A8A675EF324F22705B28F1D5","1970688","C40455E13E66A460C39DAE91E660AF11E2BE0F61C1F03DB321571CEEDC4ED207","1","SUCCESS","SUCCESS","0","0"
"CUMCM-2012-B-005","D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2012-B-005\source_converted.pdf","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","43448","TWO_REQUIRED_ARGUMENTS","2","17","1","500","1","","","","","","","0","DOC_BATCH_WORD","4357F1EB1DA91D0C65923D25AB6218F234C9F123A221DED8EE6318ECEC53CC05","1717248","F9F59407B33E60976DD4B86A6A897C0F1B0A8F0DA166337EBE76992CC2241465","1","SUCCESS","SUCCESS","0","0"
"CUMCM-2012-B-007","D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2012-B-007\source_converted.pdf","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","43744","TWO_REQUIRED_ARGUMENTS","2","17","1","500","1","","","","","","","0","DOC_BATCH_WORD","F34850D4339E358C6A8C548224CEC919AFAA1B0F4ADB660A81114C20D717015F","887296","547312CD5D3F57EB29292892142E79DE98B75C19C1D526ACB69B9EE834A3AA21","1","SUCCESS","SUCCESS","0","0"
"CUMCM-2012-C-003","D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2012-C-003\source_converted.pdf","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","5112","TWO_REQUIRED_ARGUMENTS","2","17","1","500","1","","","","","","","0","DOC_BATCH_WORD","D3FCC8E0989C76486CBB665FBAC51F584EE1D8442012EFB49D6A50E3B45F2212","1027072","1AF31EA4FE7E106AA9306E894B3471753F6077BF19A8A1F648A1E752E4CBC2E1","1","SUCCESS","SUCCESS","0","0"
"CUMCM-2012-C-004","D:\cumcm-modeling-Award-Collection\derived\scale\doc_batch\CUMCM-2012-C-004\source_converted.pdf","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","36628","TWO_REQUIRED_ARGUMENTS","2","17","1","500","1","","","","","","","0","DOC_BATCH_WORD","A610CEEE3C902F85C0FC590467868550F5CB9D52ECD57E21747EF890671CBDD7","748032","C2B4E0DA5C7AE5F7FCA6FADE85B00EB1588DA12FA3BF8F8B4523D1C4423B9F1D","1","SUCCESS","SUCCESS","0","0"
