"paper_id","logical_page_number","page_class","text_layer_present","ocr_route_required","text_chars","text_sha256","rendered_for_classification","nonwhite_ratio"
"CUMCM-2011-C-002","1","TEXT_PAGE","1","0","1088","19AD210941B0E56C2ABE779AF5086D813DF66646D7AD18042606943C718C361C","0",""
"CUMCM-2011-C-002","2","TEXT_PAGE","1","0","1881","7C16B1F28E32E25039121BDA5F787C8106531EC51DEF1BE732789DDF22209F50","0",""
"CUMCM-2011-C-002","3","TEXT_PAGE","1","0","721","4365FF005708025EF74BC8BED117D0ACBA4B8D4F57DAE3F46772243E03E5ECFC","0",""
"CUMCM-2011-C-002","4","TEXT_PAGE","1","0","1043","9C7BF208046C08D825267F923CC6B67B0DE28CB9D76B4133C79068F7540C52E5","0",""
"CUMCM-2011-C-002","5","TEXT_PAGE","1","0","914","C612CB82CE0DFC0EEBEFFA2D57179F82F2C82E6CFFEE67532953B01D039FC387","0",""
"CUMCM-2011-C-002","6","TEXT_PAGE","1","0","826","26FD56E0FDC869553DF3AFD65B6C835DE7956E61444F0CCDA30A6E8CA78ECAB4","0",""
"CUMCM-2011-C-002","7","TEXT_PAGE","1","0","1340","C8DE3E96D482F399CAFFF4EA0D28EC77FCF976B02E65EA40D60D78CDF31AD6BD","0",""
"CUMCM-2011-C-002","8","TEXT_PAGE","1","0","846","A1648789CA752EB93B66E0EB5E66572CAB292F9BC8A40B6F35F8C5C70C21C509","0",""
"CUMCM-2011-C-002","9","TEXT_PAGE","1","0","547","EA585BB420E4B313EB48A3BBF5503985EC2EB68676012083EE494782425F45A0","0",""
"CUMCM-2011-C-002","10","TEXT_PAGE","1","0","750","41EF6E33600CBAF28B945C878A8478B47689BBEF2FC0AA6FEDD143D701A8BEC4","0",""
"CUMCM-2011-C-002","11","TEXT_PAGE","1","0","822","A592B5ECA1466D857AF49EF84A4080D5CF0C04373D8240A60022A1AA2337DC96","0",""
"CUMCM-2011-C-002","12","TEXT_PAGE","1","0","1390","32517D4B194E5DA94A795B5437F34FABDF5DB4E277A651B81934EF172F1EFBE9","0",""
"CUMCM-2011-C-002","13","TEXT_PAGE","1","0","943","9ED1F6068A434B38BC3A9343C869DE830C669A366CC17B71ED72CD91AE7BC403","0",""
"CUMCM-2011-C-002","14","TEXT_PAGE","1","0","1128","851F63EFD58E5C63898F94BBF5CF080E9E99975936AA5ED9044A5805892ACB97","0",""
"CUMCM-2011-C-002","15","TEXT_PAGE","1","0","903","1D611C76B8F79F766CA5FB78CA41750E59A1BADF1A232A3B295D6AA26EFD0C93","0",""
"CUMCM-2011-C-002","16","TEXT_PAGE","1","0","537","6EAB81E8B64BDAEAA02EE0CE0CB7D5D2C06D06E895F53CA514C9D5DA043521D5","0",""
"CUMCM-2011-C-002","17","TEXT_PAGE","1","0","940","5A2E13BEB2A6FEBB72AC8C72F5161DDA5EB53537E4929EE6CB59F6FF50531313","0",""
"CUMCM-2011-C-002","18","TEXT_PAGE","1","0","947","2BB87A90BA4C97CA1C04A80A6527F30353A58077172326C4515075545C54F216","0",""
"CUMCM-2011-C-002","19","TEXT_PAGE","1","0","712","933EA919FDE3C0AF41EE3A86561E7B19CAFDECBE19AB2D1C3C1158A44B5BCBEA","0",""
"CUMCM-2011-C-002","20","TEXT_PAGE","1","0","1299","D7205213CAE18D2D595F2F21B0090207511282B68275772352986C27A38244B1","0",""
"CUMCM-2011-C-002","21","TEXT_PAGE","1","0","1139","184FFB5EC77B3260383295F5B9E5ACC7B2B436CE44002EAD1813BB410ED9C1CD","0",""
"CUMCM-2011-C-002","22","TEXT_PAGE","1","0","685","6B89EE6F7EE5975F29BA13182A342EC3351F8149BFEF3ED0161394605F0C5B0E","0",""
"CUMCM-2011-C-002","23","TEXT_PAGE","1","0","778","8E043C161D92E3381A87C05F6C6AD2E2E6313FB5E57D4BD193CB19B09805D8CE","0",""
"CUMCM-2011-C-002","24","TEXT_PAGE","1","0","860","29464D57110CC23E55AD88A593748F0F17C8F34F781E8A262B629A03C0744A5C","0",""
"CUMCM-2011-C-002","25","TEXT_PAGE","1","0","1133","C3F4968AC4877B1B3A3C13360E4CDAB2EF48312FC8EA6614F0340252A5B5EB2B","0",""
"CUMCM-2011-C-002","26","TEXT_PAGE","1","0","905","D231CD4F1085F2146419DA8E36E7EEBD20F815480E3A230564F6C8158CBDE7B8","0",""
"CUMCM-2011-C-002","27","TEXT_PAGE","1","0","1083","83D27CE78006B166DD12B3C0D86241A2F852ACCCC732274BB827F4E9243B5A9F","0",""
"CUMCM-2011-C-002","28","TEXT_PAGE","1","0","1368","B443617BE04327C731369C7983F759987C12CFC88A7870B595171EBE9D4CE690","0",""
"CUMCM-2011-C-002","29","TEXT_PAGE","1","0","709","A53EA061A75961E34BC22FB8093999189254BF25B3B7AA4BC21AC7E114C3249A","0",""
"CUMCM-2011-C-002","30","TEXT_PAGE","1","0","1306","F8CFF14A5C62588086BDE048CD1F05F70BB3589EB10AE2FC73F4EF221E69BD29","0",""
"CUMCM-2011-C-002","31","TEXT_PAGE","1","0","1241","94CEFA44FC81FCB04514419E892F416A7442DEB2F6919F6875BAD653C67630E4","0",""
"CUMCM-2011-C-002","32","TEXT_PAGE","1","0","845","8F3E16E69F64EDEC7E4075D46CC2BA72F61CAD3302F5A78899877554A409AD04","0",""
"CUMCM-2011-C-002","33","TEXT_PAGE","1","0","1114","B124467E1704C71F3E70DFC707FD18D9C54B9A998D0D9BDBB4CE186267EAC078","0",""
"CUMCM-2011-C-002","34","TEXT_PAGE","1","0","1010","81EBE1EBF0E6327B897789F6914E83DDBEECD866D5B20CAFADD86274073524CC","0",""
"CUMCM-2011-C-002","35","TEXT_PAGE","1","0","1308","9BAB5C5D5069F4973217CA1D3131C2DAA8BD96534689BB065F0CA920A5A2591A","0",""
"CUMCM-2011-C-002","36","TEXT_PAGE","1","0","752","CA6F3491B01F767428DE360EE72AA1F8CB2CF3143ACFB16732306C189C63BF2C","0",""
"CUMCM-2011-C-002","37","TEXT_PAGE","1","0","1269","6778BAABB9A9EB06A3260CC25E47663B1E08F236BAB55635A36990CA549B7B6E","0",""
"CUMCM-2011-C-002","38","TEXT_PAGE","1","0","816","127D1EEF7089B6C20CB57D0F8636A04F23B11524902FF88FBB72ACE15E281AA8","0",""
"CUMCM-2011-C-002","39","TEXT_PAGE","1","0","1254","E68CCA8E2FFCBD5422F11B8F1E9B012B1B17CE52AAE5CEA0B01D9BDDF79F699A","0",""
"CUMCM-2011-C-002","40","TEXT_PAGE","1","0","1240","CC6E80C102CE1C2B1DCC06164270DEB1542B88AFAAF3F3C4A4B4CC01395BA398","0",""
"CUMCM-2011-C-002","41","TEXT_PAGE","1","0","835","7D299120CC4B2291BD9E063C2FEE83F6C9BFFB1839F09DAE41A7F6578164B105","0",""
"CUMCM-2011-C-002","42","TEXT_PAGE","1","0","152","8A170F50A59B316D1FAFD0C52A5B35009A1413CDA86821467EB210BECE1DB156","0",""
"CUMCM-2013-D-001","1","TEXT_PAGE","1","0","1705","FB6F773858B9E2A9245528C70B88797B5D36D7E6938A961F18BD104D45003E9B","0",""
"CUMCM-2013-D-001","2","TEXT_PAGE","1","0","1199","22909E5F2678D72A9212A91C82433FFEFBDA4F099EDA70B44951C2112B52A659","0",""
"CUMCM-2013-D-001","3","TEXT_PAGE","1","0","1515","14A8E86C9A186ED108320CE162EED87CC60F880495325A5605559151033C5A35","0",""
"CUMCM-2013-D-001","4","TEXT_PAGE","1","0","1296","2A2D2D8618B6B16C1C2C71754A6551D28C1057410B588C9C8F0DEE143C9B361C","0",""
"CUMCM-2013-D-001","5","TEXT_PAGE","1","0","1438","CAEB8E592579AC01CDF036388F4B670753B7F5EE76B894DB32BC2903BC963843","0",""
"CUMCM-2013-D-001","6","TEXT_PAGE","1","0","1597","FB114DEB8423CA85CBC8F8A8D859F95EA03C856F6970FCEE30783011976EC4BE","0",""
"CUMCM-2013-D-001","7","TEXT_PAGE","1","0","1358","9F8C2AD8565562FB8516390FB8D5A8B405930365C0838ACD0CE02314EAEE0997","0",""
"CUMCM-2013-D-001","8","TEXT_PAGE","1","0","796","A4AF54BD39554547D301F777043598D87709C6FC4BA4F2F322AD58DD289E97EF","0",""
"CUMCM-2013-D-001","9","TEXT_PAGE","1","0","1481","101A34BA0C9C703D11C8EBDADBEF17E4BA0D3DBAE9526F2723F186E549EDA53B","0",""
