paper_id,source_path,source_sha256,expected_source_sha256,source_size,effective_pdf_path,effective_pdf_sha256,effective_pdf_size,effective_pdf_origin,provenance_status,provenance_chain,pdf_qa_status,page_accounting_status,extraction_status,content_sanity_status,artifact_readiness,source_integrity_pass,eligible_at_closure
CUMCM-2011-A-003,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011A：城市表层土壤重金属污染分析（6）.doc,FDA40E0C371BD0C91806B4CB581162EC0F1C3B51A7CAEF492EDD71D6E602E038,FDA40E0C371BD0C91806B4CB581162EC0F1C3B51A7CAEF492EDD71D6E602E038,1348608,derived/scale/doc_batch/CUMCM-2011-A-003/source_converted.pdf,1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291,1072140,BATCH_WORD_CONVERSION,PASS,CURRENT_BATCH_WORD_RESULTS_SUCCESS,PASS,PASS,PASS,PASS,READY,1,1
CUMCM-2011-C-002,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011C：企业退休职工养老金制度的改革 (1).doc,21E5912D27E48F0BBEB0E1044BF30F185FBAB2133945529F106449296C10653F,21E5912D27E48F0BBEB0E1044BF30F185FBAB2133945529F106449296C10653F,1113600,derived/scale/doc_contract_pilot_interactive/CUMCM-2011-C-002/source_converted.pdf,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,1217390,PILOT_REUSE,PASS,APPROVED_INTERACTIVE_WORD_PILOT_PRIMARY,PASS,PASS,PASS,PASS,READY,1,1
CUMCM-2011-C-003,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011C：企业退休职工养老金制度的改革 (2).doc,CB99F5DD56122680A0797E642C8ED3463B12B388DBDA96E2F42A9345EE623696,CB99F5DD56122680A0797E642C8ED3463B12B388DBDA96E2F42A9345EE623696,587264,derived/scale/doc_batch/CUMCM-2011-C-003/source_converted.pdf,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,834995,BATCH_WORD_CONVERSION,PASS,CURRENT_BATCH_WORD_RESULTS_SUCCESS,PASS,PASS,PASS,PASS,READY,1,1
CUMCM-2011-D-001,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题(1)/一类肠衣搭配优化问题.doc,A54963631C73100E2A26B41E91070384F60C7AE57B13789F2212145149EE6D2D,A54963631C73100E2A26B41E91070384F60C7AE57B13789F2212145149EE6D2D,571392,derived/scale/doc_batch/CUMCM-2011-D-001/source_converted.pdf,BB9DE03E3E434AF41B4DC6AF850D179D29B35FB78FDAE5BBA93A302EE0A9C1E6,758604,BATCH_WORD_CONVERSION,PASS,CURRENT_BATCH_WORD_RESULTS_SUCCESS,PASS,PASS,PASS,PASS,READY,1,1
CUMCM-2011-D-007,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题 (4).doc,97C1EA0783BF190F8B166E049F84352DD12A702E5F0B0B1E9720DEB4ED5DB5A5,97C1EA0783BF190F8B166E049F84352DD12A702E5F0B0B1E9720DEB4ED5DB5A5,594944,derived/scale/doc_batch/CUMCM-2011-D-007/source_converted.pdf,3A5513BF9594D27236C3F5B5C250C146382D3656B464D995AD071766017470D0,813141,BATCH_WORD_CONVERSION,PASS,CURRENT_BATCH_WORD_RESULTS_SUCCESS,PASS,PASS,PASS,PASS,READY,1,1
CUMCM-2011-D-013,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题 (2).doc,2D19468524DDDBEF409012F393460A92B0A9F24CFC01906F63720C13731BE66A,2D19468524DDDBEF409012F393460A92B0A9F24CFC01906F63720C13731BE66A,1153536,derived/scale/doc_batch/CUMCM-2011-D-013/source_converted.pdf,E0D00DE3E92B4ED095EDABBB3CF10E359C825D4C37932ACC77A353A379838CF1,1168510,BATCH_WORD_CONVERSION,PASS,CURRENT_BATCH_WORD_RESULTS_SUCCESS,PASS,PASS,PASS,PASS,READY,1,1
CUMCM-2012-A-003,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012A：葡萄酒的评价 (4).doc,519FA35E0C76A094FFD89C38269F9BC1A9D1C491A8A675EF324F22705B28F1D5,519FA35E0C76A094FFD89C38269F9BC1A9D1C491A8A675EF324F22705B28F1D5,1970688,derived/scale/doc_batch/CUMCM-2012-A-003/source_converted.pdf,C40455E13E66A460C39DAE91E660AF11E2BE0F61C1F03DB321571CEEDC4ED207,1767635,BATCH_WORD_CONVERSION,PASS,CURRENT_BATCH_WORD_RESULTS_SUCCESS,PASS,PASS,PASS,PASS,READY,1,1
CUMCM-2012-B-005,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (5)/基于递归算法的建筑外表面光伏电池布局优化分析与设计.doc,4357F1EB1DA91D0C65923D25AB6218F234C9F123A221DED8EE6318ECEC53CC05,4357F1EB1DA91D0C65923D25AB6218F234C9F123A221DED8EE6318ECEC53CC05,1717248,derived/scale/doc_batch/CUMCM-2012-B-005/source_converted.pdf,F9F59407B33E60976DD4B86A6A897C0F1B0A8F0DA166337EBE76992CC2241465,1707199,BATCH_WORD_CONVERSION,PASS,CURRENT_BATCH_WORD_RESULTS_SUCCESS,PASS,PASS,PASS,PASS,READY,1,1
CUMCM-2012-B-007,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (2)/10121505.doc,F34850D4339E358C6A8C548224CEC919AFAA1B0F4ADB660A81114C20D717015F,F34850D4339E358C6A8C548224CEC919AFAA1B0F4ADB660A81114C20D717015F,887296,derived/scale/doc_batch/CUMCM-2012-B-007/source_converted.pdf,547312CD5D3F57EB29292892142E79DE98B75C19C1D526ACB69B9EE834A3AA21,1097646,BATCH_WORD_CONVERSION,PASS,CURRENT_BATCH_WORD_RESULTS_SUCCESS,PASS,PASS,PASS,PASS,READY,1,1
CUMCM-2012-C-003,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (2).doc,D3FCC8E0989C76486CBB665FBAC51F584EE1D8442012EFB49D6A50E3B45F2212,D3FCC8E0989C76486CBB665FBAC51F584EE1D8442012EFB49D6A50E3B45F2212,1027072,derived/scale/doc_batch/CUMCM-2012-C-003/source_converted.pdf,1AF31EA4FE7E106AA9306E894B3471753F6077BF19A8A1F648A1E752E4CBC2E1,1292484,BATCH_WORD_CONVERSION,PASS,CURRENT_BATCH_WORD_RESULTS_SUCCESS,PASS,PASS,PASS,PASS,READY,1,1
