paper_id,effective_pdf_sha256,content_sanity_status,opening_coherence,closing_coherence,section_content_continuity,normalized_text_chars,gross_truncation_detected,evidence_source
CUMCM-2011-A-003,1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291,PASS,1,1,1,17350,0,READ_ONLY_TEXT_CONTINUITY_PASS
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,PASS,1,1,1,36133,0,REUSED_AUTHORITATIVE_SANITY
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,PASS,1,1,1,20754,0,READ_ONLY_TEXT_CONTINUITY_PASS
CUMCM-2011-D-001,BB9DE03E3E434AF41B4DC6AF850D179D29B35FB78FDAE5BBA93A302EE0A9C1E6,PASS,1,1,1,19468,0,READ_ONLY_TEXT_CONTINUITY_PASS
CUMCM-2011-D-007,3A5513BF9594D27236C3F5B5C250C146382D3656B464D995AD071766017470D0,PASS,1,1,1,18280,0,READ_ONLY_TEXT_CONTINUITY_PASS
CUMCM-2011-D-013,E0D00DE3E92B4ED095EDABBB3CF10E359C825D4C37932ACC77A353A379838CF1,PASS,1,1,1,31013,0,READ_ONLY_TEXT_CONTINUITY_PASS
CUMCM-2012-A-003,C40455E13E66A460C39DAE91E660AF11E2BE0F61C1F03DB321571CEEDC4ED207,PASS,1,1,1,27286,0,READ_ONLY_TEXT_CONTINUITY_PASS
CUMCM-2012-B-005,F9F59407B33E60976DD4B86A6A897C0F1B0A8F0DA166337EBE76992CC2241465,PASS,1,1,1,25380,0,READ_ONLY_TEXT_CONTINUITY_PASS
CUMCM-2012-B-007,547312CD5D3F57EB29292892142E79DE98B75C19C1D526ACB69B9EE834A3AA21,PASS,1,1,1,23512,0,READ_ONLY_TEXT_CONTINUITY_PASS
CUMCM-2012-C-003,1AF31EA4FE7E106AA9306E894B3471753F6077BF19A8A1F648A1E752E4CBC2E1,PASS,1,1,1,24598,0,READ_ONLY_TEXT_CONTINUITY_PASS
CUMCM-2012-C-004,C2B4E0DA5C7AE5F7FCA6FADE85B00EB1588DA12FA3BF8F8B4523D1C4423B9F1D,PASS,1,1,1,16992,0,READ_ONLY_TEXT_CONTINUITY_PASS
CUMCM-2012-D-001,CBE28049A80C0B900CF82A0BE06492A906D56B39F27819D6F94C67C6FF349399,PASS,1,1,1,23297,0,REUSED_MANUAL_PRINT_QA
CUMCM-2012-D-D044,918C86597756252BE5629D702EA46D4F386A406AD6B2341DC0C4B0F46B776BC4,PASS,1,1,1,35410,0,READ_ONLY_TEXT_CONTINUITY_PASS
CUMCM-2013-D-001,3C560062FFD7F9F4E855926AD051346D4FC2366C0052D80159836E1A007812A4,PASS,1,1,1,98420,0,REUSED_AUTHORITATIVE_SANITY
CUMCM-2013-D-004,ED6EF7DC8A23661F14C36F463E549079FC28CC6DDBF69205B8F346EDDF85E8C4,PASS,1,1,1,51539,0,READ_ONLY_TEXT_CONTINUITY_PASS
CUMCM-2014-D-002,EC483F99582A1ED0BDA10F423374BC49ADE8A16AEF1FC8A658334BAF252715E7,PASS,1,1,1,56547,0,READ_ONLY_TEXT_CONTINUITY_PASS
CUMCM-2014-D-003,00C0D4361A59E3D5F1E97FBE7DAF28B60FCDDA9C26EBF435182C9F6961EB360C,PASS,1,1,1,31296,0,REUSED_AUTHORITATIVE_SANITY
