paper_id,effective_pdf_sha256,logical_page_number,page_class,pdf_inspector_text_chars,poppler_text_chars,text_chars,text_sha256,evidence_source
CUMCM-2011-A-003,1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291,1,TEXT_PAGE,1464,1454,1464,746DC17715F3EC43CD0E77537583B45473AC9DC80CA2D2CE7E76ABBCD12F4639,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-A-003,1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291,2,TEXT_PAGE,937,922,937,6EC84C568EF0DD38A1B11E060734CA75A26F16A2184B7AD37E8B2ED737DDBC38,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-A-003,1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291,3,TEXT_PAGE,753,734,753,7C19ECF9837BE626FF0D0B6AE874038FC17D2AEF12E50401654787FD2DABA522,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-A-003,1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291,4,TEXT_PAGE,204,56,204,7DBAF94E11C007842DC47BBB0A1AE5639E67FB36C8EDD3D522B9F39753D91001,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-A-003,1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291,5,TEXT_PAGE,1110,1089,1110,189D4A1ADD9A40B51A7C05DED0E91A24E2FD33E53B1DE94938BD3FAD73369091,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-A-003,1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291,6,TEXT_PAGE,967,933,967,236F6C294C1F90E9E59687EDA8CE1F292CA4D6E1F121320230FDB4EC4C5CB7A3,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-A-003,1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291,7,TEXT_PAGE,1499,1485,1499,E36E30F969AD5495A342A9A33AEB0FB6A8C9CF827A94CE8FC27CFF12A6158F4B,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-A-003,1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291,8,TEXT_PAGE,1280,1296,1280,C469FB974C596FB76CA810D1E81AEA73F7C9E7EE5C4EE49433D17ED570B4A267,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-A-003,1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291,9,TEXT_PAGE,1214,1238,1214,78D75A4D9F50F8B9A271065A6E1C113BFF0094AA64C32819D0EECA3BD10D8A5D,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-A-003,1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291,10,TEXT_PAGE,1460,1458,1460,119F35B5F79D4379C89BDAA7646CB12D4B66925D7ABCB0732BABBA8449A86B62,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-A-003,1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291,11,TEXT_PAGE,1161,1150,1161,0ABB2221B98878A14EF565F7D83ED28B5DF67BE902D9AE07074DDAD0A9C5CF86,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-A-003,1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291,12,TEXT_PAGE,1017,1015,1017,AADF296E6EC3FB00B6955523BEF218F8627F372441FBAEC2E25EE95D7EE19594,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-A-003,1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291,13,TEXT_PAGE,875,884,875,B5576387602960114D4FFCEFB102FA69B39C26FDCA8EBAD03E24AAE12FD5A631,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-A-003,1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291,14,TEXT_PAGE,950,937,950,C40F4E9D2ADDAB7B8D0F66D343FBB6DC8A2CC9DFF57491DEE19A6209AFA5DB47,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-A-003,1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291,15,TEXT_PAGE,1281,1271,1281,8139B879F51C95089B8534B59CDDF261C6BF8CD63222E129BEAD03BADFE6DA49,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-A-003,1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291,16,TEXT_PAGE,1163,1147,1163,D263E7CB442E485BABBB65CAE4F6740A8E98782A71D28227E180FB16F4AEB6BB,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,1,TEXT_PAGE,776,761,776,C28C9D7768A3895EFA159539F3463C7AB1B4D1376DDE4B1E5C22649609A27AA5,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,2,TEXT_PAGE,1307,1291,1307,FC28A0B28D875EA433088E993C78D2F04D4FF68843BABCC5890230589E4C3B15,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,3,TEXT_PAGE,531,517,531,ED2BC3CC5226FF594EA92FCAF396727ADD6065E2F0ADE97021570F64E520CA2C,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,4,TEXT_PAGE,796,784,796,5FEA31C708CE70E39DA49A2BC8825CBC693EFCA9B1EAEACDDDDDB6B2535A2973,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,5,TEXT_PAGE,746,750,746,5B5F8DE1A5E83DD1017377478C93078F26FF063DF4637F148896D21B003817FC,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,6,TEXT_PAGE,684,680,684,D5880C01C0CEECFD8C44306EEA227C3EF0827071E8BCFE3903B4FD47B9101510,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,7,TEXT_PAGE,1067,1057,1067,16579316A27DE113CE00954A061FE4784EC669F720FCA77DEDB9C6327345761F,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,8,TEXT_PAGE,709,671,709,3F5068D49E02DB2470EE1E2499CD55FB40E6CC772E47FD25DC66B0B3F5A80D8E,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,9,TEXT_PAGE,471,468,471,32715800FA4415DAFB5E288035C49579C56F8E1EA821E32F974084A103DABB65,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,10,TEXT_PAGE,677,635,677,39B6C3E3CDB82A0411D1479A9F69E26DF847198C820AAEA85CE6979C43951C22,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,11,TEXT_PAGE,677,680,677,96109770990DC047281186C4746C20772456CFB958E68771A002A072262FD0C6,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,12,TEXT_PAGE,999,1015,999,FBFE75F24BDC8BED69981296995D32EA8032548564090D384E9B6E1D429616D8,REUSED
