paper_id,attempt,logical_page_number,page_class,text_layer_present,ocr_route_required,text_chars,text_sha256,rendered_for_classification,nonwhite_ratio
CUMCM-2014-A-006,PRIMARY,1,TEXT_PAGE,1,0,79,B584E8866BA58FEFB924C11A5A1532210AA8D74735964E4346DC0005921C16B7,0,
CUMCM-2014-A-006,VALIDATION,1,TEXT_PAGE,1,0,79,B584E8866BA58FEFB924C11A5A1532210AA8D74735964E4346DC0005921C16B7,0,
CUMCM-2011-C-002,PRIMARY,1,TEXT_PAGE,1,0,761,378390AC413B1423CD32811A446EDF17CA113C8682E8DE2E7D84832980A47BDB,0,
CUMCM-2011-C-002,PRIMARY,2,TEXT_PAGE,1,0,1291,2A4B85690C7E3260A733D803DBB24FF504A5CD76A12FEEA290C79D1B955CB6C9,0,
CUMCM-2011-C-002,PRIMARY,3,TEXT_PAGE,1,0,517,9638F7B6C233F933CEB6158538C824D61EFFF2E957E2C924C5AA770AA392F8E8,0,
CUMCM-2011-C-002,PRIMARY,4,TEXT_PAGE,1,0,784,5FF0D056BA5AA46DE03B43DEF3A779A4BEF0C3F0AB0A2CEAEC21059D7908FDEF,0,
CUMCM-2011-C-002,PRIMARY,5,TEXT_PAGE,1,0,750,F37D1A4161543A82AC94DD57411AD1F36759959085E8B689242AEFDEF676D2D4,0,
CUMCM-2011-C-002,PRIMARY,6,TEXT_PAGE,1,0,680,EAD08D57C550EEB892DE1E98340C825B9D534E1D863A9B653895C1940A306591,0,
CUMCM-2011-C-002,PRIMARY,7,TEXT_PAGE,1,0,1057,7C4A46605A013537E6393E98A11EBC0BFAB508E8AD9C6BB5C5F0C0613854A58E,0,
CUMCM-2011-C-002,PRIMARY,8,TEXT_PAGE,1,0,671,0DA58F2F57E9AD91FA6F6B55F3D73D5FCCDAF619EC647DD820241102D899C170,0,
CUMCM-2011-C-002,PRIMARY,9,TEXT_PAGE,1,0,468,66FF3BC314DE7AC0F5D1436363DD84B802B744D18F118077441D0FED9DDDAD7F,0,
CUMCM-2011-C-002,PRIMARY,10,TEXT_PAGE,1,0,635,6255E7DD255080AAAFCB2B5154AA450EFB65D1E9B0E330AA19757CE524F7EE22,0,
