paper_id,year,problem,final_subject_type,artifact_eligible,extraction_complete,artifact_currently_incomplete,source_page_kind,source_derivative,extraction_contract,downstream_action
CUMCM-2021-A-A028,2021,A,PAPER,1,1,1,image_sequence,derived/scale/image_sequence_text/CUMCM-2021-A-A028,g8-image-sequence-v2,READY_FOR_ARTIFACT_EXISTING_EXTRACTION
CUMCM-2021-A-A115,2021,A,PAPER,1,1,1,image_sequence,derived/scale/image_sequence_text/CUMCM-2021-A-A115,g8-image-sequence-v2,READY_FOR_ARTIFACT_EXISTING_EXTRACTION
CUMCM-2021-A-A217,2021,A,PAPER,1,1,1,image_sequence,derived/scale/image_sequence_text/CUMCM-2021-A-A217,g8-image-sequence-v2,READY_FOR_ARTIFACT_EXISTING_EXTRACTION
CUMCM-2021-B-B007,2021,B,PAPER,1,1,1,image_sequence,derived/scale/image_sequence_text/CUMCM-2021-B-B007,g8-image-sequence-v2,READY_FOR_ARTIFACT_EXISTING_EXTRACTION
CUMCM-2021-B-B026,2021,B,PAPER,1,1,1,image_sequence,derived/scale/image_sequence_text/CUMCM-2021-B-B026,g8-image-sequence-v2,READY_FOR_ARTIFACT_EXISTING_EXTRACTION
CUMCM-2021-B-B050,2021,B,PAPER,1,1,1,image_sequence,derived/scale/image_sequence_text/CUMCM-2021-B-B050,g8-image-sequence-v2,READY_FOR_ARTIFACT_EXISTING_EXTRACTION
CUMCM-2021-B-B106,2021,B,PAPER,1,1,1,image_sequence,derived/scale/image_sequence_text/CUMCM-2021-B-B106,g8-image-sequence-v2,READY_FOR_ARTIFACT_EXISTING_EXTRACTION
CUMCM-2021-C-C066,2021,C,PAPER,1,1,1,image_sequence,derived/scale/image_sequence_text/CUMCM-2021-C-C066,g8-image-sequence-v2,READY_FOR_ARTIFACT_EXISTING_EXTRACTION
CUMCM-2021-C-C085,2021,C,PAPER,1,1,1,image_sequence,derived/scale/image_sequence_text/CUMCM-2021-C-C085,g8-image-sequence-v2,READY_FOR_ARTIFACT_EXISTING_EXTRACTION
CUMCM-2021-C-C169,2021,C,PAPER,1,1,1,image_sequence,derived/scale/image_sequence_text/CUMCM-2021-C-C169,g8-image-sequence-v2,READY_FOR_ARTIFACT_EXISTING_EXTRACTION
CUMCM-2021-C-C283,2021,C,PAPER,1,1,1,image_sequence,derived/scale/image_sequence_text/CUMCM-2021-C-C283,g8-image-sequence-v2,READY_FOR_ARTIFACT_EXISTING_EXTRACTION
CUMCM-2021-D-D017,2021,D,PAPER,1,1,1,image_sequence,derived/scale/image_sequence_text/CUMCM-2021-D-D017,g8-image-sequence-v2,READY_FOR_ARTIFACT_EXISTING_EXTRACTION
CUMCM-2021-D-D026,2021,D,PAPER,1,1,1,image_sequence,derived/scale/image_sequence_text/CUMCM-2021-D-D026,g8-image-sequence-v2,READY_FOR_ARTIFACT_EXISTING_EXTRACTION
CUMCM-2021-D-D034,2021,D,PAPER,1,1,1,image_sequence,derived/scale/image_sequence_text/CUMCM-2021-D-D034,g8-image-sequence-v2,READY_FOR_ARTIFACT_EXISTING_EXTRACTION
CUMCM-2021-E-E014,2021,E,PAPER,1,1,1,image_sequence,derived/scale/image_sequence_text/CUMCM-2021-E-E014,g8-image-sequence-v2,READY_FOR_ARTIFACT_EXISTING_EXTRACTION
CUMCM-2021-E-E025,2021,E,PAPER,1,1,1,image_sequence,derived/scale/image_sequence_text/CUMCM-2021-E-E025,g8-image-sequence-v2,READY_FOR_ARTIFACT_EXISTING_EXTRACTION
CUMCM-2021-E-E037,2021,E,PAPER,1,1,1,image_sequence,derived/scale/image_sequence_text/CUMCM-2021-E-E037,g8-image-sequence-v2,READY_FOR_ARTIFACT_EXISTING_EXTRACTION
CUMCM-2022-C-C229,2022,C,PAPER,1,1,1,image_sequence,derived/scale/image_sequence_text/CUMCM-2022-C-C229,g8-image-sequence-v2,READY_FOR_ARTIFACT_EXISTING_EXTRACTION
CUMCM-2022-E-E014,2022,E,PAPER,1,1,1,image_sequence,derived/scale/image_sequence_text/CUMCM-2022-E-E014,g8-image-sequence-v2,READY_FOR_ARTIFACT_EXISTING_EXTRACTION
