paper_id,population_group,prior_subject_type,prior_artifact_eligibility,final_subject_type,final_artifact_eligible,confidence,downstream_action,prior_manual_category,new_manual_category,status
CUMCM-1993-A-001,LEGACY_ELIGIBILITY_MANUAL,AMBIGUOUS_MANUAL_REVIEW,UNRESOLVED,PROBLEM_PACKAGE,0,HIGH,CLOSED_INELIGIBLE,,,RECONCILED
CUMCM-2011-A-003,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,READY_FOR_DOC_CONTRACT,DOC_CONTRACT_MANUAL,DOC_CONTRACT_MANUAL,RECONCILED
CUMCM-2011-C-002,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,READY_FOR_DOC_CONTRACT,DOC_CONTRACT_MANUAL,DOC_CONTRACT_MANUAL,RECONCILED
CUMCM-2011-C-003,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,READY_FOR_DOC_CONTRACT,DOC_CONTRACT_MANUAL,DOC_CONTRACT_MANUAL,RECONCILED
CUMCM-2011-D-001,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,READY_FOR_DOC_CONTRACT,DOC_CONTRACT_MANUAL,DOC_CONTRACT_MANUAL,RECONCILED
CUMCM-2011-D-007,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,READY_FOR_DOC_CONTRACT,DOC_CONTRACT_MANUAL,DOC_CONTRACT_MANUAL,RECONCILED
CUMCM-2011-D-013,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,READY_FOR_DOC_CONTRACT,DOC_CONTRACT_MANUAL,DOC_CONTRACT_MANUAL,RECONCILED
CUMCM-2011-D-038,GITKEEP_ANOMALY,PAPER,UNRESOLVED,SUPPORTING_MATERIAL,0,HIGH,G3_GOVERNANCE_ANOMALY,,,RECONCILED
CUMCM-2012-A-003,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,READY_FOR_DOC_CONTRACT,DOC_CONTRACT_MANUAL,DOC_CONTRACT_MANUAL,RECONCILED
CUMCM-2012-B-005,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,READY_FOR_DOC_CONTRACT,DOC_CONTRACT_MANUAL,DOC_CONTRACT_MANUAL,RECONCILED
CUMCM-2012-B-007,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,READY_FOR_DOC_CONTRACT,DOC_CONTRACT_MANUAL,DOC_CONTRACT_MANUAL,RECONCILED
CUMCM-2012-C-001,IMAGE_SEQUENCE,PAPER,UNRESOLVED,SUPPORTING_MATERIAL,0,HIGH,CLOSED_INELIGIBLE,,,RECONCILED
CUMCM-2012-C-003,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,READY_FOR_DOC_CONTRACT,DOC_CONTRACT_MANUAL,DOC_CONTRACT_MANUAL,RECONCILED
CUMCM-2012-C-004,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,READY_FOR_DOC_CONTRACT,DOC_CONTRACT_MANUAL,DOC_CONTRACT_MANUAL,RECONCILED
CUMCM-2012-D-001,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,READY_FOR_DOC_CONTRACT,DOC_CONTRACT_MANUAL,DOC_CONTRACT_MANUAL,RECONCILED
CUMCM-2012-D-D044,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,READY_FOR_DOC_CONTRACT,DOC_CONTRACT_MANUAL,DOC_CONTRACT_MANUAL,RECONCILED
CUMCM-2013-D-001,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,READY_FOR_DOC_CONTRACT,DOC_CONTRACT_MANUAL,DOC_CONTRACT_MANUAL,RECONCILED
CUMCM-2013-D-004,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,READY_FOR_DOC_CONTRACT,DOC_CONTRACT_MANUAL,DOC_CONTRACT_MANUAL,RECONCILED
CUMCM-2014-A-006,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,READY_FOR_DOC_CONTRACT,DOC_CONTRACT_MANUAL,DOC_CONTRACT_MANUAL,RECONCILED
CUMCM-2014-B-001,IMAGE_SEQUENCE,PAPER,UNRESOLVED,SUPPORTING_MATERIAL,0,HIGH,CLOSED_INELIGIBLE,,,RECONCILED
CUMCM-2014-B-B1604,IMAGE_SEQUENCE,PAPER,UNRESOLVED,SUPPORTING_MATERIAL,0,HIGH,CLOSED_INELIGIBLE,,,RECONCILED
CUMCM-2014-D-002,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,READY_FOR_DOC_CONTRACT,DOC_CONTRACT_MANUAL,DOC_CONTRACT_MANUAL,RECONCILED
CUMCM-2014-D-003,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,READY_FOR_DOC_CONTRACT,DOC_CONTRACT_MANUAL,DOC_CONTRACT_MANUAL,RECONCILED
CUMCM-2021-A-A028,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,,,RECONCILED
CUMCM-2021-A-A115,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,,,RECONCILED
CUMCM-2021-A-A217,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,,,RECONCILED
CUMCM-2021-B-B007,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,,,RECONCILED
CUMCM-2021-B-B026,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,,,RECONCILED
