paper_id,prior_status,final_subject_type,artifact_eligible,evidence,resolution,still_deferred
CUMCM-1992-A-001,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1992-A-002,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1992-A-003,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1992-A-004,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1992-B-001,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1992-B-002,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1993-A-001,AMBIGUOUS_MANUAL_REVIEW|UNRESOLVED,AMBIGUOUS_MANUAL_REVIEW,UNRESOLVED,multiple plausible source members; no source strategy invented,AMBIGUOUS_MANUAL_REVIEW,True
CUMCM-1993-B-001,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1993-B-002,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1993-B-003,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1995-A-001,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1995-A-002,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1995-A-003,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1995-A-004,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1995-A-005,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1995-A-006,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1995-A-007,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1995-A-008,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1995-B-001,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1995-B-002,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1995-B-003,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1995-B-004,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1995-B-005,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1995-B-006,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1995-B-007,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1996-A-001,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1996-A-002,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1996-A-003,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1996-A-004,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1996-A-005,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1996-A-006,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1996-A-007,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1996-A-008,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1996-B-001,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1996-B-002,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1996-B-003,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1996-B-004,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1997-A-001,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1997-A-002,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1997-A-003,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1997-A-004,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1997-A-005,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1997-A-006,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1997-A-007,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1997-A-008,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1997-A-009,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1997-B-001,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1997-B-002,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1997-B-003,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1997-B-004,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
CUMCM-1997-B-005,PAPER|1,PAPER,1,primary path is under an explicit paper/award-paper directory,ALREADY_RESOLVED,False
