paper_id,page_count,text_pages,blank_pages,image_only_pages,unexplained_pages,extraction_status,source_sha256_match,rerun_stable,reused_derivative,repeated_page_text,artifact_status,downstream_action
CUMCM-2012-C-001,4,4,0,0,0,PASS,1,1,1,0,BLOCKED_ELIGIBILITY_UNRESOLVED,G8-ELIGIBILITY-ANOMALY-R
CUMCM-2014-B-001,8,8,0,0,0,PASS,1,1,1,0,BLOCKED_ELIGIBILITY_UNRESOLVED,G8-ELIGIBILITY-ANOMALY-R
CUMCM-2014-B-B1604,8,8,0,0,0,PASS,1,1,1,0,BLOCKED_ELIGIBILITY_UNRESOLVED,G8-ELIGIBILITY-ANOMALY-R
CUMCM-2021-A-A028,38,38,0,0,0,PASS,1,1,1,0,BLOCKED_ELIGIBILITY_UNRESOLVED,G8-ELIGIBILITY-ANOMALY-R
CUMCM-2021-A-A115,35,35,0,0,0,PASS,1,1,1,0,BLOCKED_ELIGIBILITY_UNRESOLVED,G8-ELIGIBILITY-ANOMALY-R
CUMCM-2021-A-A217,59,59,0,0,0,PASS,1,1,1,0,BLOCKED_ELIGIBILITY_UNRESOLVED,G8-ELIGIBILITY-ANOMALY-R
CUMCM-2021-B-B007,45,45,0,0,0,PASS,1,1,1,0,BLOCKED_ELIGIBILITY_UNRESOLVED,G8-ELIGIBILITY-ANOMALY-R
CUMCM-2021-B-B026,26,26,0,0,0,PASS,1,1,1,0,BLOCKED_ELIGIBILITY_UNRESOLVED,G8-ELIGIBILITY-ANOMALY-R
CUMCM-2021-B-B050,59,59,0,0,0,PASS,1,1,1,0,BLOCKED_ELIGIBILITY_UNRESOLVED,G8-ELIGIBILITY-ANOMALY-R
CUMCM-2021-B-B106,28,28,0,0,0,PASS,1,1,1,0,BLOCKED_ELIGIBILITY_UNRESOLVED,G8-ELIGIBILITY-ANOMALY-R
CUMCM-2021-C-C066,60,60,0,0,0,PASS,1,1,1,0,BLOCKED_ELIGIBILITY_UNRESOLVED,G8-ELIGIBILITY-ANOMALY-R
CUMCM-2021-C-C085,56,56,0,0,0,PASS,1,1,1,0,BLOCKED_ELIGIBILITY_UNRESOLVED,G8-ELIGIBILITY-ANOMALY-R
CUMCM-2021-C-C169,51,51,0,0,0,PASS,1,1,1,0,BLOCKED_ELIGIBILITY_UNRESOLVED,G8-ELIGIBILITY-ANOMALY-R
CUMCM-2021-C-C283,58,58,0,0,0,PASS,1,1,1,0,BLOCKED_ELIGIBILITY_UNRESOLVED,G8-ELIGIBILITY-ANOMALY-R
CUMCM-2021-D-D017,21,21,0,0,0,PASS,1,1,1,0,BLOCKED_ELIGIBILITY_UNRESOLVED,G8-ELIGIBILITY-ANOMALY-R
CUMCM-2021-D-D026,36,36,0,0,0,PASS,1,1,1,0,BLOCKED_ELIGIBILITY_UNRESOLVED,G8-ELIGIBILITY-ANOMALY-R
CUMCM-2021-D-D034,30,30,0,0,0,PASS,1,1,1,0,BLOCKED_ELIGIBILITY_UNRESOLVED,G8-ELIGIBILITY-ANOMALY-R
CUMCM-2021-E-E014,51,51,0,0,0,PASS,1,1,1,0,BLOCKED_ELIGIBILITY_UNRESOLVED,G8-ELIGIBILITY-ANOMALY-R
CUMCM-2021-E-E025,39,39,0,0,0,PASS,1,1,1,0,BLOCKED_ELIGIBILITY_UNRESOLVED,G8-ELIGIBILITY-ANOMALY-R
CUMCM-2021-E-E037,37,37,0,0,0,PASS,1,1,1,0,BLOCKED_ELIGIBILITY_UNRESOLVED,G8-ELIGIBILITY-ANOMALY-R
CUMCM-2022-C-C229,26,26,0,0,0,PASS,1,1,1,0,BLOCKED_ELIGIBILITY_UNRESOLVED,G8-ELIGIBILITY-ANOMALY-R
CUMCM-2022-E-E014,24,24,0,0,0,PASS,1,1,1,0,BLOCKED_ELIGIBILITY_UNRESOLVED,G8-ELIGIBILITY-ANOMALY-R
