paper_id,year,problem,subject_type_current,artifact_eligible_current,primary_file,primary_extension,member_file_count,member_extensions,supported_alternate_membership_exists,supported_alternate_path,current_extraction_backend,existing_local_capability,conversion_required,new_dependency_required,recommended_strategy,risk_level,priority
CUMCM-2011-A-003,2011,A,PAPER,UNRESOLVED,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011A：城市表层土壤重金属污染分析（6）.doc,.doc,1,.doc,0,,none; deferred,inventory only; no approved DOC parser and Office/antiword are prohibited,1,1,NEW_EXTRACTION_CONTRACT_REQUIRED,HIGH,P2
CUMCM-2011-C-002,2011,C,PAPER,UNRESOLVED,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011C：企业退休职工养老金制度的改革 (1).doc,.doc,1,.doc,0,,none; deferred,inventory only; no approved DOC parser and Office/antiword are prohibited,1,1,NEW_EXTRACTION_CONTRACT_REQUIRED,HIGH,P2
CUMCM-2011-C-003,2011,C,PAPER,UNRESOLVED,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011C：企业退休职工养老金制度的改革 (2).doc,.doc,1,.doc,0,,none; deferred,inventory only; no approved DOC parser and Office/antiword are prohibited,1,1,NEW_EXTRACTION_CONTRACT_REQUIRED,HIGH,P2
CUMCM-2011-D-001,2011,D,PAPER,UNRESOLVED,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题(1)/一类肠衣搭配优化问题.doc,.doc,1,.doc,0,,none; deferred,inventory only; no approved DOC parser and Office/antiword are prohibited,1,1,NEW_EXTRACTION_CONTRACT_REQUIRED,HIGH,P2
CUMCM-2011-D-007,2011,D,PAPER,UNRESOLVED,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题 (4).doc,.doc,1,.doc,0,,none; deferred,inventory only; no approved DOC parser and Office/antiword are prohibited,1,1,NEW_EXTRACTION_CONTRACT_REQUIRED,HIGH,P2
CUMCM-2011-D-013,2011,D,PAPER,UNRESOLVED,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题 (2).doc,.doc,1,.doc,0,,none; deferred,inventory only; no approved DOC parser and Office/antiword are prohibited,1,1,NEW_EXTRACTION_CONTRACT_REQUIRED,HIGH,P2
CUMCM-2011-D-038,2011,D,PAPER,UNRESOLVED,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题(2)/.gitkeep,[no_extension],1,[no_extension],0,,none; deferred,file inventory only; content-bearing status must be reviewed,0,0,ELIGIBILITY_REVIEW_FIRST,LOW,P1
CUMCM-2012-A-003,2012,A,PAPER,UNRESOLVED,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012A：葡萄酒的评价 (4).doc,.doc,1,.doc,0,,none; deferred,inventory only; no approved DOC parser and Office/antiword are prohibited,1,1,NEW_EXTRACTION_CONTRACT_REQUIRED,HIGH,P2
CUMCM-2012-B-005,2012,B,PAPER,UNRESOLVED,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (5)/基于递归算法的建筑外表面光伏电池布局优化分析与设计.doc,.doc,1,.doc,0,,none; deferred,inventory only; no approved DOC parser and Office/antiword are prohibited,1,1,NEW_EXTRACTION_CONTRACT_REQUIRED,HIGH,P2
CUMCM-2012-B-007,2012,B,PAPER,UNRESOLVED,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (2)/10121505.doc,.doc,1,.doc,0,,none; deferred,inventory only; no approved DOC parser and Office/antiword are prohibited,1,1,NEW_EXTRACTION_CONTRACT_REQUIRED,HIGH,P2
CUMCM-2012-C-001,2012,C,PAPER,UNRESOLVED,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (1)/逐步回归分析/all.jpg,.jpg,4,.jpg,0,,none; deferred,existing Poppler/PIL can inspect raster metadata; no Paper extraction contract,0,0,EXISTING_LOCAL_READ_ONLY_BACKEND_CANDIDATE,HIGH,P2
CUMCM-2012-C-003,2012,C,PAPER,UNRESOLVED,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (2).doc,.doc,1,.doc,0,,none; deferred,inventory only; no approved DOC parser and Office/antiword are prohibited,1,1,NEW_EXTRACTION_CONTRACT_REQUIRED,HIGH,P2
CUMCM-2012-C-004,2012,C,PAPER,UNRESOLVED,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (1)/基于逐步回归的脑卒中发病环境因素分析及干预模型.doc,.doc,1,.doc,0,,none; deferred,inventory only; no approved DOC parser and Office/antiword are prohibited,1,1,NEW_EXTRACTION_CONTRACT_REQUIRED,HIGH,P2
CUMCM-2012-D-001,2012,D,PAPER,UNRESOLVED,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012D：机器人避障问题 (2).doc,.doc,1,.doc,0,,none; deferred,inventory only; no approved DOC parser and Office/antiword are prohibited,1,1,NEW_EXTRACTION_CONTRACT_REQUIRED,HIGH,P2
CUMCM-2012-D-D044,2012,D,PAPER,UNRESOLVED,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012D：机器人避障问题 (1)/D044.doc,.doc,1,.doc,0,,none; deferred,inventory only; no approved DOC parser and Office/antiword are prohibited,1,1,NEW_EXTRACTION_CONTRACT_REQUIRED,HIGH,P2
CUMCM-2013-D-001,2013,D,PAPER,UNRESOLVED,2013年数学建模国赛真题+优秀论文/2013D：城市公共自行车服务系统运行状况和效率分析/论文.doc,.doc,1,.doc,0,,none; deferred,inventory only; no approved DOC parser and Office/antiword are prohibited,1,1,NEW_EXTRACTION_CONTRACT_REQUIRED,HIGH,P2
CUMCM-2014-A-006,2014,A,PAPER,UNRESOLVED,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014A：嫦娥三号软着陆轨道设计与控制策略 (3)/关于椭圆参数的计算.doc,.doc,1,.doc,0,,none; deferred,inventory only; no approved DOC parser and Office/antiword are prohibited,1,1,NEW_EXTRACTION_CONTRACT_REQUIRED,HIGH,P2
CUMCM-2014-B-001,2014,B,PAPER,UNRESOLVED,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w1-1-1.jpg,.jpg,8,.jpg,0,,none; deferred,existing Poppler/PIL can inspect raster metadata; no Paper extraction contract,0,0,EXISTING_LOCAL_READ_ONLY_BACKEND_CANDIDATE,HIGH,P2
CUMCM-2014-B-B1604,2014,B,PAPER,UNRESOLVED,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w1-1-1.jpg,.jpg,8,.jpg,0,,none; deferred,existing Poppler/PIL can inspect raster metadata; no Paper extraction contract,0,0,EXISTING_LOCAL_READ_ONLY_BACKEND_CANDIDATE,HIGH,P2
CUMCM-2014-D-002,2014,D,PAPER,UNRESOLVED,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014D：储药槽的设计 (2)/储药柜的设计.doc,.doc,1,.doc,0,,none; deferred,inventory only; no approved DOC parser and Office/antiword are prohibited,1,1,NEW_EXTRACTION_CONTRACT_REQUIRED,HIGH,P2
CUMCM-2014-D-003,2014,D,PAPER,UNRESOLVED,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014D：储药槽的设计/D-储药槽的设计.doc,.doc,1,.doc,0,,none; deferred,inventory only; no approved DOC parser and Office/antiword are prohibited,1,1,NEW_EXTRACTION_CONTRACT_REQUIRED,HIGH,P2
CUMCM-2021-A-A028,2021,A,PAPER,UNRESOLVED,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A028/A1.jpg,.jpg,38,.jpg,0,,none; deferred,existing Poppler/PIL can inspect raster metadata; no Paper extraction contract,0,0,EXISTING_LOCAL_READ_ONLY_BACKEND_CANDIDATE,HIGH,P2
CUMCM-2021-A-A115,2021,A,PAPER,UNRESOLVED,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A115/A1.jpg,.jpg,35,.jpg,0,,none; deferred,existing Poppler/PIL can inspect raster metadata; no Paper extraction contract,0,0,EXISTING_LOCAL_READ_ONLY_BACKEND_CANDIDATE,HIGH,P2
CUMCM-2021-A-A217,2021,A,PAPER,UNRESOLVED,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文A题-A217/A1.jpg,.jpg,59,.jpg,0,,none; deferred,existing Poppler/PIL can inspect raster metadata; no Paper extraction contract,0,0,EXISTING_LOCAL_READ_ONLY_BACKEND_CANDIDATE,HIGH,P2
