paper_id,source_path,source_sha256,extension,actual_format,file_signature,local_capability_candidates,candidate_backend,read_only_possible,conversion_required,fidelity_risk,provenance_risk,contract_status,recommended_next_stage
CUMCM-2011-A-003,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011A：城市表层土壤重金属污染分析（6）.doc,FDA40E0C371BD0C91806B4CB581162EC0F1C3B51A7CAEF492EDD71D6E602E038,.doc,OLE_COMPOUND_DOCUMENT,D0CF11E0A1B11AE1,python-docx excluded for binary .doc; olefile=0; antiword=0; catdoc=0; Word=1; LibreOffice=0,none,0,1,HIGH,HIGH,CONVERSION_CONTRACT_REQUIRED,G8-DOC-CONTRACT-PILOT
CUMCM-2011-C-002,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011C：企业退休职工养老金制度的改革 (1).doc,21E5912D27E48F0BBEB0E1044BF30F185FBAB2133945529F106449296C10653F,.doc,OLE_COMPOUND_DOCUMENT,D0CF11E0A1B11AE1,python-docx excluded for binary .doc; olefile=0; antiword=0; catdoc=0; Word=1; LibreOffice=0,none,0,1,HIGH,HIGH,CONVERSION_CONTRACT_REQUIRED,G8-DOC-CONTRACT-PILOT
CUMCM-2011-C-003,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011C：企业退休职工养老金制度的改革 (2).doc,CB99F5DD56122680A0797E642C8ED3463B12B388DBDA96E2F42A9345EE623696,.doc,OLE_COMPOUND_DOCUMENT,D0CF11E0A1B11AE1,python-docx excluded for binary .doc; olefile=0; antiword=0; catdoc=0; Word=1; LibreOffice=0,none,0,1,HIGH,HIGH,CONVERSION_CONTRACT_REQUIRED,G8-DOC-CONTRACT-PILOT
CUMCM-2011-D-001,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题(1)/一类肠衣搭配优化问题.doc,A54963631C73100E2A26B41E91070384F60C7AE57B13789F2212145149EE6D2D,.doc,OLE_COMPOUND_DOCUMENT,D0CF11E0A1B11AE1,python-docx excluded for binary .doc; olefile=0; antiword=0; catdoc=0; Word=1; LibreOffice=0,none,0,1,HIGH,HIGH,CONVERSION_CONTRACT_REQUIRED,G8-DOC-CONTRACT-PILOT
CUMCM-2011-D-007,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题 (4).doc,97C1EA0783BF190F8B166E049F84352DD12A702E5F0B0B1E9720DEB4ED5DB5A5,.doc,OLE_COMPOUND_DOCUMENT,D0CF11E0A1B11AE1,python-docx excluded for binary .doc; olefile=0; antiword=0; catdoc=0; Word=1; LibreOffice=0,none,0,1,HIGH,HIGH,CONVERSION_CONTRACT_REQUIRED,G8-DOC-CONTRACT-PILOT
CUMCM-2011-D-013,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题 (2).doc,2D19468524DDDBEF409012F393460A92B0A9F24CFC01906F63720C13731BE66A,.doc,OLE_COMPOUND_DOCUMENT,D0CF11E0A1B11AE1,python-docx excluded for binary .doc; olefile=0; antiword=0; catdoc=0; Word=1; LibreOffice=0,none,0,1,HIGH,HIGH,CONVERSION_CONTRACT_REQUIRED,G8-DOC-CONTRACT-PILOT
CUMCM-2012-A-003,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012A：葡萄酒的评价 (4).doc,519FA35E0C76A094FFD89C38269F9BC1A9D1C491A8A675EF324F22705B28F1D5,.doc,OLE_COMPOUND_DOCUMENT,D0CF11E0A1B11AE1,python-docx excluded for binary .doc; olefile=0; antiword=0; catdoc=0; Word=1; LibreOffice=0,none,0,1,HIGH,HIGH,CONVERSION_CONTRACT_REQUIRED,G8-DOC-CONTRACT-PILOT
CUMCM-2012-B-005,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (5)/基于递归算法的建筑外表面光伏电池布局优化分析与设计.doc,4357F1EB1DA91D0C65923D25AB6218F234C9F123A221DED8EE6318ECEC53CC05,.doc,OLE_COMPOUND_DOCUMENT,D0CF11E0A1B11AE1,python-docx excluded for binary .doc; olefile=0; antiword=0; catdoc=0; Word=1; LibreOffice=0,none,0,1,HIGH,HIGH,CONVERSION_CONTRACT_REQUIRED,G8-DOC-CONTRACT-PILOT
CUMCM-2012-B-007,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (2)/10121505.doc,F34850D4339E358C6A8C548224CEC919AFAA1B0F4ADB660A81114C20D717015F,.doc,OLE_COMPOUND_DOCUMENT,D0CF11E0A1B11AE1,python-docx excluded for binary .doc; olefile=0; antiword=0; catdoc=0; Word=1; LibreOffice=0,none,0,1,HIGH,HIGH,CONVERSION_CONTRACT_REQUIRED,G8-DOC-CONTRACT-PILOT
CUMCM-2012-C-003,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (2).doc,D3FCC8E0989C76486CBB665FBAC51F584EE1D8442012EFB49D6A50E3B45F2212,.doc,OLE_COMPOUND_DOCUMENT,D0CF11E0A1B11AE1,python-docx excluded for binary .doc; olefile=0; antiword=0; catdoc=0; Word=1; LibreOffice=0,none,0,1,HIGH,HIGH,CONVERSION_CONTRACT_REQUIRED,G8-DOC-CONTRACT-PILOT
CUMCM-2012-C-004,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (1)/基于逐步回归的脑卒中发病环境因素分析及干预模型.doc,A610CEEE3C902F85C0FC590467868550F5CB9D52ECD57E21747EF890671CBDD7,.doc,OLE_COMPOUND_DOCUMENT,D0CF11E0A1B11AE1,python-docx excluded for binary .doc; olefile=0; antiword=0; catdoc=0; Word=1; LibreOffice=0,none,0,1,HIGH,HIGH,CONVERSION_CONTRACT_REQUIRED,G8-DOC-CONTRACT-PILOT
CUMCM-2012-D-001,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012D：机器人避障问题 (2).doc,D93A9A6A9DE012927F8A5D4B36E1768CA3F6AFFB6952673F40FE2740D4032766,.doc,OLE_COMPOUND_DOCUMENT,D0CF11E0A1B11AE1,python-docx excluded for binary .doc; olefile=0; antiword=0; catdoc=0; Word=1; LibreOffice=0,none,0,1,HIGH,HIGH,CONVERSION_CONTRACT_REQUIRED,G8-DOC-CONTRACT-PILOT
