paper_id,year,problem,subject_type,artifact_eligible,primary_file,primary_extension,primary_signature,member_file_count,member_files,member_extensions,source_strategy,supported_alternate_membership_exists,supported_alternate_path,existing_local_backend,new_backend_required,conversion_required,recommended_strategy,current_manual_reason,next_action
CUMCM-2011-A-003,2011,A,PAPER,UNRESOLVED,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011A：城市表层土壤重金属污染分析（6）.doc,.doc,OLE_COMPOUND_DOCUMENT,1,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011A：城市表层土壤重金属污染分析（6）.doc,.doc,LEGACY_DOC,0,,none,1,1,DOC_CONTRACT_REQUIRED,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists",G8-DOC-CONTRACT-PILOT
CUMCM-2011-C-002,2011,C,PAPER,UNRESOLVED,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011C：企业退休职工养老金制度的改革 (1).doc,.doc,OLE_COMPOUND_DOCUMENT,1,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011C：企业退休职工养老金制度的改革 (1).doc,.doc,LEGACY_DOC,0,,none,1,1,DOC_CONTRACT_REQUIRED,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists",G8-DOC-CONTRACT-PILOT
CUMCM-2011-C-003,2011,C,PAPER,UNRESOLVED,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011C：企业退休职工养老金制度的改革 (2).doc,.doc,OLE_COMPOUND_DOCUMENT,1,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011C：企业退休职工养老金制度的改革 (2).doc,.doc,LEGACY_DOC,0,,none,1,1,DOC_CONTRACT_REQUIRED,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists",G8-DOC-CONTRACT-PILOT
CUMCM-2011-D-001,2011,D,PAPER,UNRESOLVED,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题(1)/一类肠衣搭配优化问题.doc,.doc,OLE_COMPOUND_DOCUMENT,1,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题(1)/一类肠衣搭配优化问题.doc,.doc,LEGACY_DOC,0,,none,1,1,DOC_CONTRACT_REQUIRED,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists",G8-DOC-CONTRACT-PILOT
CUMCM-2011-D-007,2011,D,PAPER,UNRESOLVED,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题 (4).doc,.doc,OLE_COMPOUND_DOCUMENT,1,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题 (4).doc,.doc,LEGACY_DOC,0,,none,1,1,DOC_CONTRACT_REQUIRED,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists",G8-DOC-CONTRACT-PILOT
CUMCM-2011-D-013,2011,D,PAPER,UNRESOLVED,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题 (2).doc,.doc,OLE_COMPOUND_DOCUMENT,1,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题 (2).doc,.doc,LEGACY_DOC,0,,none,1,1,DOC_CONTRACT_REQUIRED,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists",G8-DOC-CONTRACT-PILOT
CUMCM-2011-D-038,2011,D,PAPER,UNRESOLVED,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题(2)/.gitkeep,[no_extension],PLAIN_TEXT_OR_MARKER,1,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题(2)/.gitkeep,[no_extension],OTHER_UNSUPPORTED,0,,none,1,0,MANUAL_REQUIRED,primary source has actual format PLAIN_TEXT_OR_MARKER; no approved existing extraction contract,G8-OTHER-FORMAT-CONTRACT-PILOT
CUMCM-2012-A-003,2012,A,PAPER,UNRESOLVED,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012A：葡萄酒的评价 (4).doc,.doc,OLE_COMPOUND_DOCUMENT,1,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012A：葡萄酒的评价 (4).doc,.doc,LEGACY_DOC,0,,none,1,1,DOC_CONTRACT_REQUIRED,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists",G8-DOC-CONTRACT-PILOT
CUMCM-2012-B-005,2012,B,PAPER,UNRESOLVED,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (5)/基于递归算法的建筑外表面光伏电池布局优化分析与设计.doc,.doc,OLE_COMPOUND_DOCUMENT,1,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (5)/基于递归算法的建筑外表面光伏电池布局优化分析与设计.doc,.doc,LEGACY_DOC,0,,none,1,1,DOC_CONTRACT_REQUIRED,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists",G8-DOC-CONTRACT-PILOT
CUMCM-2012-B-007,2012,B,PAPER,UNRESOLVED,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (2)/10121505.doc,.doc,OLE_COMPOUND_DOCUMENT,1,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (2)/10121505.doc,.doc,LEGACY_DOC,0,,none,1,1,DOC_CONTRACT_REQUIRED,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists",G8-DOC-CONTRACT-PILOT
CUMCM-2012-C-001,2012,C,PAPER,UNRESOLVED,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (1)/逐步回归分析/all.jpg;2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (1)/逐步回归分析/out6.jpg;2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (1)/逐步回归分析/out67.jpg;2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (1)/逐步回归分析/zhubu.jpg,.jpg,JPEG,4,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (1)/逐步回归分析/all.jpg;2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (1)/逐步回归分析/out6.jpg;2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (1)/逐步回归分析/out67.jpg;2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (1)/逐步回归分析/zhubu.jpg,.jpg;.jpg;.jpg;.jpg,IMAGE_SEQUENCE,0,,Pillow 12.3.0,1,0,IMAGE_CONTRACT_REQUIRED,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available",G8-IMAGE-CONTRACT-PILOT
CUMCM-2012-C-003,2012,C,PAPER,UNRESOLVED,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (2).doc,.doc,OLE_COMPOUND_DOCUMENT,1,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (2).doc,.doc,LEGACY_DOC,0,,none,1,1,DOC_CONTRACT_REQUIRED,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists",G8-DOC-CONTRACT-PILOT
