paper_id,source_image_path,source_image_sha256,logical_page_number,ordering_evidence,duplicate_sha,readable,orientation_status,page_status
CUMCM-2012-C-001,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (1)/逐步回归分析/all.jpg,E8494A347664490B96C25EE69D119AF92049E25EFF19890F2375CEE98FD47F0A,1,frozen membership ordering,0,1,NO_EXIF_ORIENTATION,PASS
CUMCM-2012-C-001,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (1)/逐步回归分析/out6.jpg,A5ECDA559991AFF2AC3290899318850464568213FC91DB4D4A0948FA10741A43,2,numeric filename tokens,0,1,NO_EXIF_ORIENTATION,PASS
CUMCM-2012-C-001,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (1)/逐步回归分析/out67.jpg,A6F8706F5DD6698D07F7977C526DFD61F5C718DFC5C43539376BC8C1D20247B6,3,numeric filename tokens,0,1,NO_EXIF_ORIENTATION,PASS
CUMCM-2012-C-001,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012C：脑卒中发病环境因素分析及干预 (1)/逐步回归分析/zhubu.jpg,9802DD1A46268F21B99079DE07B1AE98B87CFE75B4B454FF3E6790C198D15C8B,4,frozen membership ordering,0,1,NO_EXIF_ORIENTATION,PASS
CUMCM-2014-B-001,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w1-1-1.jpg,D9FFC1EFFC70BFACDBB9B741215EEC0032F75B47858AA84CF8D801CC64204781,1,numeric filename tokens,0,1,NO_EXIF_ORIENTATION,PASS
CUMCM-2014-B-001,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w1-1.jpg,5A2B71DC9829B3E0FA2FE135126A30D28A1C90FE71C1E5EDC211FCAFF391E872,2,numeric filename tokens,0,1,NO_EXIF_ORIENTATION,PASS
CUMCM-2014-B-001,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w1_2.jpg,A18DB8218086EDCD1790C06676E78AACD72F46AAF2509062E1A30907DBF4BB14,3,numeric filename tokens,0,1,NO_EXIF_ORIENTATION,PASS
CUMCM-2014-B-001,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w2.jpg,0C5319D2A42F3C43456CE3BEAC6F3EFEF403801BC2C11DA273DC49B34D25E82A,4,numeric filename tokens,0,1,NO_EXIF_ORIENTATION,PASS
CUMCM-2014-B-001,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w3_1.jpg,9DE75648923D274A6893FC76F9E142952D81171FB5ECFE7812DEC1625E7200BA,5,numeric filename tokens,0,1,EXIF_NORMAL,PASS
CUMCM-2014-B-001,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w3_2.jpg,C32A0BF31CB82A1227C99CEE23CD862D16B4BFC8FCE3931B7AC936B4CB9998A0,6,numeric filename tokens,0,1,EXIF_NORMAL,PASS
CUMCM-2014-B-001,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w3_3.jpg,A1DCDA4DF3E4BDD254D1DABE09E1962744E055B551D41549EB7244AB93E09129,7,numeric filename tokens,0,1,NO_EXIF_ORIENTATION,PASS
