paper_id,year,problem,source_strategy,actual_format,formal_resolution_state,recommended_strategy,contract_status,supported_alternate_membership_exists,source_sha256,next_action,artifact_generated,artifact_qa,reason
CUMCM-2011-A-003,2011,A,LEGACY_DOC,OLE_COMPOUND_DOCUMENT,DOC_CONTRACT_REQUIRED,DOC_CONTRACT_REQUIRED,CONVERSION_CONTRACT_REQUIRED,0,FDA40E0C371BD0C91806B4CB581162EC0F1C3B51A7CAEF492EDD71D6E602E038,G8-DOC-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists"
CUMCM-2011-C-002,2011,C,LEGACY_DOC,OLE_COMPOUND_DOCUMENT,DOC_CONTRACT_REQUIRED,DOC_CONTRACT_REQUIRED,CONVERSION_CONTRACT_REQUIRED,0,21E5912D27E48F0BBEB0E1044BF30F185FBAB2133945529F106449296C10653F,G8-DOC-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists"
CUMCM-2011-C-003,2011,C,LEGACY_DOC,OLE_COMPOUND_DOCUMENT,DOC_CONTRACT_REQUIRED,DOC_CONTRACT_REQUIRED,CONVERSION_CONTRACT_REQUIRED,0,CB99F5DD56122680A0797E642C8ED3463B12B388DBDA96E2F42A9345EE623696,G8-DOC-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists"
CUMCM-2011-D-001,2011,D,LEGACY_DOC,OLE_COMPOUND_DOCUMENT,DOC_CONTRACT_REQUIRED,DOC_CONTRACT_REQUIRED,CONVERSION_CONTRACT_REQUIRED,0,A54963631C73100E2A26B41E91070384F60C7AE57B13789F2212145149EE6D2D,G8-DOC-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists"
CUMCM-2011-D-007,2011,D,LEGACY_DOC,OLE_COMPOUND_DOCUMENT,DOC_CONTRACT_REQUIRED,DOC_CONTRACT_REQUIRED,CONVERSION_CONTRACT_REQUIRED,0,97C1EA0783BF190F8B166E049F84352DD12A702E5F0B0B1E9720DEB4ED5DB5A5,G8-DOC-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists"
CUMCM-2011-D-013,2011,D,LEGACY_DOC,OLE_COMPOUND_DOCUMENT,DOC_CONTRACT_REQUIRED,DOC_CONTRACT_REQUIRED,CONVERSION_CONTRACT_REQUIRED,0,2D19468524DDDBEF409012F393460A92B0A9F24CFC01906F63720C13731BE66A,G8-DOC-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists"
CUMCM-2011-D-038,2011,D,OTHER_UNSUPPORTED,PLAIN_TEXT_OR_MARKER,MANUAL_UNSUPPORTED_FORMAT,MANUAL_REQUIRED,MANUAL_REQUIRED,0,01BA4719C80B6FE911B091A7C05124B64EEECE964E09C058EF8F9805DACA546B,G8-OTHER-FORMAT-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,primary source has actual format PLAIN_TEXT_OR_MARKER; no approved existing extraction contract
CUMCM-2012-A-003,2012,A,LEGACY_DOC,OLE_COMPOUND_DOCUMENT,DOC_CONTRACT_REQUIRED,DOC_CONTRACT_REQUIRED,CONVERSION_CONTRACT_REQUIRED,0,519FA35E0C76A094FFD89C38269F9BC1A9D1C491A8A675EF324F22705B28F1D5,G8-DOC-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists"
CUMCM-2012-B-005,2012,B,LEGACY_DOC,OLE_COMPOUND_DOCUMENT,DOC_CONTRACT_REQUIRED,DOC_CONTRACT_REQUIRED,CONVERSION_CONTRACT_REQUIRED,0,4357F1EB1DA91D0C65923D25AB6218F234C9F123A221DED8EE6318ECEC53CC05,G8-DOC-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists"
CUMCM-2012-B-007,2012,B,LEGACY_DOC,OLE_COMPOUND_DOCUMENT,DOC_CONTRACT_REQUIRED,DOC_CONTRACT_REQUIRED,CONVERSION_CONTRACT_REQUIRED,0,F34850D4339E358C6A8C548224CEC919AFAA1B0F4ADB660A81114C20D717015F,G8-DOC-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists"
CUMCM-2012-C-001,2012,C,IMAGE_SEQUENCE,JPEG,MANUAL_UNSUPPORTED_FORMAT,IMAGE_CONTRACT_REQUIRED,REJECTED_NO_LOCAL_OCR_BACKEND,0,E8494A347664490B96C25EE69D119AF92049E25EFF19890F2375CEE98FD47F0A,G8-IMAGE-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"image sequence is readable and deterministically mappable, but no local OCR/text backend is available"
CUMCM-2012-C-003,2012,C,LEGACY_DOC,OLE_COMPOUND_DOCUMENT,DOC_CONTRACT_REQUIRED,DOC_CONTRACT_REQUIRED,CONVERSION_CONTRACT_REQUIRED,0,D3FCC8E0989C76486CBB665FBAC51F584EE1D8442012EFB49D6A50E3B45F2212,G8-DOC-CONTRACT-PILOT,0,NOT_RUN_NO_APPROVED_EXTRACTION_CONTRACT,"real binary OLE .doc confirmed; local Word presence requires an unapproved conversion contract, and no safe read-only binary DOC backend exists"
