paper_id,year,problem,subject_type,artifact_eligible,quality,primary_file,extraction_input_path,artifact_status,deferred_reason
CUMCM-1992-A-001,1992,A,PAPER,1,Q0,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 施肥效果分析.pdf,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 施肥效果分析.pdf,PASS,
CUMCM-1992-A-002,1992,A,PAPER,1,Q0,1992年数学建模国赛优秀论文/1992年A题优秀论文② 施肥方案对作物蔬菜的影响.pdf,1992年数学建模国赛优秀论文/1992年A题优秀论文② 施肥方案对作物蔬菜的影响.pdf,PASS,
CUMCM-1992-A-003,1992,A,PAPER,1,Q0,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 关于非线性交调的频率设计的评注.pdf,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 关于非线性交调的频率设计的评注.pdf,PASS,
CUMCM-1992-A-004,1992,A,PAPER,1,Q3,1992年数学建模国赛优秀论文/1992年A题优秀论文① 关于施肥效果分析问题的评注.pdf,1992年数学建模国赛优秀论文/1992年A题优秀论文① 关于施肥效果分析问题的评注.pdf,DEFERRED,DEFERRED_REPAIR_REQUIRED
CUMCM-1992-B-001,1992,B,PAPER,1,Q0,1992年数学建模国赛优秀论文/1992年B题优秀论文③ 关于蛋白质氨基酸的组合问题的评注.pdf,1992年数学建模国赛优秀论文/1992年B题优秀论文③ 关于蛋白质氨基酸的组合问题的评注.pdf,PASS,
CUMCM-1992-B-002,1992,B,PAPER,1,Q0,1992年数学建模国赛优秀论文/1992年B题优秀论文② 蛋白质氨基酸的组合问题.pdf,1992年数学建模国赛优秀论文/1992年B题优秀论文② 蛋白质氨基酸的组合问题.pdf,PASS,
CUMCM-1993-B-001,1993,B,PAPER,1,Q0,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文② 足球排名次问题.pdf,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文② 足球排名次问题.pdf,PASS,
CUMCM-1993-B-002,1993,B,PAPER,1,Q3,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文③ 一个给足球队排名次的方法.pdf,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文③ 一个给足球队排名次的方法.pdf,DEFERRED,DEFERRED_REPAIR_REQUIRED
CUMCM-1993-B-003,1993,B,PAPER,1,Q3,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文① 关于球队排名次问题的几点评注.pdf,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文① 关于球队排名次问题的几点评注.pdf,DEFERRED,DEFERRED_REPAIR_REQUIRED
CUMCM-1995-A-001,1995,A,PAPER,1,Q3,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的实时算法.pdf,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的实时算法.pdf,DEFERRED,DEFERRED_REPAIR_REQUIRED
CUMCM-1995-A-002,1995,A,PAPER,1,Q3,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理模型的线性化处理方法.pdf,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理模型的线性化处理方法.pdf,DEFERRED,DEFERRED_REPAIR_REQUIRED
CUMCM-1995-A-003,1995,A,PAPER,1,Q3,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的线性规划模型.pdf,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的线性规划模型.pdf,DEFERRED,DEFERRED_REPAIR_REQUIRED
CUMCM-1995-A-004,1995,A,PAPER,1,Q3,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的逐步逼近搜索方法.pdf,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的逐步逼近搜索方法.pdf,DEFERRED,DEFERRED_REPAIR_REQUIRED
CUMCM-1995-A-005,1995,A,PAPER,1,Q3,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题约束条件的线性化.pdf,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题约束条件的线性化.pdf,DEFERRED,DEFERRED_REPAIR_REQUIRED
CUMCM-1995-A-006,1995,A,PAPER,1,Q3,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理模型的能量梯度求解法.pdf,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理模型的能量梯度求解法.pdf,DEFERRED,DEFERRED_REPAIR_REQUIRED
CUMCM-1995-A-007,1995,A,PAPER,1,Q3,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题答卷评述.pdf,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题答卷评述.pdf,DEFERRED,DEFERRED_REPAIR_REQUIRED
