paper_id,year,subject_type,artifact_eligible,quality,extraction_status,artifact_status,qa_status,deferred_reason,overall_status
CUMCM-1992-A-001,1992,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1992-A-002,1992,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1992-A-003,1992,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1992-A-004,1992,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1992-B-001,1992,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1992-B-002,1992,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1993-A-001,1993,PROBLEM_PACKAGE,0,UNKNOWN,NOT_APPLICABLE,NOT_GENERATED,PASS,,CLOSED_INELIGIBLE
CUMCM-1993-B-001,1993,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1993-B-002,1993,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1993-B-003,1993,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1995-A-001,1995,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1995-A-002,1995,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1995-A-003,1995,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1995-A-004,1995,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1995-A-005,1995,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1995-A-006,1995,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1995-A-007,1995,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1995-A-008,1995,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1995-B-001,1995,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1995-B-002,1995,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1995-B-003,1995,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1995-B-004,1995,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1995-B-005,1995,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1995-B-006,1995,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1995-B-007,1995,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1996-A-001,1996,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1996-A-002,1996,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1996-A-003,1996,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1996-A-004,1996,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1996-A-005,1996,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1996-A-006,1996,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1996-A-007,1996,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1996-A-008,1996,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1996-B-001,1996,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1996-B-002,1996,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1996-B-003,1996,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1996-B-004,1996,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1997-A-001,1997,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1997-A-002,1997,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1997-A-003,1997,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1997-A-004,1997,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1997-A-005,1997,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1997-A-006,1997,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1997-A-007,1997,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1997-A-008,1997,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1997-A-009,1997,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1997-B-001,1997,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1997-B-002,1997,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1997-B-003,1997,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1997-B-004,1997,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1997-B-005,1997,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1997-B-006,1997,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1997-B-007,1997,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1998-A-001,1998,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1998-A-002,1998,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1998-A-003,1998,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1998-A-004,1998,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1998-A-005,1998,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1998-A-006,1998,PAPER,1,Q3,PASS,PASS,PASS,,COMPLETE
CUMCM-1998-A-007,1998,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
CUMCM-1998-A-008,1998,PAPER,1,Q2,PASS,PASS,PASS,,COMPLETE
