paper_id,year,problem,file_path,source_sha256,pdf_type,page_count,confidence,has_encoding_issues,is_complex_layout,pages_needing_ocr,open_success,classification_error,detection_error,final_q,audit_status
CUMCM-1992-A-001,1992,A,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 施肥效果分析.pdf,F784800B2EE0929904DA04B05C302B0E68D299A70818956AB615EE8D98DD6F2B,text_based,1,1.0,0,0,[],1,,,Q0,PASS
CUMCM-1992-A-002,1992,A,1992年数学建模国赛优秀论文/1992年A题优秀论文② 施肥方案对作物蔬菜的影响.pdf,65FB38A666A49FAC5A672F2B21BC8BC21DF5325A0D42E4BF6C7FB2E7D6CC74B7,text_based,6,1.0,0,0,[],1,,,Q0,PASS
CUMCM-1992-A-003,1992,A,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 关于非线性交调的频率设计的评注.pdf,F24E48AE1113A02C6ADCF3339392D8B2C9A1449BE1A64FB2DE3D8543A8066E12,text_based,5,1.0,0,0,[],1,,,Q0,PASS
CUMCM-1992-A-004,1992,A,1992年数学建模国赛优秀论文/1992年A题优秀论文① 关于施肥效果分析问题的评注.pdf,0ED09084F2E15BB17CED39971CC8B3C20F72F789C1B0AD2F4A99DF9642D0B48D,image_based,3,0.800000011920929,0,0,"[2, 3, 4]",1,,,Q3,PASS
CUMCM-1992-B-001,1992,B,1992年数学建模国赛优秀论文/1992年B题优秀论文③ 关于蛋白质氨基酸的组合问题的评注.pdf,9EB60530CF596149C54862AABBBB732ABD9D095267273BEF5682EB79AEE2D99A,text_based,2,1.0,0,0,[],1,,,Q0,PASS
CUMCM-1992-B-002,1992,B,1992年数学建模国赛优秀论文/1992年B题优秀论文② 蛋白质氨基酸的组合问题.pdf,13312C02679947C9D2BD21B401E39EF740B095171B68E3302F7A7505B9BCBB99,text_based,9,1.0,0,0,[],1,,,Q0,PASS
CUMCM-1993-B-001,1993,B,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文② 足球排名次问题.pdf,9754E4494E59EC79D460387BED3D9B8D8E2B915DCF9E192E7E1DD363F0086EDA,text_based,2,1.0,0,0,[],1,,,Q0,PASS
CUMCM-1993-B-002,1993,B,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文③ 一个给足球队排名次的方法.pdf,40101857F2F092F6E6201646011ADE6153A7FA43E79188F8EF73E786A14963CF,image_based,9,0.800000011920929,0,0,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",1,,,Q3,PASS
CUMCM-1993-B-003,1993,B,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文① 关于球队排名次问题的几点评注.pdf,AFF2C1645AB44D6097DE16F85704F2D07346E4FF157AC584D41C867DF3124328,image_based,2,0.800000011920929,0,0,"[2, 3]",1,,,Q3,PASS
CUMCM-1995-A-001,1995,A,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的实时算法.pdf,E4141586944386F0CEEAA0592837FA28A32C89844D4113F1E536FF48A2430A42,image_based,9,0.800000011920929,0,0,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",1,,,Q3,PASS
CUMCM-1995-A-002,1995,A,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理模型的线性化处理方法.pdf,FC99E3CF0ADF0AAADA70632B01002D6D0B7792E8A50BB09C964E6B762DE27AC0,image_based,4,0.800000011920929,0,0,"[2, 3, 4, 5]",1,,,Q3,PASS
