paper_id,effective_pdf_path,effective_pdf_sha256,historical_page_count,candidate_page_count,page_count_match
CUMCM-2011-A-003,derived/scale/doc_batch/CUMCM-2011-A-003/source_converted.pdf,1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291,16,16,1
CUMCM-2011-C-002,derived/scale/doc_contract_pilot_interactive/CUMCM-2011-C-002/source_converted.pdf,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,42,42,1
CUMCM-2011-C-003,derived/scale/doc_batch/CUMCM-2011-C-003/source_converted.pdf,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,28,28,1
CUMCM-2011-D-001,derived/scale/doc_batch/CUMCM-2011-D-001/source_converted.pdf,BB9DE03E3E434AF41B4DC6AF850D179D29B35FB78FDAE5BBA93A302EE0A9C1E6,22,22,1
CUMCM-2011-D-007,derived/scale/doc_batch/CUMCM-2011-D-007/source_converted.pdf,3A5513BF9594D27236C3F5B5C250C146382D3656B464D995AD071766017470D0,20,20,1
CUMCM-2011-D-013,derived/scale/doc_batch/CUMCM-2011-D-013/source_converted.pdf,E0D00DE3E92B4ED095EDABBB3CF10E359C825D4C37932ACC77A353A379838CF1,31,31,1
CUMCM-2012-A-003,derived/scale/doc_batch/CUMCM-2012-A-003/source_converted.pdf,C40455E13E66A460C39DAE91E660AF11E2BE0F61C1F03DB321571CEEDC4ED207,35,35,1
CUMCM-2012-B-005,derived/scale/doc_batch/CUMCM-2012-B-005/source_converted.pdf,F9F59407B33E60976DD4B86A6A897C0F1B0A8F0DA166337EBE76992CC2241465,37,37,1
CUMCM-2012-B-007,derived/scale/doc_batch/CUMCM-2012-B-007/source_converted.pdf,547312CD5D3F57EB29292892142E79DE98B75C19C1D526ACB69B9EE834A3AA21,33,33,1
CUMCM-2012-C-003,derived/scale/doc_batch/CUMCM-2012-C-003/source_converted.pdf,1AF31EA4FE7E106AA9306E894B3471753F6077BF19A8A1F648A1E752E4CBC2E1,28,28,1
CUMCM-2012-C-004,derived/scale/doc_batch/CUMCM-2012-C-004/source_converted.pdf,C2B4E0DA5C7AE5F7FCA6FADE85B00EB1588DA12FA3BF8F8B4523D1C4423B9F1D,19,19,1
CUMCM-2012-D-001,tmp/g8_doc_2012_d001_manual_print_to_pdf/CUMCM-2012-D-001/manual_print_candidate.pdf,CBE28049A80C0B900CF82A0BE06492A906D56B39F27819D6F94C67C6FF349399,24,24,1
CUMCM-2012-D-D044,derived/scale/doc_batch/CUMCM-2012-D-D044/source_converted.pdf,918C86597756252BE5629D702EA46D4F386A406AD6B2341DC0C4B0F46B776BC4,30,30,1
CUMCM-2013-D-001,derived/scale/doc_contract_pilot_interactive/CUMCM-2013-D-001/source_converted.pdf,3C560062FFD7F9F4E855926AD051346D4FC2366C0052D80159836E1A007812A4,81,81,1
CUMCM-2013-D-004,derived/scale/doc_batch/CUMCM-2013-D-004/source_converted.pdf,ED6EF7DC8A23661F14C36F463E549079FC28CC6DDBF69205B8F346EDDF85E8C4,53,53,1
CUMCM-2014-D-002,derived/scale/doc_batch/CUMCM-2014-D-002/source_converted.pdf,EC483F99582A1ED0BDA10F423374BC49ADE8A16AEF1FC8A658334BAF252715E7,74,74,1
CUMCM-2014-D-003,derived/scale/doc_contract_pilot_interactive/CUMCM-2014-D-003/source_converted.pdf,00C0D4361A59E3D5F1E97FBE7DAF28B60FCDDA9C26EBF435182C9F6961EB360C,33,33,1
