paper_id,source_file,source_sha256,derivative_path,derivative_sha256,page_count,ocr_engine,ocr_engine_version,ocr_languages,status,failure_reason
CUMCM-2006-A-006,2006年数学建模国赛真题+优秀论文/2006年优秀论文/2006A：出版社的资源优化配置.pdf,008CC60DF63D109D4991406BB85DC92D31003FB52AFA11A105AA42EA86C929E4,derived/scale/pdf_ocr/CUMCM-2006-A-006.readable.pdf,913F2B508A55CBB008205B559AD84470FD501AEF8955F26C37381C290898E048,22,tesseract.js,7.0.0,chi_sim+eng,PASS,
CUMCM-2008-C-002,2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008C：《地面搜索最短耗时的计算》.pdf,A278B28A8734A15F99B0FCE66D63B6AF432B6716A58F6F0D3067D066ABA7375B,derived/scale/pdf_ocr/CUMCM-2008-C-002.readable.pdf,0822484D8863D4B1D0EF78C8FDD3DE87E9AAF3F517862DC590CA16CA9998B115,8,tesseract.js,7.0.0,chi_sim+eng,PASS,
CUMCM-2011-A-006,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011A：城市表层土壤重金属污染分析（4）.pdf,2582B807804D7C7439C506F7EE2AF21F85C13832FB317512FC6ED80AA13AF3FC,derived/scale/pdf_ocr/CUMCM-2011-A-006.readable.pdf,F3E5441C822CE7F2434E46551BE3D313101E3D13C88178DD17B5818BB1B3676B,25,tesseract.js,7.0.0,chi_sim+eng,PASS,
CUMCM-2012-A-001,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012A：葡萄酒的评价 (3).pdf,B3E23D0568C6B8A3529598A4F2B9E3ED5B9EB90E71E32232B337F707996F5519,derived/scale/pdf_ocr/CUMCM-2012-A-001.readable.pdf,960781A50F84C3ECC58DC72E22C6640C547E9CB725B68226D9CAC3C27D20AE48,27,tesseract.js,7.0.0,chi_sim+eng,PASS,
CUMCM-2012-A-A285,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012A：葡萄酒的评价/A285.pdf,CA15AFED80D166CDB2F7232C220A2F1B0C6269199F13D48CF852973F19AA78AC,derived/scale/pdf_ocr/CUMCM-2012-A-A285.readable.pdf,32FEB1EF499FC72D45FF36E988DFEC919A8E00F916078DC29114AAEED61B780A,41,tesseract.js,7.0.0,chi_sim+eng,PASS,
CUMCM-2012-B-B077,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (1)/B077.pdf,CEC3C5E0DA82C5228E8A4E967BCAF7D437596EA07E33FCCAB2239036F519F5AC,derived/scale/pdf_ocr/CUMCM-2012-B-B077.readable.pdf,3F29815A9328C737E49D8BFFB7508A3EC8EF6B3B83E25FF26F354A768F82D304,34,tesseract.js,7.0.0,chi_sim+eng,PASS,
CUMCM-2013-C-010,2013年数学建模国赛真题+优秀论文/2013C：古塔的变形/成都工业学院 专5 C 肖瑜琳 刘新燕 黄龙.pdf,6AB6592042F87A3F1863F72A0B2E3FE2745A72C9F229D559B2F2EE89CDF545C3,derived/scale/pdf_ocr/CUMCM-2013-C-010.readable.pdf,71173757ED60E5D5E6BD0CE3B19E9D0BE330879748CDFDB720F39896AD27B67F,39,tesseract.js,7.0.0,chi_sim+eng,PASS,
CUMCM-2014-B-B1801,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (4)/B18013004_邓敏娜_宁凯_董婷婷.pdf,60C5C17610AB269DADFB43510F940289499DD1217D33CAB156F16A24A108D6FF,derived/scale/pdf_ocr/CUMCM-2014-B-B1801.readable.pdf,1D2385B8BB0DEAEF155B444C378925F23756EA48100EE754CA125BBCB1D673EE,26,tesseract.js,7.0.0,chi_sim+eng,PASS,
CUMCM-2017-A-004,2017年数学建模国赛真题+优秀论文/2017年优秀论文/2017A：CT系统参数标定及成像  (1).pdf,6A72506FA1F46C21B5F9A35B5B40D85C2B3B8742B16C7724624DF65049538CBF,derived/scale/pdf_ocr/CUMCM-2017-A-004.readable.pdf,9AC6499E48FEE0FCF7A751AF599BC1D9B90447BF7FB3DE2489CFE537D7B8B6A1,47,tesseract.js,7.0.0,chi_sim+eng,PASS,
CUMCM-2017-B-001,2017年数学建模国赛真题+优秀论文/2017年优秀论文/2017B：“拍照赚钱”的任务定价 (3).pdf,868338C91C96EF687737C15C64C042945F2ED7BCB7D534F7FCF9F84E85426550,derived/scale/pdf_ocr/CUMCM-2017-B-001.readable.pdf,EF200E56DCDF91EC5F9611C85B411BCC29B17AC3866751EEF1FD471637A99C8E,51,tesseract.js,7.0.0,chi_sim+eng,PASS,
CUMCM-2018-B-001,2018年数学建模国赛真题+优秀论文/2018年优秀论文/2018B：RGV 的动态调度优化问题.pdf,DD2FAA6CFD84373FF40963D1AD1C7DECED7A97878AAFA146FF287F6246E00D17,derived/scale/pdf_ocr/CUMCM-2018-B-001.readable.pdf,98D7730361A2249A0E5F869AF1C0D01BABC80132A39ABDFA1E59B9BC3AEF8A82,29,tesseract.js,7.0.0,chi_sim+eng,PASS,
CUMCM-2018-D-004,2018年数学建模国赛真题+优秀论文/2018年优秀论文/2018D：汽车总装线配置的优化模型研究.pdf,6B9B3A408D9D55D049255A13BA2C14A078325897D7264DE3A719958346673D7C,derived/scale/pdf_ocr/CUMCM-2018-D-004.readable.pdf,21759860AAF0A20A97A479D610011026365EDC4F04C260FEA4F3D4F22D34E95B,40,tesseract.js,7.0.0,chi_sim+eng,PASS,
