batch_attempt_id,paper_id,source_sha256,page_number,primary_page_class,repair_overlay,authoritative_text_extractor,pdf_text_chars,pdf_inspector_quality_status,poppler_quality_status,ocr_required,ocr_target_pages,render_width,render_height,render_pixel_count,render_sha256,authoritative_page_source,authoritative_page_text_chars,authoritative_page_text_sha256,page_text_quality_status
20260902T181812821882_f3ed3664,CUMCM-1992-A-004,0ED09084F2E15BB17CED39971CC8B3C20F72F789C1B0AD2F4A99DF9642D0B48D,1,IMAGE_ONLY_CONTENT_PAGE,TEXT_LAYER_VISUAL_MISMATCH,OCR,,,,1,[1],,,,E5AA116A357DEA53444053339C4324CE543D1130438175202D287F77A4F14D9C,OCR,1538,D22D365C965D4489803A5DFD36240A573932CFF46C8E2947226C83424C5B7B78,USABLE
20260902T181812821882_f3ed3664,CUMCM-1992-A-004,0ED09084F2E15BB17CED39971CC8B3C20F72F789C1B0AD2F4A99DF9642D0B48D,2,IMAGE_ONLY_CONTENT_PAGE,TEXT_LAYER_VISUAL_MISMATCH,OCR,,,,1,[2],,,,492B5AECED503CE82EDC7F1EAE73039F12D8C699FBF219F14767C9012F1C732A,OCR,1859,72CEDA30F049516BE439CDFB886BEAF9C1609E31B5FAE5525897C51ADA433607,USABLE
20260902T181812821882_f3ed3664,CUMCM-1992-A-004,0ED09084F2E15BB17CED39971CC8B3C20F72F789C1B0AD2F4A99DF9642D0B48D,3,IMAGE_ONLY_CONTENT_PAGE,TEXT_LAYER_VISUAL_MISMATCH,OCR,,,,1,[3],,,,5D20B492A999AA346C140052B42C6CF8515ED6FF58BDEC1A5AD3FE5FB2EE7435,OCR,1396,30A375955FCFFAA69E623F09E7556D7F329BFFDAA8E24E469AA9996A7CBDCA34,USABLE
20260902T181812821882_f3ed3664,CUMCM-1993-B-002,40101857F2F092F6E6201646011ADE6153A7FA43E79188F8EF73E786A14963CF,1,IMAGE_ONLY_CONTENT_PAGE,TEXT_LAYER_VISUAL_MISMATCH,OCR,,,,1,[1],,,,4C8CD63948E3D763FAD7F9C3568425AA36A50A772982C0A66BCE3F792CB7E866,OCR,1627,70B839528A5A7CC5BBD5C9EBD72EC090D65432232FDC9AC70CD1193B8DF6BE9F,USABLE
20260902T181812821882_f3ed3664,CUMCM-1993-B-002,40101857F2F092F6E6201646011ADE6153A7FA43E79188F8EF73E786A14963CF,2,IMAGE_ONLY_CONTENT_PAGE,TEXT_LAYER_VISUAL_MISMATCH,OCR,,,,1,[2],,,,AA02BAAAABB37FFF18909C822773C1092F185EB254F318EF0DE85C83B883948C,OCR,1824,E203653CAF288C3E0EDC1DB84CEB491C4643FA480CE49237A3AF2613053E310A,USABLE
20260902T181812821882_f3ed3664,CUMCM-1993-B-002,40101857F2F092F6E6201646011ADE6153A7FA43E79188F8EF73E786A14963CF,3,IMAGE_ONLY_CONTENT_PAGE,TEXT_LAYER_VISUAL_MISMATCH,OCR,,,,1,[3],,,,13DACFDC3CE519F4D435A50375F9E01C5F03BA6EFF0539567ABA8C256DC27CBC,OCR,1310,B8050E76A1CEB5F3B6445241A10ACBBAF52EDA308BFE776009582937663928AF,USABLE
20260902T181812821882_f3ed3664,CUMCM-1993-B-002,40101857F2F092F6E6201646011ADE6153A7FA43E79188F8EF73E786A14963CF,4,IMAGE_ONLY_CONTENT_PAGE,TEXT_LAYER_VISUAL_MISMATCH,OCR,,,,1,[4],,,,CF078D0E3E140231A2A920A9062FA84D69C8C217C2F2A7CD75BE79B248D29BB9,OCR,1052,0A1E5D0338822FAB64B288CBBAC7B4A9B551D28F731F388921382DCF45A3CB06,USABLE
20260902T181812821882_f3ed3664,CUMCM-1993-B-002,40101857F2F092F6E6201646011ADE6153A7FA43E79188F8EF73E786A14963CF,5,IMAGE_ONLY_CONTENT_PAGE,TEXT_LAYER_VISUAL_MISMATCH,OCR,,,,1,[5],,,,1A3DF21BFB3899F4418587BDA3D853C37C7E1F06ECF34A93FAEB9AC5C8B6D6C5,OCR,1118,ACC9B620EC486219D09DAEF053AEF99AF03ABF2269DB41A14A7305ADBD718E58,USABLE
20260902T181812821882_f3ed3664,CUMCM-1993-B-002,40101857F2F092F6E6201646011ADE6153A7FA43E79188F8EF73E786A14963CF,6,IMAGE_ONLY_CONTENT_PAGE,TEXT_LAYER_VISUAL_MISMATCH,OCR,,,,1,[6],,,,3A109F1B17451F5F2CD53B10E995B45354C4FAD538D5262D892413FA9AF40E5C,OCR,996,CF6E288061E1D4F5F0E536D9BF0DF88B6F4E5D0E083E1743AA3B93DE8DB8C72A,USABLE
20260902T181812821882_f3ed3664,CUMCM-1993-B-002,40101857F2F092F6E6201646011ADE6153A7FA43E79188F8EF73E786A14963CF,7,IMAGE_ONLY_CONTENT_PAGE,TEXT_LAYER_VISUAL_MISMATCH,OCR,,,,1,[7],,,,D9AC8FBEDB91623A038D35042C9C03CFD0996FEC49AAF1D9550D058944AA310E,OCR,1123,2063589A1F097E888AE2CD6B07B995A0C64A2D524F7B539E58BF5974F81DEECD,USABLE
20260902T181812821882_f3ed3664,CUMCM-1993-B-002,40101857F2F092F6E6201646011ADE6153A7FA43E79188F8EF73E786A14963CF,8,IMAGE_ONLY_CONTENT_PAGE,TEXT_LAYER_VISUAL_MISMATCH,OCR,,,,1,[8],,,,9FC179E54F0D16AFCDF9BBCC43777876415F2C8F99CD10DA5E961002FD1D0FE8,OCR,1579,CCEE239CFA2ED283918544F04D7C4CB42E4936150768008FDC6662673B7FA041,USABLE
20260902T181812821882_f3ed3664,CUMCM-1993-B-002,40101857F2F092F6E6201646011ADE6153A7FA43E79188F8EF73E786A14963CF,9,IMAGE_ONLY_CONTENT_PAGE,TEXT_LAYER_VISUAL_MISMATCH,OCR,,,,1,[9],,,,CECCED38A367A2A1C4DCA5DF22054E790636380E7732A5C9271F656A1E3FF214,OCR,1133,25D4257A00DEF9C76952862A545B00D6D4FCAE9395A80E86A7D947D7F432BA62,USABLE
20260902T181812821882_f3ed3664,CUMCM-1993-B-003,AFF2C1645AB44D6097DE16F85704F2D07346E4FF157AC584D41C867DF3124328,1,IMAGE_ONLY_CONTENT_PAGE,TEXT_LAYER_VISUAL_MISMATCH,OCR,,,,1,[1],,,,BBE9983427471B42B6EE430DA8AD638AD550C2771FD17AA9FE66359C42226010,OCR,1411,4C75B7B1D105C1C0153F7BC5BB6F6D86CB2F26E88BE777ECBBAF26B3C1FCC281,USABLE
