batch_attempt_id,paper_id,sequence_number,status,error_code,primary_error_code,cleanup_error_code,source_gate_status,page_count,ocr_required,ocr_completed,body_quality_status,content_sanity_status,provenance_status,persistence_status,reused,started_at,finished_at
20260902T181812821882_f3ed3664,CUMCM-1992-A-004,1,PASS,,,,PASS,3,3,3,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:13.298197+00:00,2026-09-02T18:18:13.400333+00:00
20260902T181812821882_f3ed3664,CUMCM-1993-B-002,2,PASS,,,,PASS,9,9,9,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:13.414523+00:00,2026-09-02T18:18:13.474297+00:00
20260902T181812821882_f3ed3664,CUMCM-1993-B-003,3,PASS,,,,PASS,2,2,2,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:13.488629+00:00,2026-09-02T18:18:13.519661+00:00
20260902T181812821882_f3ed3664,CUMCM-1995-A-001,4,PASS,,,,PASS,9,9,9,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:13.534905+00:00,2026-09-02T18:18:13.603740+00:00
20260902T181812821882_f3ed3664,CUMCM-1995-A-002,5,PASS,,,,PASS,4,4,4,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:13.619836+00:00,2026-09-02T18:18:13.652792+00:00
20260902T181812821882_f3ed3664,CUMCM-1995-A-003,6,PASS,,,,PASS,6,6,6,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:13.668813+00:00,2026-09-02T18:18:13.710892+00:00
20260902T181812821882_f3ed3664,CUMCM-1995-A-004,7,PASS,,,,PASS,2,2,2,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:13.727445+00:00,2026-09-02T18:18:13.760967+00:00
20260902T181812821882_f3ed3664,CUMCM-1995-A-005,8,PASS,,,,PASS,3,3,3,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:13.775709+00:00,2026-09-02T18:18:13.809703+00:00
20260902T181812821882_f3ed3664,CUMCM-1995-A-006,9,PASS,,,,PASS,5,5,5,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:13.825629+00:00,2026-09-02T18:18:13.875541+00:00
20260902T181812821882_f3ed3664,CUMCM-1995-A-007,10,PASS,,,,PASS,2,2,2,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:13.889821+00:00,2026-09-02T18:18:13.916738+00:00
20260902T181812821882_f3ed3664,CUMCM-1995-A-008,11,PASS,,,,PASS,2,2,2,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:13.932471+00:00,2026-09-02T18:18:13.957587+00:00
20260902T181812821882_f3ed3664,CUMCM-1995-B-001,12,PASS,,,,PASS,2,2,2,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:13.971695+00:00,2026-09-02T18:18:14.004211+00:00
20260902T181812821882_f3ed3664,CUMCM-1995-B-002,13,PASS,,,,PASS,3,3,3,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:14.020310+00:00,2026-09-02T18:18:14.050809+00:00
20260902T181812821882_f3ed3664,CUMCM-1995-B-003,14,PASS,,,,PASS,3,3,3,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:14.064981+00:00,2026-09-02T18:18:14.087269+00:00
20260902T181812821882_f3ed3664,CUMCM-1995-B-004,15,PASS,,,,PASS,3,3,3,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:14.101290+00:00,2026-09-02T18:18:14.124013+00:00
20260902T181812821882_f3ed3664,CUMCM-1995-B-005,16,PASS,,,,PASS,4,4,4,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:14.138682+00:00,2026-09-02T18:18:14.171143+00:00
20260902T181812821882_f3ed3664,CUMCM-1995-B-006,17,PASS,,,,PASS,5,5,5,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:14.186479+00:00,2026-09-02T18:18:14.235153+00:00
20260902T181812821882_f3ed3664,CUMCM-1995-B-007,18,PASS,,,,PASS,10,10,10,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:14.252568+00:00,2026-09-02T18:18:14.332085+00:00
20260902T181812821882_f3ed3664,CUMCM-1996-A-001,19,PASS,,,,PASS,8,8,8,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:14.351173+00:00,2026-09-02T18:18:14.426524+00:00
20260902T181812821882_f3ed3664,CUMCM-1996-A-002,20,PASS,,,,PASS,7,7,7,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:14.443563+00:00,2026-09-02T18:18:14.506986+00:00
20260902T181812821882_f3ed3664,CUMCM-1996-A-003,21,PASS,,,,PASS,4,4,4,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:14.522876+00:00,2026-09-02T18:18:14.554708+00:00
20260902T181812821882_f3ed3664,CUMCM-1996-A-004,22,PASS,,,,PASS,4,4,4,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:14.570102+00:00,2026-09-02T18:18:14.605201+00:00
