paper_id,source_path,source_sha256,page_count,failure_class,evidence,candidate_repair_strategy,repair_contract_status,manual_review_required
CUMCM-1992-A-004,1992年数学建模国赛优秀论文/1992年A题优秀论文① 关于施肥效果分析问题的评注.pdf,0ED09084F2E15BB17CED39971CC8B3C20F72F789C1B0AD2F4A99DF9642D0B48D,3,PARTIAL_SCAN,pdf-inspector classified the source as image_based; no frozen text/repair contract exists,none; manual contract review required,MANUAL_REQUIRED,1
CUMCM-1993-B-002,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文③ 一个给足球队排名次的方法.pdf,40101857F2F092F6E6201646011ADE6153A7FA43E79188F8EF73E786A14963CF,9,PARTIAL_SCAN,pdf-inspector classified the source as image_based; no frozen text/repair contract exists,none; manual contract review required,MANUAL_REQUIRED,1
CUMCM-1993-B-003,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文① 关于球队排名次问题的几点评注.pdf,AFF2C1645AB44D6097DE16F85704F2D07346E4FF157AC584D41C867DF3124328,2,PARTIAL_SCAN,pdf-inspector classified the source as image_based; no frozen text/repair contract exists,none; manual contract review required,MANUAL_REQUIRED,1
CUMCM-1995-A-001,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的实时算法.pdf,E4141586944386F0CEEAA0592837FA28A32C89844D4113F1E536FF48A2430A42,9,PARTIAL_SCAN,pdf-inspector classified the source as image_based; no frozen text/repair contract exists,none; manual contract review required,MANUAL_REQUIRED,1
CUMCM-1995-A-002,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理模型的线性化处理方法.pdf,FC99E3CF0ADF0AAADA70632B01002D6D0B7792E8A50BB09C964E6B762DE27AC0,4,PARTIAL_SCAN,pdf-inspector classified the source as image_based; no frozen text/repair contract exists,none; manual contract review required,MANUAL_REQUIRED,1
CUMCM-1995-A-003,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的线性规划模型.pdf,1B82997F823C10AC5016322F5CC64620372F2E6A819CD796BDDC24CD2E59FE27,6,PARTIAL_SCAN,pdf-inspector classified the source as image_based; no frozen text/repair contract exists,none; manual contract review required,MANUAL_REQUIRED,1
CUMCM-1995-A-004,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的逐步逼近搜索方法.pdf,F90548C6E551AD3E7FB109104E3BC273179F074F853694472E6CB62920A8C65D,2,PARTIAL_SCAN,pdf-inspector classified the source as image_based; no frozen text/repair contract exists,none; manual contract review required,MANUAL_REQUIRED,1
CUMCM-1995-A-005,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题约束条件的线性化.pdf,249D8D8BA11D56A83FAC428575A64143298D10BF2C7F071326F4E9EDAD89E873,3,PARTIAL_SCAN,pdf-inspector classified the source as image_based; no frozen text/repair contract exists,none; manual contract review required,MANUAL_REQUIRED,1
CUMCM-1995-A-006,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理模型的能量梯度求解法.pdf,17F52641182DCB02A799F969FE7374B339BEC2933894F05438DDB76A9380160D,5,PARTIAL_SCAN,pdf-inspector classified the source as image_based; no frozen text/repair contract exists,none; manual contract review required,MANUAL_REQUIRED,1
CUMCM-1995-A-007,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题答卷评述.pdf,54A11CF48AE68C35804EF9F44320C3EA2CCBD828CFE8B8946DFDE07C2D87A75E,2,PARTIAL_SCAN,pdf-inspector classified the source as image_based; no frozen text/repair contract exists,none; manual contract review required,MANUAL_REQUIRED,1
CUMCM-1995-A-008,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：空中防撞系统的设计.pdf,08E67D226D2780023FD8E24D091F081C68FA0DE68868691EAB08BA0D88BBC89F,2,PARTIAL_SCAN,pdf-inspector classified the source as image_based; no frozen text/repair contract exists,none; manual contract review required,MANUAL_REQUIRED,1
