paper_id,sequence_number,status,error_code,stage_path,canonical_path,staged_primary_artifact_count,stage_structure_status,stage_hash_status,identity_binding_status,provenance_status,source_body_binding_status,duplicate_id_status,duplicate_path_status,promoted,post_promotion_status,registry_registered,started_at,finished_at
CUMCM-1992-A-004,1,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1992-A-004,derived/scale/papers/CUMCM-1992-A-004,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:33.390+00:00,2026-09-03T07:15:37.084+00:00
CUMCM-1993-B-002,2,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1993-B-002,derived/scale/papers/CUMCM-1993-B-002,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:33.431+00:00,2026-09-03T07:15:37.094+00:00
CUMCM-1993-B-003,3,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1993-B-003,derived/scale/papers/CUMCM-1993-B-003,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:33.476+00:00,2026-09-03T07:15:37.105+00:00
CUMCM-1995-A-001,4,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1995-A-001,derived/scale/papers/CUMCM-1995-A-001,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:33.515+00:00,2026-09-03T07:15:37.116+00:00
CUMCM-1995-A-002,5,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1995-A-002,derived/scale/papers/CUMCM-1995-A-002,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:33.558+00:00,2026-09-03T07:15:37.126+00:00
CUMCM-1995-A-003,6,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1995-A-003,derived/scale/papers/CUMCM-1995-A-003,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:33.605+00:00,2026-09-03T07:15:37.137+00:00
CUMCM-1995-A-004,7,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1995-A-004,derived/scale/papers/CUMCM-1995-A-004,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:33.656+00:00,2026-09-03T07:15:37.148+00:00
CUMCM-1995-A-005,8,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1995-A-005,derived/scale/papers/CUMCM-1995-A-005,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:33.693+00:00,2026-09-03T07:15:37.159+00:00
CUMCM-1995-A-006,9,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1995-A-006,derived/scale/papers/CUMCM-1995-A-006,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:33.736+00:00,2026-09-03T07:15:37.170+00:00
CUMCM-1995-A-007,10,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1995-A-007,derived/scale/papers/CUMCM-1995-A-007,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:33.773+00:00,2026-09-03T07:15:37.181+00:00
CUMCM-1995-A-008,11,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1995-A-008,derived/scale/papers/CUMCM-1995-A-008,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:33.817+00:00,2026-09-03T07:15:37.192+00:00
CUMCM-1995-B-001,12,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1995-B-001,derived/scale/papers/CUMCM-1995-B-001,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:33.847+00:00,2026-09-03T07:15:37.203+00:00
CUMCM-1995-B-002,13,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1995-B-002,derived/scale/papers/CUMCM-1995-B-002,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:33.876+00:00,2026-09-03T07:15:37.214+00:00
CUMCM-1995-B-003,14,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1995-B-003,derived/scale/papers/CUMCM-1995-B-003,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:33.904+00:00,2026-09-03T07:15:37.224+00:00
CUMCM-1995-B-004,15,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1995-B-004,derived/scale/papers/CUMCM-1995-B-004,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:33.930+00:00,2026-09-03T07:15:37.234+00:00
CUMCM-1995-B-005,16,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1995-B-005,derived/scale/papers/CUMCM-1995-B-005,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:33.959+00:00,2026-09-03T07:15:37.245+00:00
CUMCM-1995-B-006,17,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1995-B-006,derived/scale/papers/CUMCM-1995-B-006,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:33.986+00:00,2026-09-03T07:15:37.256+00:00
CUMCM-1995-B-007,18,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1995-B-007,derived/scale/papers/CUMCM-1995-B-007,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.011+00:00,2026-09-03T07:15:37.266+00:00
CUMCM-1996-A-001,19,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1996-A-001,derived/scale/papers/CUMCM-1996-A-001,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.039+00:00,2026-09-03T07:15:37.277+00:00
CUMCM-1996-A-002,20,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1996-A-002,derived/scale/papers/CUMCM-1996-A-002,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.070+00:00,2026-09-03T07:15:37.288+00:00
CUMCM-1996-A-003,21,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1996-A-003,derived/scale/papers/CUMCM-1996-A-003,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.104+00:00,2026-09-03T07:15:37.299+00:00
CUMCM-1996-A-004,22,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1996-A-004,derived/scale/papers/CUMCM-1996-A-004,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.136+00:00,2026-09-03T07:15:37.309+00:00
CUMCM-1996-A-005,23,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1996-A-005,derived/scale/papers/CUMCM-1996-A-005,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.172+00:00,2026-09-03T07:15:37.321+00:00
CUMCM-1996-A-006,24,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1996-A-006,derived/scale/papers/CUMCM-1996-A-006,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.207+00:00,2026-09-03T07:15:37.333+00:00
