paper_id,staged,stage_validated,promoted,post_promotion_validated,registry_registered,status,error_code,canonical_path,updated_at
CUMCM-1992-A-004,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1992-A-004,2026-09-03T07:15:38.677+00:00
CUMCM-1993-B-002,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1993-B-002,2026-09-03T07:15:38.677+00:00
CUMCM-1993-B-003,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1993-B-003,2026-09-03T07:15:38.677+00:00
CUMCM-1995-A-001,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1995-A-001,2026-09-03T07:15:38.677+00:00
CUMCM-1995-A-002,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1995-A-002,2026-09-03T07:15:38.677+00:00
CUMCM-1995-A-003,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1995-A-003,2026-09-03T07:15:38.677+00:00
CUMCM-1995-A-004,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1995-A-004,2026-09-03T07:15:38.677+00:00
CUMCM-1995-A-005,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1995-A-005,2026-09-03T07:15:38.677+00:00
CUMCM-1995-A-006,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1995-A-006,2026-09-03T07:15:38.677+00:00
CUMCM-1995-A-007,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1995-A-007,2026-09-03T07:15:38.677+00:00
CUMCM-1995-A-008,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1995-A-008,2026-09-03T07:15:38.677+00:00
CUMCM-1995-B-001,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1995-B-001,2026-09-03T07:15:38.677+00:00
CUMCM-1995-B-002,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1995-B-002,2026-09-03T07:15:38.677+00:00
CUMCM-1995-B-003,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1995-B-003,2026-09-03T07:15:38.677+00:00
CUMCM-1995-B-004,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1995-B-004,2026-09-03T07:15:38.677+00:00
CUMCM-1995-B-005,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1995-B-005,2026-09-03T07:15:38.677+00:00
CUMCM-1995-B-006,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1995-B-006,2026-09-03T07:15:38.677+00:00
CUMCM-1995-B-007,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1995-B-007,2026-09-03T07:15:38.677+00:00
CUMCM-1996-A-001,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1996-A-001,2026-09-03T07:15:38.677+00:00
CUMCM-1996-A-002,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1996-A-002,2026-09-03T07:15:38.677+00:00
CUMCM-1996-A-003,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1996-A-003,2026-09-03T07:15:38.677+00:00
CUMCM-1996-A-004,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1996-A-004,2026-09-03T07:15:38.677+00:00
CUMCM-1996-A-005,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1996-A-005,2026-09-03T07:15:38.677+00:00
CUMCM-1996-A-006,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1996-A-006,2026-09-03T07:15:38.677+00:00
CUMCM-1996-A-007,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1996-A-007,2026-09-03T07:15:38.677+00:00
CUMCM-1996-A-008,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1996-A-008,2026-09-03T07:15:38.677+00:00
CUMCM-1996-B-002,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1996-B-002,2026-09-03T07:15:38.677+00:00
CUMCM-1996-B-004,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1996-B-004,2026-09-03T07:15:38.677+00:00
CUMCM-1997-A-001,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1997-A-001,2026-09-03T07:15:38.677+00:00
CUMCM-1997-A-002,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1997-A-002,2026-09-03T07:15:38.677+00:00
CUMCM-1997-A-003,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1997-A-003,2026-09-03T07:15:38.677+00:00
CUMCM-1997-A-004,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1997-A-004,2026-09-03T07:15:38.677+00:00
CUMCM-1997-A-005,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1997-A-005,2026-09-03T07:15:38.677+00:00
CUMCM-1997-A-006,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1997-A-006,2026-09-03T07:15:38.677+00:00
CUMCM-1997-A-007,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1997-A-007,2026-09-03T07:15:38.677+00:00
CUMCM-1997-B-001,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1997-B-001,2026-09-03T07:15:38.677+00:00
CUMCM-1997-B-002,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1997-B-002,2026-09-03T07:15:38.677+00:00
CUMCM-1997-B-003,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1997-B-003,2026-09-03T07:15:38.677+00:00
CUMCM-1997-B-005,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1997-B-005,2026-09-03T07:15:38.677+00:00
CUMCM-1997-B-006,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1997-B-006,2026-09-03T07:15:38.677+00:00
CUMCM-1998-A-002,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1998-A-002,2026-09-03T07:15:38.677+00:00
CUMCM-1998-A-003,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1998-A-003,2026-09-03T07:15:38.677+00:00
CUMCM-1998-A-004,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1998-A-004,2026-09-03T07:15:38.677+00:00
CUMCM-1998-A-006,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1998-A-006,2026-09-03T07:15:38.677+00:00
CUMCM-1998-B-007,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-1998-B-007,2026-09-03T07:15:38.677+00:00
CUMCM-2002-A-001,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2002-A-001,2026-09-03T07:15:38.677+00:00
CUMCM-2002-A-006,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2002-A-006,2026-09-03T07:15:38.677+00:00
CUMCM-2002-A-007,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2002-A-007,2026-09-03T07:15:38.677+00:00
CUMCM-2002-A-010,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2002-A-010,2026-09-03T07:15:38.677+00:00
CUMCM-2002-A-013,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2002-A-013,2026-09-03T07:15:38.677+00:00
CUMCM-2002-A-014,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2002-A-014,2026-09-03T07:15:38.677+00:00
CUMCM-2002-A-015,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2002-A-015,2026-09-03T07:15:38.677+00:00
CUMCM-2003-A-001,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2003-A-001,2026-09-03T07:15:38.677+00:00
CUMCM-2003-A-004,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2003-A-004,2026-09-03T07:15:38.677+00:00
CUMCM-2003-A-009,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2003-A-009,2026-09-03T07:15:38.677+00:00
CUMCM-2003-A-010,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2003-A-010,2026-09-03T07:15:38.677+00:00
CUMCM-2003-B-002,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2003-B-002,2026-09-03T07:15:38.677+00:00
CUMCM-2003-B-004,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2003-B-004,2026-09-03T07:15:38.677+00:00
CUMCM-2003-B-006,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2003-B-006,2026-09-03T07:15:38.677+00:00
CUMCM-2003-B-010,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2003-B-010,2026-09-03T07:15:38.677+00:00
CUMCM-2003-B-011,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2003-B-011,2026-09-03T07:15:38.677+00:00
CUMCM-2004-A-001,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2004-A-001,2026-09-03T07:15:38.677+00:00
CUMCM-2004-A-002,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2004-A-002,2026-09-03T07:15:38.677+00:00
CUMCM-2004-A-003,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2004-A-003,2026-09-03T07:15:38.677+00:00
