attempt_id,sequence_number,tool_kind,phase,paper_id,page_number,started_at,finished_at,duration_ms,timeout_seconds,exit_code,timed_out,status,stdout_bytes,stderr_bytes,stderr_tail,child_pid,cleanup_attempted,cleanup_success,descendant_cleanup_count
20260902T114750298293_00ededce,1,PDFINFO,PHASE_0_RUNTIME_PREFLIGHT,,,2026-09-02T11:47:50.312341+00:00,2026-09-02T11:47:50.388287+00:00,76,180,0,0,SUCCESS,0,137,"pdfinfo version 25.02.0
Copyright 2005-2025 The Poppler Developers - http://poppler.freedesktop.org
Copyright 1996-2011 Glyph & Cog, LLC
",31020,0,0,0
20260902T114750298293_00ededce,2,PDFTOTEXT,PHASE_0_RUNTIME_PREFLIGHT,,,2026-09-02T11:47:50.393127+00:00,2026-09-02T11:47:50.467301+00:00,74,180,0,0,SUCCESS,0,139,"pdftotext version 25.02.0
Copyright 2005-2025 The Poppler Developers - http://poppler.freedesktop.org
Copyright 1996-2011 Glyph & Cog, LLC
",10932,0,0,0
20260902T114750298293_00ededce,3,PDFTOPPM,PHASE_0_RUNTIME_PREFLIGHT,,,2026-09-02T11:47:50.490554+00:00,2026-09-02T11:47:50.562100+00:00,72,180,0,0,SUCCESS,0,138,"pdftoppm version 25.02.0
Copyright 2005-2025 The Poppler Developers - http://poppler.freedesktop.org
Copyright 1996-2011 Glyph & Cog, LLC
",29828,0,0,0
20260902T114750298293_00ededce,4,CHILD,PHASE_0_RUNTIME_PREFLIGHT,,,2026-09-02T11:47:50.582743+00:00,2026-09-02T11:47:50.680085+00:00,97,180,0,0,SUCCESS,0,140,"pdftocairo version 25.02.0
Copyright 2005-2025 The Poppler Developers - http://poppler.freedesktop.org
Copyright 1996-2011 Glyph & Cog, LLC
",50868,0,0,0
20260902T114750298293_00ededce,5,PDFINFO,PHASE_1_Q3_IDENTITY_INVENTORY,,,2026-09-02T11:47:50.754648+00:00,2026-09-02T11:47:50.808024+00:00,53,180,0,0,SUCCESS,0,137,"pdfinfo version 25.02.0
Copyright 2005-2025 The Poppler Developers - http://poppler.freedesktop.org
Copyright 1996-2011 Glyph & Cog, LLC
",36496,0,0,0
20260902T114750298293_00ededce,6,PDFTOTEXT,PHASE_1_Q3_IDENTITY_INVENTORY,,,2026-09-02T11:47:50.825471+00:00,2026-09-02T11:47:50.885222+00:00,60,180,0,0,SUCCESS,0,139,"pdftotext version 25.02.0
Copyright 2005-2025 The Poppler Developers - http://poppler.freedesktop.org
Copyright 1996-2011 Glyph & Cog, LLC
",556,0,0,0
20260902T114750298293_00ededce,7,PDFTOPPM,PHASE_1_Q3_IDENTITY_INVENTORY,,,2026-09-02T11:47:50.907948+00:00,2026-09-02T11:47:50.966429+00:00,58,180,0,0,SUCCESS,0,138,"pdftoppm version 25.02.0
Copyright 2005-2025 The Poppler Developers - http://poppler.freedesktop.org
Copyright 1996-2011 Glyph & Cog, LLC
",45356,0,0,0
20260902T114750298293_00ededce,8,CHILD,PHASE_1_Q3_IDENTITY_INVENTORY,,,2026-09-02T11:47:50.987520+00:00,2026-09-02T11:47:51.059909+00:00,72,180,0,0,SUCCESS,0,140,"pdftocairo version 25.02.0
Copyright 2005-2025 The Poppler Developers - http://poppler.freedesktop.org
Copyright 1996-2011 Glyph & Cog, LLC
",51872,0,0,0
20260902T114750298293_00ededce,9,PDFINFO,PHASE_1_Q3_IDENTITY_INVENTORY,,,2026-09-02T11:47:51.095446+00:00,2026-09-02T11:47:51.167872+00:00,72,180,0,0,SUCCESS,811,0,,24456,0,0,0
20260902T114750298293_00ededce,10,PDF_INSPECTOR,PHASE_1_Q3_IDENTITY_INVENTORY,,,2026-09-02T11:47:51.196233+00:00,2026-09-02T11:47:51.334749+00:00,139,180,0,0,SUCCESS,229,0,,11980,0,0,0
