paper_id,category,prior_reason,subject_type,artifact_eligible,source_path,source_sha256,final_status,resolution,evidence
CUMCM-1993-A-001,MANUAL_ELIGIBILITY_REVIEW,MANUAL_ELIGIBILITY_REVIEW,AMBIGUOUS_MANUAL_REVIEW,UNRESOLVED,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年A题优秀论文① 非线性交调的频率设计.pdf,79DA628641A6671BBD0524250E9FE139347FBA1A4324416F07A8F9F91C753707,ELIGIBILITY_MANUAL,manual subject-type/membership review,multiple plausible source members; no source strategy invented
CUMCM-2011-A-003,MANUAL_UNSUPPORTED_FORMAT,MANUAL_UNSUPPORTED_FORMAT,PAPER,UNRESOLVED,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011A：城市表层土壤重金属污染分析（6）.doc,FDA40E0C371BD0C91806B4CB581162EC0F1C3B51A7CAEF492EDD71D6E602E038,UNSUPPORTED_FORMAT_MANUAL,confirmed Paper has no supported alternate input,primary path is under an explicit paper/award-paper directory; extraction conversion/parser forbidden in unattended scope
CUMCM-2011-C-002,MANUAL_UNSUPPORTED_FORMAT,MANUAL_UNSUPPORTED_FORMAT,PAPER,UNRESOLVED,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011C：企业退休职工养老金制度的改革 (1).doc,21E5912D27E48F0BBEB0E1044BF30F185FBAB2133945529F106449296C10653F,UNSUPPORTED_FORMAT_MANUAL,confirmed Paper has no supported alternate input,primary path is under an explicit paper/award-paper directory; extraction conversion/parser forbidden in unattended scope
CUMCM-2011-C-003,MANUAL_UNSUPPORTED_FORMAT,MANUAL_UNSUPPORTED_FORMAT,PAPER,UNRESOLVED,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011C：企业退休职工养老金制度的改革 (2).doc,CB99F5DD56122680A0797E642C8ED3463B12B388DBDA96E2F42A9345EE623696,UNSUPPORTED_FORMAT_MANUAL,confirmed Paper has no supported alternate input,primary path is under an explicit paper/award-paper directory; extraction conversion/parser forbidden in unattended scope
CUMCM-2011-D-001,MANUAL_UNSUPPORTED_FORMAT,MANUAL_UNSUPPORTED_FORMAT,PAPER,UNRESOLVED,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题(1)/一类肠衣搭配优化问题.doc,A54963631C73100E2A26B41E91070384F60C7AE57B13789F2212145149EE6D2D,UNSUPPORTED_FORMAT_MANUAL,confirmed Paper has no supported alternate input,primary path is under an explicit paper/award-paper directory; extraction conversion/parser forbidden in unattended scope
CUMCM-2011-D-007,MANUAL_UNSUPPORTED_FORMAT,MANUAL_UNSUPPORTED_FORMAT,PAPER,UNRESOLVED,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题 (4).doc,97C1EA0783BF190F8B166E049F84352DD12A702E5F0B0B1E9720DEB4ED5DB5A5,UNSUPPORTED_FORMAT_MANUAL,confirmed Paper has no supported alternate input,primary path is under an explicit paper/award-paper directory; extraction conversion/parser forbidden in unattended scope
CUMCM-2011-D-013,MANUAL_UNSUPPORTED_FORMAT,MANUAL_UNSUPPORTED_FORMAT,PAPER,UNRESOLVED,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题 (2).doc,2D19468524DDDBEF409012F393460A92B0A9F24CFC01906F63720C13731BE66A,UNSUPPORTED_FORMAT_MANUAL,confirmed Paper has no supported alternate input,primary path is under an explicit paper/award-paper directory; extraction conversion/parser forbidden in unattended scope
CUMCM-2011-D-038,MANUAL_UNSUPPORTED_FORMAT,MANUAL_UNSUPPORTED_FORMAT,PAPER,UNRESOLVED,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题(2)/.gitkeep,01BA4719C80B6FE911B091A7C05124B64EEECE964E09C058EF8F9805DACA546B,UNSUPPORTED_FORMAT_MANUAL,confirmed Paper has no supported alternate input,primary path is under an explicit paper/award-paper directory; extraction conversion/parser forbidden in unattended scope
CUMCM-2012-A-003,MANUAL_UNSUPPORTED_FORMAT,MANUAL_UNSUPPORTED_FORMAT,PAPER,UNRESOLVED,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012A：葡萄酒的评价 (4).doc,519FA35E0C76A094FFD89C38269F9BC1A9D1C491A8A675EF324F22705B28F1D5,UNSUPPORTED_FORMAT_MANUAL,confirmed Paper has no supported alternate input,primary path is under an explicit paper/award-paper directory; extraction conversion/parser forbidden in unattended scope
CUMCM-2012-B-005,MANUAL_UNSUPPORTED_FORMAT,MANUAL_UNSUPPORTED_FORMAT,PAPER,UNRESOLVED,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (5)/基于递归算法的建筑外表面光伏电池布局优化分析与设计.doc,4357F1EB1DA91D0C65923D25AB6218F234C9F123A221DED8EE6318ECEC53CC05,UNSUPPORTED_FORMAT_MANUAL,confirmed Paper has no supported alternate input,primary path is under an explicit paper/award-paper directory; extraction conversion/parser forbidden in unattended scope
