paper_id,change_type,expected,status,old_record_sha256,new_record_sha256,notes
CUMCM-1992-A-001,ADDED,1,EXPECTED,,CAF9323973E619A14E65BF898B282BA97B0F92EE0FEF00636AF4D65E7AE7A80B,new formal index creation
CUMCM-1992-A-002,ADDED,1,EXPECTED,,5EC53BB38B283C1044B7067311D806C73168B9C39D7C8C080D2DF72B12D2440B,new formal index creation
CUMCM-1992-A-003,ADDED,1,EXPECTED,,A56982B23E49ED48415107F9D052C9F4D2672C0ACD8DFD592640B5552C82C3E8,new formal index creation
CUMCM-1992-A-004,ADDED,1,EXPECTED,,29208DFCB84B01512C883E14E392EF7D35DB6D7A0965841ED87C7079FDF0276F,new formal index creation
CUMCM-1992-B-001,ADDED,1,EXPECTED,,756604BA91CE49D2AB9773360B8B5775A5117103A393D9476AAD6247D5338B9B,new formal index creation
CUMCM-1992-B-002,ADDED,1,EXPECTED,,FE58A396994A733522935D39D236E2963E9099E92D934853094AB773E945C1D2,new formal index creation
CUMCM-1993-B-001,ADDED,1,EXPECTED,,7C113DD46937076505FE3C797BEF014AB9C7461392259B54B38A084F0052A63B,new formal index creation
CUMCM-1993-B-002,ADDED,1,EXPECTED,,6E2C97D26BF796F5548C9A4E28C26503F9926A28D0AB3BABA7FD5AAF4D25B628,new formal index creation
CUMCM-1993-B-003,ADDED,1,EXPECTED,,0ED34566F584540C58F47D27BEE2C80507E9D2179D22B3EAF87E9C69CF619C62,new formal index creation
CUMCM-1995-A-001,ADDED,1,EXPECTED,,96135BA00BA8A3A74954E46C646537C5AEC2A6C568711119CECCC785DEC3AF8A,new formal index creation
CUMCM-1995-A-002,ADDED,1,EXPECTED,,C909C835CA4854C1AAB9DEE02F6DC1A77E6DCF6AD3838E3FD238B62B09CF51B0,new formal index creation
CUMCM-1995-A-003,ADDED,1,EXPECTED,,C06FEBE74CA5F9C039B6A751FE70BD0B74B733ADFA2DB1DD0DF0626430A437A1,new formal index creation
