paper_id,change_type,expected,status,old_record_sha256,new_record_sha256,notes
CUMCM-1992-A-001,CHANGED,1,EXPECTED,CAF9323973E619A14E65BF898B282BA97B0F92EE0FEF00636AF4D65E7AE7A80B,8E4ACFE41FBBE9DBD88A31FD1B9CD44FD2AA5282F1F201F39C02DE3C47932066,G11 repaired formal artifact projection refresh
CUMCM-1992-A-002,CHANGED,1,EXPECTED,5EC53BB38B283C1044B7067311D806C73168B9C39D7C8C080D2DF72B12D2440B,AF3ED0C8077397C8A87AEC408CDCA2A13228150ADB54D15A64DB47E4B65B7003,G11 repaired formal artifact projection refresh
CUMCM-1992-A-003,CHANGED,1,EXPECTED,A56982B23E49ED48415107F9D052C9F4D2672C0ACD8DFD592640B5552C82C3E8,246553D9EBD1E7784C85FC4A91EAACE48B30B3FB1611A088DD5F7F98666C431D,G11 repaired formal artifact projection refresh
CUMCM-1992-B-001,CHANGED,1,EXPECTED,756604BA91CE49D2AB9773360B8B5775A5117103A393D9476AAD6247D5338B9B,081DCC1072DB2F8F115F8A7ACF1B09EE95C77D7A3BE181D6C290E3C92069BE33,G11 repaired formal artifact projection refresh
CUMCM-1992-B-002,CHANGED,1,EXPECTED,FE58A396994A733522935D39D236E2963E9099E92D934853094AB773E945C1D2,187F75F43D11F0873378DF929FE06A5B372A05148EA4D7FC8B4C0AD9325EE57F,G11 repaired formal artifact projection refresh
CUMCM-1993-B-001,CHANGED,1,EXPECTED,7C113DD46937076505FE3C797BEF014AB9C7461392259B54B38A084F0052A63B,037BFFA501ABA38AD03AD4FCB706D1EC921B56F70998E5D0B2D0A12DA62D49A0,G11 repaired formal artifact projection refresh
CUMCM-1996-B-001,CHANGED,1,EXPECTED,FA387596823FB8EE7E6E0CC6ED2C336E262E58D9FF93155A71D5A5F99EF39575,FD53A73A332CE9B8D3C7F791E6D15B3C2EF99210CC5332AFBA4F66DC97C530C3,G11 repaired formal artifact projection refresh
CUMCM-1996-B-003,CHANGED,1,EXPECTED,6A5610514E0CE5BF9AF72A3A449E799623A2C62EA36BC57D152364522F42AA1D,BFCC5F68EA7036781924A840FD968F4E19B2A91AF852854359786ADF2F5E4EF2,G11 repaired formal artifact projection refresh
CUMCM-1997-A-008,CHANGED,1,EXPECTED,B78336EEBAAF49C41870710C4C4DA7C66A8079F0423EA97CDF0D310FBB8B4AA3,F9D69FA6356D0C28A95F0203ACE5337695BD43C56D3F9E7A44E1A17A4B240188,G11 repaired formal artifact projection refresh
CUMCM-1997-A-009,CHANGED,1,EXPECTED,D7524253BEC0E2C296FAEF9B716C5144BA3DEF49C5A086119DDCFFF09E0AD67C,849D756B44F3E89A982FA08073CEFD6C80B91FC347233D3107B55A0BB39AAF86,G11 repaired formal artifact projection refresh
CUMCM-1997-B-004,CHANGED,1,EXPECTED,17254A4F0236079B4176B9500573622CAAFC737FD7A64875D33E1B9BA48DC5D9,033323E2694FF5646B85471C210C9ED3C28E6E0250A7F7F0C64776EB0AAF3EDC,G11 repaired formal artifact projection refresh
CUMCM-1997-B-007,CHANGED,1,EXPECTED,6761B11D2C1C5D3BE1F112F181498B19AB2CFD6A6FFB475DF97CCFA6B9837B6C,EB48D7A449F8ABDCCBE84E8B4E796FE3C766EDCCB06FEA64F61CE5A653E8A187,G11 repaired formal artifact projection refresh
CUMCM-1998-A-001,CHANGED,1,EXPECTED,D965126C9F0FC3434A911D9FB75E7E95EEB2C088B98952A6666BEA5645565A4A,EA5FC8875394CEC8B1E8BF4A37DF5391204C74E2A814927836E9A669CECE449D,G11 repaired formal artifact projection refresh
CUMCM-1998-A-005,CHANGED,1,EXPECTED,62D1B5F1A061EF4E09196F8D36EEDA2B81CB7C17C4C227BE056E9B3C1BCE2B68,E7C81B8178A5F458A027BC7844448C2BA2847BDAFD7B0FDE63562B392079D6F0,G11 repaired formal artifact projection refresh
CUMCM-1998-A-007,CHANGED,1,EXPECTED,C13404F02543692EC95B0B5572D53674EB3561D0CFBD4B0218934296BF7FF539,6712ACB1B02568ABB7B61916AB8E28440653142A90E2966750CEE9AFD3E04FEC,G11 repaired formal artifact projection refresh
CUMCM-1998-A-008,CHANGED,1,EXPECTED,D28C31AE35235308A10E9D6C85E848325A3F51C97A4CB74349D4CE5D629399F6,F7A1D494E0EFF27E88BEFBA8C2FBFE3AA8DAD92E2097C8AD206FE69AB031CA5F,G11 repaired formal artifact projection refresh
CUMCM-1998-B-001,CHANGED,1,EXPECTED,DCC5ACF63CA84216D82A0F02165D105AFF07433FFE1434CF04BBCFC39B550527,A98D0F15296561A45A36542051A1ABA0AB9FD6C1401072BE275CDA56775EC3ED,G11 repaired formal artifact projection refresh
CUMCM-1998-B-002,CHANGED,1,EXPECTED,36BC0676A25DAA9221376F4CBDE6F54ECDC5617036AE7D993CA0B5099089EFB3,C448D368BE4FEBA30660838D378FFF161350A713F07D47C785CFE64C3DEB4C4D,G11 repaired formal artifact projection refresh
CUMCM-1998-B-003,CHANGED,1,EXPECTED,5FC901CA30101BE8BA7608ABF00D94B73E834C1C36757CF4550D20E2903F5187,6E7D3AAB405BBC170BA822FC2362159269493E5726E50A6A2D39CEA740DA174C,G11 repaired formal artifact projection refresh
CUMCM-1998-B-004,CHANGED,1,EXPECTED,C828CDC7951CE7BB290A838536AEB17D141011E92D4F22535855DC3C17C84AC2,769956FBA07A565FDA8857EF3E74687B74D303A40684C8D355E98ABD48D7D78A,G11 repaired formal artifact projection refresh
CUMCM-1998-B-005,CHANGED,1,EXPECTED,689394BE4C93261F027957C54FF44CCE57C561DF2C43AD4E494BF0567C7E82B7,EF343D94E52C198674DC0B95934698DAF110C9E3554FE337D9E47008ACE2CFEC,G11 repaired formal artifact projection refresh
CUMCM-1998-B-006,CHANGED,1,EXPECTED,624D49BFA0B05FB47A810D5EBD6947B0A286C336364D6CD60EF3A02A01E9A517,ECB1E1BDDF19E07AD60B70894E2B7C9FD2C62424393D578D2C5BD2493C1505C2,G11 repaired formal artifact projection refresh
CUMCM-1999-A-001,CHANGED,1,EXPECTED,7BD941ADFD6446F25D1456644F6BEE736C2D215E4F2664C7D8BBD9B4CD5706D0,015A443188ABDAF2E98510825A715FA48B82FA86075E08A1301C778E24DB8131,G11 repaired formal artifact projection refresh
CUMCM-1999-A-002,CHANGED,1,EXPECTED,5C495340429FA6B1AD55B3C6493B2E07DEBE2398B8CF98522CE32E59B999E11F,B8F4685CC71D614B046425ABB9F13FDE1EC7B4A1F56C51D043BF92FEC809195D,G11 repaired formal artifact projection refresh
