paper_id,issue_type,affected_pages,observed_value,expected_range,interpretation,excluded_from_consensus,notes
CUMCM-2019-A-001,STRUCTURE_UNREADABLE,all,0 text items,text layer,No usable position items were returned.,1,No analyzable PAPER PDF selected; identity retained in full corpus inventory.
CUMCM-2020-D-001,FONT_METADATA_UNRELIABLE,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46",image_based,text_based/mixed,OCR was not run; image/scanned PDF is excluded from reliable font consensus.,1,font_or_text_layer_not_reliable
CUMCM-1997-A-001,FONT_METADATA_UNRELIABLE,"1,2,3,4",image_based,text_based/mixed,OCR was not run; image/scanned PDF is excluded from reliable font consensus.,1,font_or_text_layer_not_reliable
CUMCM-2015-A-001,STRUCTURE_UNREADABLE,all,0 text items,text layer,No usable position items were returned.,1,No analyzable PAPER PDF selected; identity retained in full corpus inventory.
CUMCM-2002-A-001,FONT_METADATA_UNRELIABLE,"1,2,3,4,5,6,7,8,9,10,11,12",image_based,text_based/mixed,OCR was not run; image/scanned PDF is excluded from reliable font consensus.,1,font_or_text_layer_not_reliable
CUMCM-1995-B-001,FONT_METADATA_UNRELIABLE,"1,2",image_based,text_based/mixed,OCR was not run; image/scanned PDF is excluded from reliable font consensus.,1,font_or_text_layer_not_reliable
CUMCM-2020-A-001,FONT_METADATA_UNRELIABLE,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26",image_based,text_based/mixed,OCR was not run; image/scanned PDF is excluded from reliable font consensus.,1,font_or_text_layer_not_reliable
CUMCM-2012-B-001,NON_PDF_SOURCE,,.jpg,.pdf,Formal identity is not directly analyzable as a PDF in this stage.,1,No analyzable PAPER PDF selected; identity retained in full corpus inventory.
CUMCM-2007-C-001,FONT_METADATA_UNRELIABLE,"1,2,3,4,5,6,7",image_based,text_based/mixed,OCR was not run; image/scanned PDF is excluded from reliable font consensus.,1,font_or_text_layer_not_reliable
CUMCM-2011-D-001,NON_PDF_SOURCE,,.doc,.pdf,Formal identity is not directly analyzable as a PDF in this stage.,1,No analyzable PAPER PDF selected; identity retained in full corpus inventory.
CUMCM-2015-C-001,NON_PDF_SOURCE,,.docx,.pdf,Formal identity is not directly analyzable as a PDF in this stage.,1,No analyzable PAPER PDF selected; identity retained in full corpus inventory.
