year,paper_id,title,problem,source_path,source_sha256,page_count,excellent_paper_identity_confirmed,identity_evidence,problem_statement,source_exists,pdf_readable,governance_eligibility,governance_status,format_observation_eligibility,format_exclusion_reason,visual_analysis_status,pdf_type,text_layer_available,font_metadata_available,renderable,width_mm,height_mm,orientation,is_A4,top_margin_mm,bottom_margin_mm,left_margin_mm,right_margin_mm,abstract_present,keywords_present,reference_present,appendix_present,figure_caption_count,table_caption_count,equation_candidate_count,reference_entry_count,notes
2024,CUMCM-2024-A-001,unknown,A,2024年数学建模国赛真题+优秀论文/2024真题/A题/A题.pdf,7ECE8C6D2B876781E5219091C38980E1321FFD1D56604CBE36CD867EDB7A1933,3,0,catalog papers.csv identity + canonical primary membership; current source path is a problem-statement package,1,1,1,1,COMPLETE,0,PROBLEM_STATEMENT,PENDING,text_based,1,1,1,210.016,297.011,PORTRAIT,1,24.955,22.995,33.177,34.905,0,0,0,0,6,2,0,3,
2024,CUMCM-2024-B-001,unknown,B,2024年数学建模国赛真题+优秀论文/2024真题/B题/B题.pdf,F54529DD15D729B046E248EA41033B4F66EF68333BE2BEE912B0C54EAFD227AB,2,0,catalog papers.csv identity + canonical primary membership; current source path is a problem-statement package,1,1,1,1,COMPLETE,0,PROBLEM_STATEMENT,PENDING,text_based,1,1,1,210.016,297.011,PORTRAIT,1,97.935,87.351,31.758,29.765,0,0,0,1,1,2,0,0,
2024,CUMCM-2024-C-001,unknown,C,2024年数学建模国赛真题+优秀论文/2024真题/C题/C题.pdf,C7B5E58BFF4189B8AFBA5505F7BFF7D4F08280FC291C51EF3F46134EBBF74F9A,1,0,catalog papers.csv identity + canonical primary membership; current source path is a problem-statement package,1,1,1,1,COMPLETE,0,PROBLEM_STATEMENT,PENDING,text_based,1,1,1,210.016,297.011,PORTRAIT,1,,,,,0,0,0,0,0,0,0,0,
2024,CUMCM-2024-D-001,unknown,D,2024年数学建模国赛真题+优秀论文/2024真题/D题/D题.pdf,8F30BDB312715167CD4CEAF87604DFD12E688D802E32E310322057AEB9D66CB0,2,0,catalog papers.csv identity + canonical primary membership; current source path is a problem-statement package,1,1,1,1,COMPLETE,0,PROBLEM_STATEMENT,PENDING,text_based,1,1,1,210.016,297.011,PORTRAIT,1,25.83,102.337,31.758,31.626,0,0,0,0,2,0,9,0,
2024,CUMCM-2024-E-001,unknown,E,2024年数学建模国赛真题+优秀论文/2024真题/E题/E题.pdf,D5C9442C261A7EACC7DA3B5B23047B5D8FD9B7C86BD082D782288EE1BB64C4BB,1,0,catalog papers.csv identity + canonical primary membership; current source path is a problem-statement package,1,1,1,1,COMPLETE,0,PROBLEM_STATEMENT,PENDING,text_based,1,1,1,209.889,297.053,PORTRAIT,1,,,,,0,0,0,0,2,0,0,0,
2025,CUMCM-2025-A-001,unknown,A,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/A题/A题.pdf,A37F6AAD30B16EA09DA9CB320CE194B12D3A28874008CF9FF19549F6C6079447,1,0,catalog papers.csv identity + canonical primary membership; current source path is a problem-statement package,1,1,1,0,NOT_IN_G8_STATUS,0,PROBLEM_STATEMENT,PENDING,text_based,1,1,1,210.016,297.011,PORTRAIT,1,,,,,0,0,0,0,0,0,0,0,
2025,CUMCM-2025-A-A066,unknown,A,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,86,1,catalog papers.csv identity + canonical primary membership + filename suffix matching the non-canonical award-paper identity,0,1,1,0,NOT_IN_G8_STATUS,1,,COMPLETE,image_based,1,1,1,210.009,297.004,PORTRAIT,1,,,,,0,0,0,0,0,0,0,0,font_or_text_layer_not_reliable
2025,CUMCM-2025-A-A196,unknown,A,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A196.pdf,B5FB5FE4B2D06998BC85BB9276CF16AFC1755913D91F18C01D5209F8F13ADA92,98,1,catalog papers.csv identity + canonical primary membership + filename suffix matching the non-canonical award-paper identity,0,1,1,0,NOT_IN_G8_STATUS,1,,COMPLETE,image_based,0,0,1,210.016,297.011,PORTRAIT,1,,,,,0,0,0,0,0,0,0,0,font_or_text_layer_not_reliable
2025,CUMCM-2025-B-001,unknown,B,2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/B题/B题.pdf,B0B2CE649282C2D7063AF3C30AC9C0D931512DC86014D3147BC765D8F1C8CF87,2,0,catalog papers.csv identity + canonical primary membership; current source path is a problem-statement package,1,1,1,0,NOT_IN_G8_STATUS,0,PROBLEM_STATEMENT,PENDING,text_based,1,1,1,210.016,297.011,PORTRAIT,1,86.325,173.962,31.757,31.75,0,0,0,0,2,0,0,0,
2025,CUMCM-2025-B-B060,unknown,B,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/B060.pdf,17C1B7E255DCBB8E8AC34C0A750E39D7DF1EE4A5ED0D0323B46388F168090330,72,1,catalog papers.csv identity + canonical primary membership + filename suffix matching the non-canonical award-paper identity,0,1,1,0,NOT_IN_G8_STATUS,1,,COMPLETE,image_based,0,0,1,210.016,297.011,PORTRAIT,1,,,,,0,0,0,0,0,0,0,0,font_or_text_layer_not_reliable
