abstract_present,appendix_present,authors,award,bottom_margin_mm,bottom_margin_q1_mm,bottom_margin_q3_mm,created_at,detected_font_families,eligible_for_layout_analysis,eligible_for_typography_analysis,equation_candidate_count,figure_caption_count,font_metadata_available,footer_present,formal_membership,g8_overall_status,g8_quality,g8_subject_type,has_encoding_issues,header_present,height_mm,height_pt,identity_source,institution,is_A4,is_complex_layout,keywords_present,layout_analysis_available,left_margin_mm,left_margin_q1_mm,left_margin_q3_mm,margin_page_count,mixed_page_size,notes,orientation,page_count,page_count_catalog,page_number_position,page_number_present,pages_needing_ocr,pages_with_columns,pages_with_tables,paper_id,pdf_confidence,pdf_type,problem,problem_code,raw_pdf_fonts,reference_entry_count,reference_present,right_margin_mm,right_margin_q1_mm,right_margin_q3_mm,semantic_exclusion,source_canonical,source_exists,source_path,source_role,source_sha256,source_sha256_catalog,status,table_caption_count,text_item_count,text_layer_available,title,title_text,top_margin_mm,top_margin_q1_mm,top_margin_q3_mm,updated_at,width_mm,width_pt,year
,,unknown,unknown,,,,2026-08-18T00:06:15+08:00,,0,0,,,0,,FORMAL,INELIGIBLE,,PROBLEM_PACKAGE,,,,,catalog/papers.csv; catalog/paper_files.csv; catalog/scale/g8_paper_status.csv,unknown,,,,0,,,,,,No analyzable PAPER PDF selected; identity retained in full corpus inventory.,UNKNOWN,,,,,,,,CUMCM-2019-A-001,,NOT_ANALYZED,A,A,,,,,,,,True,1,2019年数学建模国赛真题+优秀论文/2019年赛题/2019年国赛A题.pdf,primary,5C44F9C6E9C3030E28A3D3878BA8A81A83F1B3CA7DA6541E41D66C9260094502,5C44F9C6E9C3030E28A3D3878BA8A81A83F1B3CA7DA6541E41D66C9260094502,active,,,0,unknown,,,,,2026-08-18T00:06:15+08:00,,,2019
0,0,unknown,unknown,,,,2026-08-18T00:06:15+08:00,KaiTi;Times New Roman,1,1,0,0,1,0,FORMAL,COMPLETE,Q2,PAPER,0,1,296.6861111111111,841.0,catalog/papers.csv; catalog/paper_files.csv; catalog/scale/g8_paper_status.csv,unknown,True,0,0,1,,,,0,False,,PORTRAIT,7,,UNKNOWN,0,,,,CUMCM-2003-D-001,1.0,text_based,D,D,------------------------------------;Times-Roman;KaiTi,0,0,,,,,True,1,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,primary,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,active,0,35,1,unknown,,,,,2026-08-18T00:06:15+08:00,209.90277777777777,595.0,2003
0,0,unknown,unknown,16.122,16.034,16.228,2026-08-18T00:06:15+08:00,KaiTi;SimSun/Song;Syntax;Times New Roman;cajcd-fntaa;cajcd-fntbd;cajcd-fntlt,1,1,172,0,1,1,FORMAL,COMPLETE,Q2,PAPER,0,1,248.70833333333334,705.0,catalog/papers.csv; catalog/paper_files.csv; catalog/scale/g8_paper_status.csv,unknown,False,0,0,1,12.841,12.594,12.876,3,False,,PORTRAIT,4,,TOP,1,,,,CUMCM-2000-B-001,1.0,text_based,B,B,------------------------------------;STSong-Light;Times-Roman;cajcd-fntaa;Times-Italic;Times-Bold;KaiTi;cajcd-fntbd;cajcd-fntlt;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax;Syntax,4,0,10.125,10.125,10.142,,True,1,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：管道订购与运输问题.pdf,primary,928130C1395319B8BB1B9877F91E08B6C53978ABE4FABB553B98041834D0DF1C,928130C1395319B8BB1B9877F91E08B6C53978ABE4FABB553B98041834D0DF1C,active,0,690,1,unknown,M A TH EM A T ICSINPRA CT ICE ANDTH EO R Y,14.146,14.146,14.146,2026-08-18T00:06:15+08:00,167.56944444444446,475.0,2000
0,0,unknown,unknown,,,,2026-08-18T00:06:15+08:00,KaiTi;Times New Roman,1,1,0,0,1,0,FORMAL,COMPLETE,Q2,PAPER,0,1,296.6861111111111,841.0,catalog/papers.csv; catalog/paper_files.csv; catalog/scale/g8_paper_status.csv,unknown,True,0,0,1,,,,0,False,,PORTRAIT,6,,UNKNOWN,0,,,,CUMCM-2001-A-001,1.0,text_based,A,A,------------------------------------;Times-Roman;KaiTi,0,0,,,,,True,1,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：血管切片的三维重建.pdf,primary,1B2A5BE4A875E37494661432EA4FB9B0945500C9AF8D24CA374CDDE1C211AADB,1B2A5BE4A875E37494661432EA4FB9B0945500C9AF8D24CA374CDDE1C211AADB,active,0,30,1,unknown,,,,,2026-08-18T00:06:15+08:00,209.90277777777777,595.0,2001
0,0,unknown,unknown,,,,2026-08-18T00:06:15+08:00,KaiTi;Times New Roman,1,1,0,0,1,0,FORMAL,COMPLETE,Q2,PAPER,0,1,296.6861111111111,841.0,catalog/papers.csv; catalog/paper_files.csv; catalog/scale/g8_paper_status.csv,unknown,True,0,0,1,,,,0,False,,PORTRAIT,7,,UNKNOWN,0,,,,CUMCM-2002-B-001,1.0,text_based,B,B,------------------------------------;Times-Roman;KaiTi,0,0,,,,,True,1,2002年数学建模国赛真题+优秀论文/2002年优秀论文/2002B：彩票方案的评价.pdf,primary,0ACA3F7090683F9B8E5FB9D24765CE3E4ED11F7F44DE277EF6FA0F1D7EA8A448,0ACA3F7090683F9B8E5FB9D24765CE3E4ED11F7F44DE277EF6FA0F1D7EA8A448,active,0,35,1,unknown,,,,,2026-08-18T00:06:15+08:00,209.90277777777777,595.0,2002
1,0,unknown,unknown,18.221,18.221,18.221,2026-08-18T00:06:15+08:00,KaiTi;SimHei;SimSun/Song;SymbolMT;Times New Roman,1,1,138,0,1,1,FORMAL,COMPLETE,Q2,PAPER,0,0,297.00361111111107,841.9,catalog/papers.csv; catalog/paper_files.csv; catalog/scale/g8_paper_status.csv,unknown,True,0,1,1,25.019,25.019,25.019,8,False,,PORTRAIT,9,,BOTTOM,1,,,,CUMCM-2008-C-001,1.0,text_based,C,C,------------------------------------;XEKKFX+SimHei;LNUHNF+SimSun;TZCMBP+SymbolMT;AUWCNV+TimesNewRomanPSMT;KaiTi;TYEPLS+TimesNewRomanPS-ItalicMT,9,0,24.546,22.895,25.012,,True,1,2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008C：《地面搜索的安排计划》.pdf,primary,8A9D26961D3D8192C9A4C7E86CA635D140F7DB561E8D5870D31FD415420D6657,8A9D26961D3D8192C9A4C7E86CA635D140F7DB561E8D5870D31FD415420D6657,active,0,555,1,unknown,地面搜索的安排计划 | 值为 t=140/3 » 46.667(h)。然而提出缩短每个组员非搜索行进路程的措施——采用走斜,25.079,25.079,37.162,2026-08-18T00:06:15+08:00,210.00861111111107,595.3,2008
0,0,unknown,unknown,,,,2026-08-18T00:06:15+08:00,KaiTi,1,0,0,0,1,0,FORMAL,Q3_MANUAL_REQUIRED,Q3,PAPER,0,0,285.115,808.2,catalog/papers.csv; catalog/paper_files.csv; catalog/scale/g8_paper_status.csv,unknown,False,0,0,1,,,,0,False,font_or_text_layer_not_reliable,PORTRAIT,46,,UNKNOWN,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46",,,CUMCM-2020-D-001,0.8,image_based,D,D,------------------------------------;KaiTi,0,0,,,,,True,1,2020年数学建模国赛真题+优秀论文/2020年优秀论文/2020D：接触式轮廓仪校准问题.pdf,primary,CF4B513786360241FB0A5272598EDB9A5CC95884A81864D28F99A4872D2D71D4,CF4B513786360241FB0A5272598EDB9A5CC95884A81864D28F99A4872D2D71D4,active,0,138,1,unknown,,,,,2026-08-18T00:06:15+08:00,201.549,571.32,2020
1,1,unknown,unknown,22.253,22.253,22.253,2026-08-18T00:06:15+08:00,Calibri;KaiTi;MS-Gothic;SimHei;SimSun/Song;SymbolMT;Times New Roman,1,1,698,11,1,0,FORMAL,COMPLETE,Q2,PAPER,0,0,297.0388888888889,842.0,catalog/papers.csv; catalog/paper_files.csv; catalog/scale/g8_paper_status.csv,unknown,True,0,1,1,25.019,25.019,25.019,27,False,,PORTRAIT,28,,BOTTOM,1,,,,CUMCM-2018-A-001,1.0,text_based,A,A,------------------------------------;HAJPLJ+Calibri;HAKBBB+SimHei;HAKBCC+SimSun;HAKBJA+SymbolMT;HAKBKB+TimesNewRomanPSMT;TimesNewRomanPS-ItalicMT;HAKCKO+MS-Gothic;KaiTi;HAKPBC+Calibri-Bold,39,1,24.834,22.821,33.399,,True,1,2018年数学建模国赛真题+优秀论文/2018年优秀论文/2018A：基于非稳态导热的高温作业专用服装设计.pdf,primary,AE162485AC1BF99FC7BC1F2062B19DCA546597111226A5DED5A1EF08D74491A7,AE162485AC1BF99FC7BC1F2062B19DCA546597111226A5DED5A1EF08D74491A7,active,3,2086,1,unknown,基于非稳态导热的高温作业专用服装设计 | 导方式进行热量传递，再简化各层介质为各向同性的长方体，从而建立四个一维,25.4,25.061,27.731,2026-08-18T00:06:15+08:00,209.98038888888888,595.22,2018
0,0,unknown,unknown,,,,2026-08-18T00:06:15+08:00,KaiTi;Times New Roman,1,1,0,0,1,0,FORMAL,COMPLETE,Q2,PAPER,0,1,296.6861111111111,841.0,catalog/papers.csv; catalog/paper_files.csv; catalog/scale/g8_paper_status.csv,unknown,True,0,0,1,,,,0,False,,PORTRAIT,5,,UNKNOWN,0,,,,CUMCM-2001-A-002,1.0,text_based,A,A,------------------------------------;Times-Roman;KaiTi,0,0,,,,,True,1,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：血管三维重建的问题.pdf,primary,6AAB07C9A698931E3B7F6B8E60906E643D98E5A51677904FA79138793321AC8F,6AAB07C9A698931E3B7F6B8E60906E643D98E5A51677904FA79138793321AC8F,active,0,25,1,unknown,,,,,2026-08-18T00:06:15+08:00,209.90277777777777,595.0,2001
0,0,unknown,unknown,,,,2026-08-18T00:06:15+08:00,KaiTi,1,0,0,0,1,0,FORMAL,Q3_MANUAL_REQUIRED,Q3,PAPER,0,0,278.34166666666664,789.0,catalog/papers.csv; catalog/paper_files.csv; catalog/scale/g8_paper_status.csv,unknown,False,0,0,1,,,,0,False,font_or_text_layer_not_reliable,PORTRAIT,4,,UNKNOWN,0,"1,2,3,4",,,CUMCM-1997-A-001,0.8,image_based,A,A,------------------------------------;KaiTi,0,0,,,,,True,1,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件的参数设计(2).pdf,primary,EA2B6020DF610B497693CCBD4CC1010B13E928C2DE2C9A8E225B540700052FE1,EA2B6020DF610B497693CCBD4CC1010B13E928C2DE2C9A8E225B540700052FE1,active,0,16,1,unknown,,,,,2026-08-18T00:06:15+08:00,206.0222222222222,584.0,1997
,,unknown,unknown,,,,2026-08-18T00:06:15+08:00,,0,0,,,0,,FORMAL,,,NOT_IN_G8_STATUS,,,,,catalog/papers.csv; catalog/paper_files.csv; catalog/scale/g8_paper_status.csv,unknown,,,,0,,,,,,No analyzable PAPER PDF selected; identity retained in full corpus inventory.,UNKNOWN,,,,,,,,CUMCM-2015-A-001,,NOT_ANALYZED,A,A,,,,,,,,True,1,2015年数学建模国赛真题+优秀论文/2015年优秀论文/2015A：太阳影子定位 (4).pdf,primary,F5B0A1828E9BB3D91C7C054F89F3152BB68F2B9C3CC4ABD0E57803793C77D752,F5B0A1828E9BB3D91C7C054F89F3152BB68F2B9C3CC4ABD0E57803793C77D752,active,,,0,unknown,,,,,2026-08-18T00:06:15+08:00,,,2015
1,1,unknown,unknown,19.456,19.456,19.456,2026-08-18T00:06:15+08:00,CMEX10;CMMI10;CMMI6;CMMI8;CMR10;CMR6;CMR8;CMSY10;CMSY8;SimHei;SimSun/Song;Times New Roman,1,1,1257,17,1,1,FORMAL,COMPLETE,Q2,PAPER,0,0,297.0000833333333,841.89,catalog/papers.csv; catalog/paper_files.csv; catalog/scale/g8_paper_status.csv,unknown,True,0,1,1,30.0,29.605,30.0,30,False,,PORTRAIT,31,,BOTTOM,1,,,,CUMCM-2017-A-001,0.88,text_based,A,A,------------------------------------;MYTHBN+TimesNewRomanPSMT;YDPVGM+SimSun;XZZFNK+SimHei;IWHZQA+CMMI10;DXYBRV+CMR8;GIATEG+CMR10;XMSKRY+TimesNewRomanPS-BoldMT;BYEXDY+CMEX10;NWCREU+CMMI8;MKZRQD+CMSY10;TKGCZJ+CMSY8;ZKAADB+CMMI6;ZSUTBO+CMR6;QBPYKN+TimesNewRomanPS-ItalicMT,68,0,27.222,27.219,29.999,,True,1,2017年数学建模国赛真题+优秀论文/2017年优秀论文/2017A：CT系统参数标定及成像  (3).pdf,primary,C36D697225558E4695291E0FF54C06050519DE439D22027ECC0BA07A739D2914,C36D697225558E4695291E0FF54C06050519DE439D22027ECC0BA07A739D2914,active,10,3330,1,unknown,CT 系统参数标定及成像 | 定性，并建立了通过投影值反求吸收率的重构模型与算法，经过去噪后可以得到较好的吸,25.261,25.019,25.503,2026-08-18T00:06:15+08:00,210.00155555555554,595.28,2017
0,0,unknown,unknown,,,,2026-08-18T00:06:15+08:00,KaiTi,1,0,0,0,1,0,FORMAL,Q3_MANUAL_REQUIRED,Q3,PAPER,0,0,275.8722222222222,782.0,catalog/papers.csv; catalog/paper_files.csv; catalog/scale/g8_paper_status.csv,unknown,False,0,0,1,,,,0,False,font_or_text_layer_not_reliable,PORTRAIT,12,,UNKNOWN,0,"1,2,3,4,5,6,7,8,9,10,11,12",,,CUMCM-2002-A-001,0.8,image_based,A,A,------------------------------------;KaiTi,0,0,,,,,True,1,2002年数学建模国赛真题+优秀论文/2002年优秀论文/2002A：车灯线光源的优化设计 (2).pdf,primary,72AC67588463BC409976DFB39ECAF2E66F0B4EF8BF327B7CF307141FC1A30374,72AC67588463BC409976DFB39ECAF2E66F0B4EF8BF327B7CF307141FC1A30374,active,0,60,1,unknown,,,,,2026-08-18T00:06:15+08:00,208.13888888888889,590.0,2002
1,1,unknown,unknown,22.253,22.253,22.253,2026-08-18T00:06:15+08:00,Arial;Calibri;KaiTi;MT-Extra;SimHei;SimSun/Song;SymbolMT;Times New Roman;Wingdings-Regular,1,1,418,3,1,0,FORMAL,COMPLETE,Q2,PAPER,0,0,297.0388888888889,842.0,catalog/papers.csv; catalog/paper_files.csv; catalog/scale/g8_paper_status.csv,unknown,True,0,1,1,25.019,25.019,25.019,15,False,,PORTRAIT,16,,BOTTOM,1,,,,CUMCM-2007-B-001,1.0,text_based,B,B,------------------------------------;LBENBP+Calibri;LBENGA+SimHei;LBENHB+SimSun;LBENEA+Calibri;TimesNewRomanPSMT;SimSun;KaiTi;LBEOMN+SymbolMT;TimesNewRomanPS-ItalicMT;ArialMT;LBFAPD+Wingdings-Regular;LBFBEC+MT-Extra;TimesNewRomanPS-BoldMT,43,1,-3.308,-3.308,-3.308,,True,1,2007年数学建模国赛真题+优秀论文/2007年优秀论文/2007B：《关于多目标道路寻优问题的研究》.pdf,primary,6C7B5426E3F021AB4B7FA0D467F9D656767F63EDB4887F3AA019A1C6776A4029,6C7B5426E3F021AB4B7FA0D467F9D656767F63EDB4887F3AA019A1C6776A4029,active,8,2018,1,unknown,关于多目标道路寻优问题的研究 | 行分析，并最终确定了三个优化目标：出行时间、出行费用、换乘次数。结合实际情况，,26.731,25.04,27.347,2026-08-18T00:06:15+08:00,209.98038888888888,595.22,2007
0,0,unknown,unknown,,,,2026-08-18T00:06:15+08:00,KaiTi;Times New Roman,1,0,0,0,1,1,FORMAL,Q3_MANUAL_REQUIRED,Q3,PAPER,0,0,277.6361111111111,787.0,catalog/papers.csv; catalog/paper_files.csv; catalog/scale/g8_paper_status.csv,unknown,False,0,0,1,,,,0,False,font_or_text_layer_not_reliable,PORTRAIT,2,,UNKNOWN,0,"1,2",,,CUMCM-1995-B-001,0.8,image_based,B,B,------------------------------------;Times-Italic;KaiTi,0,0,,,,,True,1,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：冶炼车间的最优调度模型的检验.pdf,primary,E392B8D28A24EA3FE41FE8D9E5D5F58EA885AE122EE4DDC298FBF271984BB7AC,E392B8D28A24EA3FE41FE8D9E5D5F58EA885AE122EE4DDC298FBF271984BB7AC,active,0,10,1,unknown,,,,,2026-08-18T00:06:15+08:00,203.90555555555554,578.0,1995
