alignment,bold,character_spacing,closest_chinese_size,component,confidence,detected_font_families,first_line_indent_mm,first_line_indent_pt,font_size_pt,italic,left_indent_mm,line_spacing_multiple,line_spacing_pt,normalized_font_name,notes,numbering_style,observation_count,observed_value,page_count,paper_id,paragraph_spacing_after_pt,paragraph_spacing_before_pt,pdf_type,problem,raw_font_name,right_indent_mm,source_path,source_sha256,source_type,year
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,title,UNKNOWN,KaiTi;Times New Roman,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,7,CUMCM-2003-D-001,,,text_based,D,UNKNOWN,0.0,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,OBSERVED,2003
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,abstract_label,UNKNOWN,KaiTi;Times New Roman,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,7,CUMCM-2003-D-001,,,text_based,D,UNKNOWN,0.0,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,OBSERVED,2003
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,abstract_body,UNKNOWN,KaiTi;Times New Roman,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,7,CUMCM-2003-D-001,,,text_based,D,UNKNOWN,0.0,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,OBSERVED,2003
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keywords_label,UNKNOWN,KaiTi;Times New Roman,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,7,CUMCM-2003-D-001,,,text_based,D,UNKNOWN,0.0,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,OBSERVED,2003
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keywords_body,UNKNOWN,KaiTi;Times New Roman,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,7,CUMCM-2003-D-001,,,text_based,D,UNKNOWN,0.0,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,OBSERVED,2003
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,heading_1,UNKNOWN,KaiTi;Times New Roman,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,7,CUMCM-2003-D-001,,,text_based,D,UNKNOWN,0.0,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,OBSERVED,2003
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,heading_2,UNKNOWN,KaiTi;Times New Roman,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,7,CUMCM-2003-D-001,,,text_based,D,UNKNOWN,0.0,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,OBSERVED,2003
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,heading_3,UNKNOWN,KaiTi;Times New Roman,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,7,CUMCM-2003-D-001,,,text_based,D,UNKNOWN,0.0,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,OBSERVED,2003
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,heading_4,UNKNOWN,KaiTi;Times New Roman,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,7,CUMCM-2003-D-001,,,text_based,D,UNKNOWN,0.0,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,OBSERVED,2003
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,body,UNKNOWN,KaiTi;Times New Roman,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,7,CUMCM-2003-D-001,,,text_based,D,UNKNOWN,0.0,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,OBSERVED,2003
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,figure_caption,UNKNOWN,KaiTi;Times New Roman,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,7,CUMCM-2003-D-001,,,text_based,D,UNKNOWN,0.0,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,OBSERVED,2003
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,table_caption,UNKNOWN,KaiTi;Times New Roman,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,7,CUMCM-2003-D-001,,,text_based,D,UNKNOWN,0.0,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,OBSERVED,2003
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,table_body,UNKNOWN,KaiTi;Times New Roman,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,7,CUMCM-2003-D-001,,,text_based,D,UNKNOWN,0.0,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,OBSERVED,2003
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,equation,UNKNOWN,KaiTi;Times New Roman,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,7,CUMCM-2003-D-001,,,text_based,D,UNKNOWN,0.0,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,OBSERVED,2003
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,equation_number,UNKNOWN,KaiTi;Times New Roman,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,7,CUMCM-2003-D-001,,,text_based,D,UNKNOWN,0.0,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,OBSERVED,2003
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reference_label,UNKNOWN,KaiTi;Times New Roman,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,7,CUMCM-2003-D-001,,,text_based,D,UNKNOWN,0.0,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,OBSERVED,2003
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reference_body,UNKNOWN,KaiTi;Times New Roman,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,7,CUMCM-2003-D-001,,,text_based,D,UNKNOWN,0.0,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,OBSERVED,2003
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,appendix_title,UNKNOWN,KaiTi;Times New Roman,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,7,CUMCM-2003-D-001,,,text_based,D,UNKNOWN,0.0,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,OBSERVED,2003
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,appendix_heading,UNKNOWN,KaiTi;Times New Roman,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,7,CUMCM-2003-D-001,,,text_based,D,UNKNOWN,0.0,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,OBSERVED,2003
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,appendix_body,UNKNOWN,KaiTi;Times New Roman,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,7,CUMCM-2003-D-001,,,text_based,D,UNKNOWN,0.0,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,OBSERVED,2003
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,code,UNKNOWN,KaiTi;Times New Roman,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,7,CUMCM-2003-D-001,,,text_based,D,UNKNOWN,0.0,2003年数学建模国赛真题+优秀论文/2003年优秀论文/2003D：抢渡长江的数学模型（2）.pdf,4AAE7A6D1021D49FAFD1CDC63020EF7F72BB95C359E692E76C84B1DD39784647,OBSERVED,2003
CENTER,False,UNKNOWN,小四,title,LOW,KaiTi;SimSun/Song;Syntax;Times New Roman;cajcd-fntaa;cajcd-fntbd;cajcd-fntlt,,,11.4,False,37.112,,,SimSun/Song,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,none,4,size_pt=11.4; bold_ratio=0.0; alignment=CENTER,4,CUMCM-2000-B-001,,,text_based,B,F1,36.583,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：管道订购与运输问题.pdf,928130C1395319B8BB1B9877F91E08B6C53978ABE4FABB553B98041834D0DF1C,OBSERVED,2000
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,abstract_label,UNKNOWN,KaiTi;SimSun/Song;Syntax;Times New Roman;cajcd-fntaa;cajcd-fntbd;cajcd-fntlt,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,4,CUMCM-2000-B-001,,,text_based,B,UNKNOWN,0.0,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：管道订购与运输问题.pdf,928130C1395319B8BB1B9877F91E08B6C53978ABE4FABB553B98041834D0DF1C,OBSERVED,2000
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,abstract_body,UNKNOWN,KaiTi;SimSun/Song;Syntax;Times New Roman;cajcd-fntaa;cajcd-fntbd;cajcd-fntlt,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,4,CUMCM-2000-B-001,,,text_based,B,UNKNOWN,0.0,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：管道订购与运输问题.pdf,928130C1395319B8BB1B9877F91E08B6C53978ABE4FABB553B98041834D0DF1C,OBSERVED,2000
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keywords_label,UNKNOWN,KaiTi;SimSun/Song;Syntax;Times New Roman;cajcd-fntaa;cajcd-fntbd;cajcd-fntlt,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,4,CUMCM-2000-B-001,,,text_based,B,UNKNOWN,0.0,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：管道订购与运输问题.pdf,928130C1395319B8BB1B9877F91E08B6C53978ABE4FABB553B98041834D0DF1C,OBSERVED,2000
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keywords_body,UNKNOWN,KaiTi;SimSun/Song;Syntax;Times New Roman;cajcd-fntaa;cajcd-fntbd;cajcd-fntlt,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,4,CUMCM-2000-B-001,,,text_based,B,UNKNOWN,0.0,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：管道订购与运输问题.pdf,928130C1395319B8BB1B9877F91E08B6C53978ABE4FABB553B98041834D0DF1C,OBSERVED,2000
LEFT,False,UNKNOWN,小五,heading_1,MEDIUM,KaiTi;SimSun/Song;Syntax;Times New Roman;cajcd-fntaa;cajcd-fntbd;cajcd-fntlt,,,8.6,False,12.912,,,SimSun/Song,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,decimal,12,size_pt=8.6; bold_ratio=0.25; alignment=LEFT,4,CUMCM-2000-B-001,,,text_based,B,F1,10.619,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：管道订购与运输问题.pdf,928130C1395319B8BB1B9877F91E08B6C53978ABE4FABB553B98041834D0DF1C,OBSERVED,2000
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,heading_2,UNKNOWN,KaiTi;SimSun/Song;Syntax;Times New Roman;cajcd-fntaa;cajcd-fntbd;cajcd-fntlt,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,4,CUMCM-2000-B-001,,,text_based,B,UNKNOWN,0.0,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：管道订购与运输问题.pdf,928130C1395319B8BB1B9877F91E08B6C53978ABE4FABB553B98041834D0DF1C,OBSERVED,2000
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,heading_3,UNKNOWN,KaiTi;SimSun/Song;Syntax;Times New Roman;cajcd-fntaa;cajcd-fntbd;cajcd-fntlt,,,,UNKNOWN,0.0,,,UNKNOWN,OCR not run; font family is document-level when available; PDF resource IDs are preserved.,UNKNOWN,0,size_pt=UNKNOWN; bold_ratio=UNKNOWN; alignment=UNKNOWN,4,CUMCM-2000-B-001,,,text_based,B,UNKNOWN,0.0,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：管道订购与运输问题.pdf,928130C1395319B8BB1B9877F91E08B6C53978ABE4FABB553B98041834D0DF1C,OBSERVED,2000
