scope,component,metric,eligible_papers,observed_papers,dominant_value,dominant_count,dominant_ratio,second_value,second_count,exceptions,count,min,q1,median,q3,max,mean,standard_deviation,confidence,source_type,notes
paper,title,normalized_font_name,412,190,SimSun/Song,155,0.8158,Times New Roman,27,SimSun/Song:155; Times New Roman:27; KaiTi:5; Arial:1; Calibri:1; SimHei:1,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,title,closest_chinese_size,412,188,小四,83,0.4415,三号,81,小四:83; 三号:81; 四号:8; 小三:7; 小二:4; 二号:3; 五号:2,,,,,,,,,MEDIUM,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,title,bold,412,191,False,182,0.9529,True,9,False:182; True:9,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,title,italic,412,191,False,191,1.0,,0,False:191,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,title,alignment,412,191,CENTER,159,0.8325,JUSTIFIED_OR_FULL,32,CENTER:159; JUSTIFIED_OR_FULL:32,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,title,numbering_style,412,191,none,189,0.9895,decimal,2,none:189; decimal:2,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,abstract_label,normalized_font_name,412,115,SimSun/Song,80,0.6957,Times New Roman,29,SimSun/Song:80; Times New Roman:29; KaiTi:3; Arial:1; Calibri:1; SimHei:1,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,abstract_label,closest_chinese_size,412,114,四号,93,0.8158,小四,10,四号:93; 小四:10; 三号:8; 小二:2; 小三:1,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,abstract_label,bold,412,115,False,110,0.9565,True,5,False:110; True:5,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,abstract_label,italic,412,115,False,115,1.0,,0,False:115,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,abstract_label,alignment,412,115,CENTER,106,0.9217,JUSTIFIED_OR_FULL,9,CENTER:106; JUSTIFIED_OR_FULL:9,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,abstract_label,numbering_style,412,115,none,115,1.0,,0,none:115,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,abstract_body,normalized_font_name,412,112,SimSun/Song,78,0.6964,Times New Roman,28,SimSun/Song:78; Times New Roman:28; KaiTi:3; Arial:1; Calibri:1; SimHei:1,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,abstract_body,closest_chinese_size,412,111,小四,102,0.9189,五号,8,小四:102; 五号:8; 四号:1,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,abstract_body,bold,412,112,False,112,1.0,,0,False:112,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,abstract_body,italic,412,112,False,112,1.0,,0,False:112,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,abstract_body,alignment,412,112,JUSTIFIED_OR_FULL,93,0.8304,LEFT,8,JUSTIFIED_OR_FULL:93; LEFT:8; CENTER:5; LEFT_OR_MIXED:3; RIGHT:3,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,abstract_body,numbering_style,412,112,none,112,1.0,,0,none:112,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,keywords_label,normalized_font_name,412,144,SimSun/Song,106,0.7361,Times New Roman,30,SimSun/Song:106; Times New Roman:30; KaiTi:5; Arial:1; Calibri:1; SimHei:1,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,keywords_label,closest_chinese_size,412,142,小四,120,0.8451,四号,15,小四:120; 四号:15; 五号:5; 小五:1; 小三:1,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,keywords_label,bold,412,144,False,138,0.9583,True,6,False:138; True:6,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,keywords_label,italic,412,144,False,144,1.0,,0,False:144,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,keywords_label,alignment,412,144,JUSTIFIED_OR_FULL,126,0.875,CENTER,18,JUSTIFIED_OR_FULL:126; CENTER:18,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,keywords_label,numbering_style,412,144,none,144,1.0,,0,none:144,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,keywords_body,normalized_font_name,412,144,SimSun/Song,106,0.7361,Times New Roman,30,SimSun/Song:106; Times New Roman:30; KaiTi:5; Arial:1; Calibri:1; SimHei:1,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,keywords_body,closest_chinese_size,412,142,小四,120,0.8451,四号,15,小四:120; 四号:15; 五号:5; 小五:1; 小三:1,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,keywords_body,bold,412,144,False,138,0.9583,True,6,False:138; True:6,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,keywords_body,italic,412,144,False,144,1.0,,0,False:144,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,keywords_body,alignment,412,144,JUSTIFIED_OR_FULL,126,0.875,CENTER,18,JUSTIFIED_OR_FULL:126; CENTER:18,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,keywords_body,numbering_style,412,144,none,144,1.0,,0,none:144,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_1,normalized_font_name,412,199,SimSun/Song,161,0.809,Times New Roman,30,SimSun/Song:161; Times New Roman:30; KaiTi:5; Arial:1; Calibri:1; SimHei:1,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_1,closest_chinese_size,412,198,小四,73,0.3687,四号,51,小四:73; 四号:51; 五号:47; 小五:17; 六号:5; 小六:2; 三号:2; 小三:1,,,,,,,,,MEDIUM,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_1,bold,412,200,False,194,0.97,True,6,False:194; True:6,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_1,italic,412,200,False,200,1.0,,0,False:200,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_1,alignment,412,200,CENTER,91,0.455,LEFT,46,CENTER:91; LEFT:46; LEFT_OR_MIXED:34; JUSTIFIED_OR_FULL:25; RIGHT:4,,,,,,,,,MEDIUM,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_1,numbering_style,412,200,decimal,113,0.565,none,67,decimal:113; none:67; bracket:20,,,,,,,,,MEDIUM,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_2,normalized_font_name,412,138,SimSun/Song,104,0.7536,Times New Roman,26,SimSun/Song:104; Times New Roman:26; KaiTi:5; Arial:1; Calibri:1; SimHei:1,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_2,closest_chinese_size,412,136,小四,103,0.7574,五号,18,小四:103; 五号:18; 四号:9; 六号:3; 小五:3,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_2,bold,412,138,False,134,0.971,True,4,False:134; True:4,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_2,italic,412,138,False,138,1.0,,0,False:138,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_2,alignment,412,138,LEFT,70,0.5072,JUSTIFIED_OR_FULL,53,LEFT:70; JUSTIFIED_OR_FULL:53; LEFT_OR_MIXED:9; CENTER:5; RIGHT:1,,,,,,,,,MEDIUM,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_2,numbering_style,412,138,bracket,135,0.9783,decimal,3,bracket:135; decimal:3,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_3,normalized_font_name,412,100,SimSun/Song,69,0.69,Times New Roman,26,SimSun/Song:69; Times New Roman:26; KaiTi:3; Calibri:1; SimHei:1,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_3,closest_chinese_size,412,98,小四,86,0.8776,五号,6,小四:86; 五号:6; 四号:4; 小五:1; 六号:1,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_3,bold,412,100,False,95,0.95,True,5,False:95; True:5,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_3,italic,412,100,False,100,1.0,,0,False:100,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_3,alignment,412,100,LEFT,59,0.59,JUSTIFIED_OR_FULL,36,LEFT:59; JUSTIFIED_OR_FULL:36; CENTER:4; LEFT_OR_MIXED:1,,,,,,,,,MEDIUM,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_3,numbering_style,412,100,bracket,98,0.98,decimal,2,bracket:98; decimal:2,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_4,normalized_font_name,412,26,SimSun/Song,18,0.6923,Times New Roman,7,SimSun/Song:18; Times New Roman:7; KaiTi:1,,,,,,,,,MEDIUM,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_4,closest_chinese_size,412,25,小四,19,0.76,六号,4,小四:19; 六号:4; 五号:1; 小五:1,,,,,,,,,MEDIUM,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_4,bold,412,26,False,21,0.8077,True,5,False:21; True:5,,,,,,,,,MEDIUM,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_4,italic,412,26,False,26,1.0,,0,False:26,,,,,,,,,MEDIUM,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_4,alignment,412,26,JUSTIFIED_OR_FULL,12,0.4615,LEFT,12,JUSTIFIED_OR_FULL:12; LEFT:12; CENTER:2,,,,,,,,,MEDIUM,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,heading_4,numbering_style,412,26,bracket,26,1.0,,0,bracket:26,,,,,,,,,MEDIUM,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,body,normalized_font_name,412,201,SimSun/Song,162,0.806,Times New Roman,30,SimSun/Song:162; Times New Roman:30; KaiTi:6; Arial:1; Calibri:1; SimHei:1,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,body,closest_chinese_size,412,200,小四,130,0.65,五号,43,小四:130; 五号:43; 小五:15; 六号:10; 小六:2,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,body,bold,412,202,False,202,1.0,,0,False:202,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,body,italic,412,202,False,197,0.9752,True,5,False:197; True:5,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,body,alignment,412,202,LEFT_OR_MIXED,76,0.3762,LEFT,66,LEFT_OR_MIXED:76; LEFT:66; JUSTIFIED_OR_FULL:37; CENTER:17; RIGHT:6,,,,,,,,,MEDIUM,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,body,numbering_style,412,202,none,199,0.9851,bracket,2,none:199; bracket:2; decimal:1,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,figure_caption,normalized_font_name,412,127,SimSun/Song,92,0.7244,Times New Roman,28,SimSun/Song:92; Times New Roman:28; KaiTi:4; Arial:1; Calibri:1; SimHei:1,,,,,,,,,HIGH,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
paper,figure_caption,closest_chinese_size,412,125,小四,68,0.544,五号,50,小四:68; 五号:50; 小五:6; 六号:1,,,,,,,,,MEDIUM,OBSERVED,Per-paper mode; UNKNOWN values omitted from denominator.
